word, uni_lemma, frequency_count
airplane,airplane,177
all,all,596
animal,animal,42
another,another,388
apple,apple,48
arm,arm,33
asleep,asleep,2
aunt,aunt,0
away,away,158
baby,baby,171
babysitter,babysitter,1
back,back (location),488
bad,bad,32
ball,ball,187
balloon,balloon,32
banana,banana,22
bath,bath,18
bathroom,bathroom,5
bathtub,bathtub,14
beach,beach,3
beads,beads,5
bear,bear,51
bed,bed,96
bedroom,bedroom,2
bee,bee,28
bib,bib,8
bicycle,bicycle,11
big,big,402
bird,bird,105
bite,bite,50
blanket,blanket,17
block,block,36
blow,blow,167
blue,blue,100
book,book,184
boots,boots,56
bottle,bottle,38
bowl,bowl,28
box,box,155
boy,boy,241
bread,bread,24
break,break,182
breakfast,breakfast,21
bring,bring,97
broken,broken,142
broom,broom,33
brother,brother,28
brush,brush (object),23
bubbles,bubbles,5
bug,bug,32
bump,bump,22
bunny,bunny,44
bus,bus,51
butter,butter,37
butterfly,butterfly,10
button,button,58
bye,bye,17
cake,cake,56
candy,candy,19
car,car,355
careful,careful,228
carrots,carrots,5
cat,cat,71
cereal,cereal,8
chair,chair,130
cheek,cheek,10
cheerios,cheerios,0
cheese,cheese,27
chicken,chicken (animal),27
chicken,chicken (food),27
child,child,2
church,church,33
clean,clean (action),30
clean,clean (description),30
clock,clock,62
close,close,87
coat,coat,25
cockadoodledoo,cockadoodledoo,12
coffee,coffee,100
cold,cold,33
comb,comb (object),16
cookie,cookie,16
couch,couch,5
cow,cow,57
cracker,cracker,13
crib,crib,0
cry,cry,32
cup,cup,70
cute,cute,5
daddy,daddy,233
dance,dance,32
dark,dark,25
day,day,51
deer,deer,3
diaper,diaper,28
dinner,dinner,24
dirty,dirty,67
dish,dish,9
dog,dog,112
doll,doll,21
dont,don't,2293
donkey,donkey,9
door,door,134
down,down,699
draw,draw,138
drawer,drawer,19
dress,dress (object),9
drink,drink (action),73
drink,drink (beverage),73
drive,drive,93
dry,dry (description),29
duck,duck,69
ear,ear,21
eat,eat,270
egg,egg,49
elephant,elephant,46
empty,empty,5
eye,eye,51
face,face,69
fall,fall,121
fast,fast,32
feed,feed,21
fine,fine,19
finger,finger,112
finish,finish,59
firetruck,firetruck,19
fish,fish (animal),206
fish,fish (food),206
flower,flower,45
food,food,57
