word, uni_lemma, frequency_count
airplane,airplane,4
all,all,718
animal,animal,8
another,another,275
apple,apple,170
arm,arm,22
asleep,asleep,11
aunt,aunt,3
away,away,175
baby,baby,215
babysitter,babysitter,0
back,back (location),302
bad,bad,15
ball,ball,301
balloon,balloon,37
banana,banana,83
bath,bath,11
bathroom,bathroom,4
bathtub,bathtub,0
beach,beach,27
beads,beads,20
bear,bear,115
bed,bed,24
bedroom,bedroom,1
bee,bee,41
bib,bib,0
bicycle,bicycle,8
big,big,538
bird,bird,94
bite,bite,29
blanket,blanket,11
block,block,65
blow,blow,12
blue,blue,520
book,book,190
boots,boots,9
bottle,bottle,1
bowl,bowl,144
box,box,82
boy,boy,263
bread,bread,15
break,break,72
breakfast,breakfast,9
bring,bring,57
broken,broken,42
broom,broom,5
brother,brother,3
brush,brush (object),29
bubbles,bubbles,31
bug,bug,17
bump,bump,1
bunny,bunny,14
bus,bus,36
butter,butter,13
butterfly,butterfly,38
button,button,18
bye,bye,146
cake,cake,12
candy,candy,15
car,car,156
careful,careful,133
carrots,carrots,14
cat,cat,37
cereal,cereal,17
chair,chair,117
cheek,cheek,0
cheerios,cheerios,1
cheese,cheese,70
chicken,chicken (animal),61
chicken,chicken (food),61
child,child,0
church,church,9
clean,clean (action),186
clean,clean (description),186
clock,clock,32
close,close,57
coat,coat,4
cockadoodledoo,cockadoodledoo,0
coffee,coffee,8
cold,cold,41
comb,comb (object),11
cookie,cookie,75
couch,couch,18
cow,cow,48
cracker,cracker,10
crib,crib,0
cry,cry,8
cup,cup,51
cute,cute,183
daddy,daddy,132
dance,dance,6
dark,dark,20
day,day,60
deer,deer,0
diaper,diaper,2
dinner,dinner,3
dirty,dirty,32
dish,dish,8
dog,dog,83
doll,doll,3
dont,don't,1416
donkey,donkey,0
door,door,45
down,down,419
draw,draw,68
drawer,drawer,24
dress,dress (object),0
drink,drink (action),80
drink,drink (beverage),80
drive,drive,14
dry,dry (description),30
duck,duck,53
ear,ear,22
eat,eat,164
egg,egg,70
elephant,elephant,62
empty,empty,21
eye,eye,21
face,face,123
fall,fall,52
fast,fast,82
feed,feed,7
fine,fine,37
finger,finger,19
finish,finish,32
firetruck,firetruck,0
fish,fish (animal),71
fish,fish (food),71
flower,flower,70
food,food,28
foot,foot,24
fork,fork,42
frog,frog,63
garage,garage,8
garden,garden,55
gentle,gentle,24
get,get,1200
giraffe,giraffe,33
girl,girl,55
give,give,286
glass,glass,11
glasses,glasses,25
go,go,1459
good,good,778
goose,goose,32
grandma,grandma,2
grandpa,grandpa,0
grrr,grrr,0
hair,hair,90
hammer,hammer,11
hand,hand,84
happy,happy,76
hard,hard,19
hat,hat,180
head,head,142
hello,hello,104
help,help,293
her,her,174
hi,hi,244
his,his,269
hit,hit,62
home,home,48
horse,horse,39
hot,hot,46
house,house,90
how,how,1138
hug,hug,18
hungry,hungry,24
hurry,hurry,32
hurt,hurt (description),36
i,i,3572
in,in,1441
inside,inside,32
it,it,3930
jacket,jacket,4
jeans,jeans,4
juice,juice,26
jump,jump,48
keys,keys,6
kick,kick,13
kiss,kiss,58
kitchen,kitchen,18
kitty,kitty,20
knee,knee,3
lady,lady,5
lamb,lamb,2
lamp,lamp,4
later,later,64
leg,leg,18
light,light (object),48
lion,lion,55
little,little (description),706
look,look,1048
love,love,96
lunch,lunch,34
man,man,39
me,me,1323
meat,meat,1
medicine,medicine,4
meow,meow,33
milk,milk,59
mine,mine,38
mommy,mommy,1357
money,money,30
monkey,monkey,40
moo,moo,25
moon,moon,24
more,more,430
morning,morning,36
motorcycle,motorcycle,2
mouse,mouse,19
mouth,mouth,83
my,my,568
nap,nap,25
naughty,naughty,20
necklace,necklace,8
nice,nice,358
night,night,49
no,no,2736
none,none,3
nose,nose,96
not,not,666
now,now,634
off,off,181
old,old,26
on,on,1222
open,open (action),166
orange,orange (food),197
other,other,263
ouch,ouch,1
out,out,441
outside,outside,61
oven,oven,4
owl,owl,23
pajamas,pajamas,3
pants,pants,24
paper,paper,73
park,park,3
party,party,21
pattycake,pattycake,0
peas,peas,6
peekaboo,peekaboo,8
pen,pen,15
penguin,penguin,16
penny,penny,0
people,people,40
person,person,14
picture,picture,26
pig,pig,39
pillow,pillow,17
pizza,pizza,6
plant,plant,10
plate,plate,23
play,play,322
please,please,738
pony,pony,5
pool,pool,9
potty,potty,4
pretty,pretty,69
pull,pull,176
puppy,puppy,12
purse,purse,4
push,push,248
put,put,1064
radio,radio,7
rain,rain,17
raisin,raisin,3
read,read,91
red,red,391
refrigerator,refrigerator,16
ride,ride,37
rock,rock (object),21
run,run,28
same,same,31
say,say,596
scared,scared,11
school,school,66
scissors,scissors,18
see,see,1323
sheep,sheep,25
shh/shush/hush,shh,0
shirt,shirt,50
shoe,shoe,24
shorts,shorts,5
shovel,shovel,17
show,show,203
sick,sick,10
sing,sing,87
sink,sink,6
sister,sister,0
sky,sky,49
sleep,sleep,45
sleepy,sleepy,4
slide,slide (object),20
smile,smile,8
snow,snow,21
soap,soap,8
sock,sock,12
soft,soft,6
some,some,414
splash,splash,13
spoon,spoon,91
squirrel,squirrel,25
stairs,stairs,17
star,star,114
stop,stop,117
store,store,43
stove,stove,2
stroller,stroller,5
sun,sun,23
sweater,sweater,4
swim,swim,32
swing,swing (action),40
swing,swing (object),40
table,table,82
take,take,287
teacher,teacher,0
teddybear,teddybear,0
telephone,telephone,14
that,that,3574
there,there,1442
thirsty,thirsty,8
this,this,3354
throw,throw,142
tickle,tickle,22
tiger,tiger,11
tired,tired,37
toast,toast,18
today,today,124
toe,toe,3
tomorrow,tomorrow,28
tongue,tongue,10
tonight,tonight,13
tooth,tooth,0
toothbrush,toothbrush,1
touch,touch,53
towel,towel,28
toy,toy (object),29
train,train,190
trash,trash,16
tree,tree,198
truck,truck,109
tummy,tummy,3
turkey,turkey,31
turtle,turtle,33
tv,tv,18
uncle,uncle,17
under,under,53
up,up,738
vacuum,vacuum,1
vroom,vroom,1
wait,wait,350
walk,walk,48
wash,wash,49
watch,watch (action),200
watch,watch (object),200
water,water (beverage),150
water,water (not beverage),150
wet,wet (description),39
what,what,2471
when,when (question),147
where,where (question),562
who,who,197
why,why,189
window,window,29
wipe,wipe,22
work,work (place),107
write,write,38
backyard,yard,1
yes,yes,546
you,you,6939
your,your,1759
yucky,yucky,5
zipper,zipper,1
zoo,zoo,37
