word, uni_lemma, frequency_count
airplane,airplane,0
all,all,603
animal,animal,22
another,another,227
apple,apple,24
arm,arm,19
asleep,asleep,77
aunt,aunt,0
away,away,157
baby,baby,784
babysitter,babysitter,0
back,back (location),341
bad,bad,6
ball,ball,21
balloon,balloon,9
banana,banana,14
bath,bath,81
bathroom,bathroom,1
bathtub,bathtub,0
beach,beach,10
beads,beads,0
bear,bear,94
bed,bed,196
bedroom,bedroom,15
bee,bee,3
bib,bib,41
bicycle,bicycle,0
big,big,371
bird,bird,15
bite,bite,30
blanket,blanket,41
block,block,1
blow,blow,20
blue,blue,79
book,book,109
boots,boots,27
bottle,bottle,65
bowl,bowl,31
box,box,156
boy,boy,42
bread,bread,50
break,break,23
breakfast,breakfast,45
bring,bring,81
broken,broken,64
broom,broom,0
brother,brother,1
brush,brush (object),45
bubbles,bubbles,11
bug,bug,1
bump,bump,7
bunny,bunny,0
bus,bus,20
butter,butter,17
butterfly,butterfly,6
button,button,6
bye,bye,20
cake,cake,147
candy,candy,0
car,car,244
careful,careful,77
carrots,carrots,18
cat,cat,62
cereal,cereal,0
chair,chair,101
cheek,cheek,1
cheerios,cheerios,0
cheese,cheese,47
chicken,chicken (animal),45
chicken,chicken (food),45
child,child,0
church,church,10
clean,clean (action),25
clean,clean (description),25
clock,clock,3
close,close,24
coat,coat,29
cockadoodledoo,cockadoodledoo,10
coffee,coffee,4
cold,cold,45
comb,comb (object),12
cookie,cookie,0
couch,couch,0
cow,cow,85
cracker,cracker,0
crib,crib,1
cry,cry,26
cup,cup,77
cute,cute,1
daddy,daddy,234
dance,dance,11
dark,dark,11
day,day,43
deer,deer,3
diaper,diaper,0
dinner,dinner,157
dirty,dirty,46
dish,dish,0
dog,dog,70
doll,doll,4
dont,don't,950
donkey,donkey,5
door,door,60
down,down,532
draw,draw,91
drawer,drawer,9
dress,dress (object),90
drink,drink (action),199
drink,drink (beverage),199
drive,drive,80
dry,dry (description),42
duck,duck,91
ear,ear,16
eat,eat,184
egg,egg,44
elephant,elephant,54
empty,empty,3
eye,eye,11
face,face,36
fall,fall,65
fast,fast,31
feed,feed,10
fine,fine,21
finger,finger,11
finish,finish,15
firetruck,firetruck,0
fish,fish (animal),37
fish,fish (food),37
flower,flower,6
food,food,80
foot,foot,44
fork,fork,13
frog,frog,14
garage,garage,15
garden,garden,32
gentle,gentle,2
get,get,742
giraffe,giraffe,37
girl,girl,115
give,give,104
glass,glass,2
glasses,glasses,15
go,go,1433
good,good,305
goose,goose,5
grandma,grandma,44
grandpa,grandpa,0
grrr,grrr,2
hair,hair,111
hammer,hammer,3
hand,hand,37
happy,happy,39
hard,hard,22
hat,hat,89
head,head,111
hello,hello,270
help,help,129
her,her,713
hi,hi,2
his,his,394
hit,hit,14
home,home,109
horse,horse,103
hot,hot,66
house,house,204
how,how,127
hug,hug,0
hungry,hungry,46
hurry,hurry,5
hurt,hurt (description),31
i,i,2668
in,in,2656
inside,inside,15
it,it,3852
jacket,jacket,0
jeans,jeans,0
juice,juice,88
jump,jump,62
keys,keys,3
kick,kick,19
kiss,kiss,49
kitchen,kitchen,62
kitty,kitty,0
knee,knee,10
lady,lady,68
lamb,lamb,16
lamp,lamp,2
later,later,71
leg,leg,44
light,light (object),17
lion,lion,38
little,little (description),606
look,look,940
love,love,9
lunch,lunch,6
man,man,99
me,me,744
meat,meat,30
medicine,medicine,36
meow,meow,0
milk,milk,148
mine,mine,54
mommy,mommy,0
money,money,34
monkey,monkey,90
moo,moo,10
moon,moon,1
more,more,443
morning,morning,98
motorcycle,motorcycle,0
mouse,mouse,14
mouth,mouth,80
my,my,688
nap,nap,0
naughty,naughty,18
necklace,necklace,1
nice,nice,167
night,night,26
no,no,1851
none,none,10
nose,nose,69
not,not,851
now,now,815
off,off,316
old,old,43
on,on,2250
open,open (action),60
orange,orange (food),74
other,other,199
ouch,ouch,3
out,out,465
outside,outside,21
oven,oven,11
owl,owl,0
pajamas,pajamas,33
pants,pants,76
paper,paper,9
park,park,43
party,party,45
pattycake,pattycake,0
peas,peas,18
peekaboo,peekaboo,0
pen,pen,20
penguin,penguin,55
penny,penny,3
people,people,68
person,person,5
picture,picture,43
pig,pig,64
pillow,pillow,7
pizza,pizza,1
plant,plant,1
plate,plate,56
play,play,251
please,please,280
pony,pony,0
pool,pool,30
potty,potty,0
pretty,pretty,9
pull,pull,43
puppy,puppy,7
purse,purse,0
push,push,109
put,put,1028
radio,radio,9
rain,rain,7
raisin,raisin,0
read,read,121
red,red,134
refrigerator,refrigerator,0
ride,ride,36
rock,rock (object),11
run,run,36
same,same,31
say,say,129
scared,scared,7
school,school,12
scissors,scissors,4
see,see,568
sheep,sheep,64
shh/shush/hush,shh,0
