word, uni_lemma, frequency_count
airplane,airplane,0
all,all,1127
animal,animal,12
another,another,236
apple,apple,88
arm,arm,35
asleep,asleep,7
aunt,aunt,0
away,away,229
baby,baby,86
babysitter,babysitter,0
back,back (location),497
bad,bad,38
ball,ball,88
balloon,balloon,69
banana,banana,24
bath,bath,48
bathroom,bathroom,0
bathtub,bathtub,0
beach,beach,37
beads,beads,1
bear,bear,35
bed,bed,62
bedroom,bedroom,12
bee,bee,9
bib,bib,0
bicycle,bicycle,16
big,big,456
bird,bird,38
bite,bite,28
blanket,blanket,3
block,block,1
blow,blow,46
blue,blue,120
book,book,108
boots,boots,8
bottle,bottle,4
bowl,bowl,5
box,box,156
boy,boy,237
bread,bread,27
break,break,52
breakfast,breakfast,17
bring,bring,112
broken,broken,64
broom,broom,0
brother,brother,0
brush,brush (object),9
bubbles,bubbles,2
bug,bug,0
bump,bump,9
bunny,bunny,5
bus,bus,113
butter,butter,0
butterfly,butterfly,2
button,button,8
bye,bye,7
cake,cake,89
candy,candy,0
car,car,396
careful,careful,113
carrots,carrots,9
cat,cat,71
cereal,cereal,1
chair,chair,34
cheek,cheek,2
cheerios,cheerios,0
cheese,cheese,39
chicken,chicken (animal),46
chicken,chicken (food),46
child,child,0
church,church,18
clean,clean (action),51
clean,clean (description),51
clock,clock,17
close,close,36
coat,coat,28
cockadoodledoo,cockadoodledoo,0
coffee,coffee,17
cold,cold,95
comb,comb (object),0
cookie,cookie,0
couch,couch,7
cow,cow,125
cracker,cracker,0
crib,crib,0
cry,cry,50
cup,cup,67
cute,cute,0
daddy,daddy,325
dance,dance,14
dark,dark,54
day,day,37
deer,deer,0
diaper,diaper,0
dinner,dinner,15
dirty,dirty,39
dish,dish,4
dog,dog,154
doll,doll,35
dont,don't,1459
donkey,donkey,7
door,door,160
down,down,615
draw,draw,3
drawer,drawer,0
dress,dress (object),88
drink,drink (action),121
drink,drink (beverage),121
drive,drive,117
dry,dry (description),35
duck,duck,63
ear,ear,17
eat,eat,422
egg,egg,83
elephant,elephant,89
empty,empty,16
eye,eye,22
face,face,26
fall,fall,79
fast,fast,9
feed,feed,26
fine,fine,10
finger,finger,45
finish,finish,6
firetruck,firetruck,0
fish,fish (animal),80
fish,fish (food),80
flower,flower,2
food,food,44
foot,foot,40
fork,fork,2
frog,frog,22
garage,garage,118
garden,garden,29
gentle,gentle,14
get,get,946
giraffe,giraffe,56
girl,girl,43
give,give,195
glass,glass,12
glasses,glasses,2
go,go,1394
good,good,207
goose,goose,4
grandma,grandma,32
grandpa,grandpa,1
grrr,grrr,0
hair,hair,152
hammer,hammer,84
hand,hand,88
happy,happy,7
hard,hard,42
hat,hat,95
head,head,92
hello,hello,85
help,help,135
her,her,581
hi,hi,7
his,his,431
hit,hit,38
home,home,100
horse,horse,239
hot,hot,65
house,house,254
how,how,259
hug,hug,5
hungry,hungry,19
hurry,hurry,8
hurt,hurt (description),117
i,i,3724
in,in,2611
inside,inside,46
it,it,7279
jacket,jacket,3
jeans,jeans,0
juice,juice,34
jump,jump,51
keys,keys,21
