word, uni_lemma, frequency_count
airplane,airplane,0
all,all,509
animal,animal,0
another,another,64
apple,apple,0
arm,arm,7
asleep,asleep,6
aunt,aunt,2
away,away,119
baby,baby,82
babysitter,babysitter,0
back,back (location),100
bad,bad,43
ball,ball,12
balloon,balloon,7
banana,banana,4
bath,bath,26
bathroom,bathroom,7
bathtub,bathtub,0
beach,beach,4
beads,beads,0
bear,bear,26
bed,bed,63
bedroom,bedroom,22
bee,bee,1
bib,bib,2
bicycle,bicycle,0
big,big,136
bird,bird,7
bite,bite,4
blanket,blanket,0
block,block,1
blow,blow,7
blue,blue,23
book,book,55
boots,boots,9
bottle,bottle,20
bowl,bowl,3
box,box,21
boy,boy,74
bread,bread,9
break,break,9
breakfast,breakfast,13
bring,bring,45
broken,broken,3
broom,broom,0
brother,brother,12
brush,brush (object),5
bubbles,bubbles,1
bug,bug,1
bump,bump,7
bunny,bunny,0
bus,bus,6
butter,butter,5
butterfly,butterfly,2
button,button,1
bye,bye,6
cake,cake,7
candy,candy,0
car,car,24
careful,careful,11
carrots,carrots,1
cat,cat,9
cereal,cereal,0
chair,chair,20
cheek,cheek,1
cheerios,cheerios,0
cheese,cheese,13
chicken,chicken (animal),10
chicken,chicken (food),10
child,child,19
church,church,10
clean,clean (action),26
clean,clean (description),26
clock,clock,6
close,close,4
coat,coat,6
cockadoodledoo,cockadoodledoo,0
coffee,coffee,17
cold,cold,20
comb,comb (object),0
cookie,cookie,0
couch,couch,0
cow,cow,3
cracker,cracker,0
crib,crib,0
cry,cry,5
cup,cup,40
cute,cute,2
daddy,daddy,81
dance,dance,1
dark,dark,7
day,day,106
deer,deer,0
diaper,diaper,0
dinner,dinner,13
dirty,dirty,24
dish,dish,0
dog,dog,17
doll,doll,12
dont,don't,463
donkey,donkey,1
door,door,29
down,down,202
draw,draw,7
drawer,drawer,5
dress,dress (object),16
drink,drink (action),25
drink,drink (beverage),25
drive,drive,7
dry,dry (description),3
duck,duck,7
ear,ear,1
eat,eat,60
egg,egg,5
elephant,elephant,4
empty,empty,0
eye,eye,1
face,face,15
fall,fall,16
fast,fast,2
feed,feed,8
fine,fine,13
finger,finger,21
finish,finish,5
firetruck,firetruck,0
fish,fish (animal),6
fish,fish (food),6
flower,flower,2
food,food,17
foot,foot,4
fork,fork,2
frog,frog,1
garage,garage,8
garden,garden,8
gentle,gentle,0
get,get,484
giraffe,giraffe,0
girl,girl,178
give,give,87
glass,glass,1
glasses,glasses,3
go,go,384
good,good,309
goose,goose,0
grandma,grandma,0
grandpa,grandpa,1
grrr,grrr,0
hair,hair,68
hammer,hammer,1
hand,hand,10
happy,happy,19
hard,hard,35
hat,hat,7
head,head,19
hello,hello,53
help,help,13
her,her,759
hi,hi,5
his,his,112
hit,hit,9
home,home,57
horse,horse,1
hot,hot,10
house,house,91
how,how,114
hug,hug,0
hungry,hungry,11
hurry,hurry,0
hurt,hurt (description),11
i,i,2750
in,in,921
inside,inside,4
it,it,1821
jacket,jacket,1
jeans,jeans,3
juice,juice,5
jump,jump,5
keys,keys,0
kick,kick,2
kiss,kiss,4
kitchen,kitchen,36
kitty,kitty,0
knee,knee,10
lady,lady,5
lamb,lamb,0
lamp,lamp,0
later,later,17
leg,leg,8
light,light (object),5
lion,lion,1
little,little (description),33
look,look,483
love,love,128
lunch,lunch,11
man,man,23
me,me,479
meat,meat,2
medicine,medicine,3
meow,meow,0
milk,milk,6
mine,mine,26
mommy,mommy,5
money,money,29
monkey,monkey,4
moo,moo,7
moon,moon,0
more,more,86
morning,morning,61
motorcycle,motorcycle,0
mouse,mouse,1
mouth,mouth,20
my,my,444
nap,nap,2
naughty,naughty,7
necklace,necklace,2
nice,nice,67
night,night,94
no,no,524
none,none,2
nose,nose,7
not,not,518
now,now,451
off,off,135
old,old,36
