word, uni_lemma, frequency_count
airplane,airplane,0
all,all,526
animal,animal,24
another,another,366
apple,apple,79
arm,arm,12
asleep,asleep,31
aunt,aunt,0
away,away,143
baby,baby,323
babysitter,babysitter,0
back,back (location),270
bad,bad,12
ball,ball,64
balloon,balloon,29
banana,banana,43
bath,bath,25
bathroom,bathroom,0
bathtub,bathtub,0
beach,beach,1
beads,beads,0
bear,bear,36
bed,bed,39
bedroom,bedroom,6
bee,bee,3
bib,bib,2
bicycle,bicycle,0
big,big,437
bird,bird,8
bite,bite,39
blanket,blanket,1
block,block,15
blow,blow,46
blue,blue,213
book,book,69
boots,boots,7
bottle,bottle,28
bowl,bowl,3
box,box,131
boy,boy,486
bread,bread,12
break,break,40
breakfast,breakfast,36
bring,bring,45
broken,broken,84
broom,broom,0
brother,brother,5
brush,brush (object),15
bubbles,bubbles,11
bug,bug,0
bump,bump,60
bunny,bunny,1
bus,bus,32
butter,butter,9
butterfly,butterfly,9
button,button,4
bye,bye,59
cake,cake,51
candy,candy,0
car,car,674
careful,careful,121
carrots,carrots,3
cat,cat,175
cereal,cereal,0
chair,chair,40
cheek,cheek,0
cheerios,cheerios,0
cheese,cheese,10
chicken,chicken (animal),30
chicken,chicken (food),30
child,child,3
church,church,0
clean,clean (action),68
clean,clean (description),68
clock,clock,17
close,close,8
coat,coat,4
cockadoodledoo,cockadoodledoo,3
coffee,coffee,1
cold,cold,20
comb,comb (object),0
cookie,cookie,0
couch,couch,0
cow,cow,106
cracker,cracker,0
crib,crib,0
cry,cry,8
cup,cup,9
cute,cute,0
daddy,daddy,411
dance,dance,1
dark,dark,7
day,day,10
deer,deer,2
diaper,diaper,0
dinner,dinner,85
dirty,dirty,36
dish,dish,5
dog,dog,65
doll,doll,2
dont,don't,684
donkey,donkey,0
door,door,97
down,down,488
draw,draw,212
drawer,drawer,0
dress,dress (object),10
drink,drink (action),105
drink,drink (beverage),105
drive,drive,18
dry,dry (description),8
duck,duck,97
ear,ear,5
eat,eat,177
egg,egg,183
elephant,elephant,89
empty,empty,21
eye,eye,22
face,face,69
fall,fall,66
fast,fast,54
feed,feed,22
fine,fine,1
finger,finger,14
finish,finish,12
firetruck,firetruck,0
fish,fish (animal),105
fish,fish (food),105
flower,flower,8
food,food,102
foot,foot,36
fork,fork,0
frog,frog,10
garage,garage,57
garden,garden,26
gentle,gentle,11
get,get,727
giraffe,giraffe,39
girl,girl,10
give,give,53
glass,glass,1
glasses,glasses,5
go,go,1196
good,good,282
goose,goose,7
grandma,grandma,0
grandpa,grandpa,23
grrr,grrr,3
hair,hair,28
hammer,hammer,5
hand,hand,76
happy,happy,59
hard,hard,34
hat,hat,70
head,head,71
hello,hello,125
help,help,102
her,her,132
hi,hi,12
his,his,356
hit,hit,21
home,home,17
horse,horse,105
hot,hot,45
house,house,130
how,how,73
hug,hug,6
hungry,hungry,63
hurry,hurry,0
hurt,hurt (description),32
i,i,2051
in,in,1368
inside,inside,35
it,it,3162
jacket,jacket,0
jeans,jeans,1
juice,juice,68
jump,jump,77
keys,keys,5
kick,kick,11
kiss,kiss,24
kitchen,kitchen,15
kitty,kitty,0
knee,knee,16
lady,lady,25
lamb,lamb,0
lamp,lamp,0
later,later,29
leg,leg,19
light,light (object),14
lion,lion,27
little,little (description),276
look,look,1609
love,love,8
lunch,lunch,0
man,man,245
me,me,232
meat,meat,0
medicine,medicine,1
meow,meow,0
milk,milk,40
mine,mine,49
mommy,mommy,0
money,money,3
monkey,monkey,22
moo,moo,22
moon,moon,31
more,more,138
morning,morning,22
motorcycle,motorcycle,0
mouse,mouse,21
mouth,mouth,53
my,my,148
nap,nap,0
naughty,naughty,159
necklace,necklace,0
nice,nice,226
night,night,6
no,no,1634
none,none,2
nose,nose,63
not,not,948
now,now,758
off,off,278
old,old,9
on,on,1633
open,open (action),74
orange,orange (food),165
other,other,115
ouch,ouch,47
out,out,383
outside,outside,17
oven,oven,0
owl,owl,2
pajamas,pajamas,21
pants,pants,36
paper,paper,68
park,park,14
party,party,20
pattycake,pattycake,0
peas,peas,1
peekaboo,peekaboo,12
pen,pen,33
penguin,penguin,25
penny,penny,17
people,people,10
person,person,7
picture,picture,54
pig,pig,42
pillow,pillow,1
pizza,pizza,0
plant,plant,3
plate,plate,12
play,play,74
please,please,166
pony,pony,0
pool,pool,11
potty,potty,0
pretty,pretty,5
pull,pull,118
puppy,puppy,0
purse,purse,4
push,push,80
put,put,607
radio,radio,0
rain,rain,7
raisin,raisin,0
read,read,50
red,red,151
refrigerator,refrigerator,0
ride,ride,27
rock,rock (object),0
run,run,44
same,same,14
say,say,187
scared,scared,25
school,school,0
scissors,scissors,3
see,see,626
sheep,sheep,25
shh/shush/hush,shh,0
shirt,shirt,3
shoe,shoe,22
shorts,shorts,0
shovel,shovel,0
show,show,43
sick,sick,0
sing,sing,29
sink,sink,0
sister,sister,6
sky,sky,24
sleep,sleep,39
sleepy,sleepy,0
slide,slide (object),70
smile,smile,9
snow,snow,5
soap,soap,0
sock,sock,10
soft,soft,0
some,some,560
splash,splash,13
spoon,spoon,17
squirrel,squirrel,8
stairs,stairs,17
star,star,12
stop,stop,162
store,store,0
stove,stove,0
stroller,stroller,0
sun,sun,26
sweater,sweater,0
swim,swim,19
swing,swing (action),0
swing,swing (object),0
table,table,51
take,take,213
teacher,teacher,0
teddybear,teddybear,3
telephone,telephone,1
that,that,2760
there,there,1555
thirsty,thirsty,12
this,this,980
throw,throw,54
tickle,tickle,29
tiger,tiger,48
tired,tired,34
toast,toast,28
today,today,29
toe,toe,6
tomorrow,tomorrow,5
tongue,tongue,4
tonight,tonight,0
tooth,tooth,0
toothbrush,toothbrush,0
touch,touch,7
towel,towel,1
toy,toy (object),10
train,train,376
trash,trash,0
tree,tree,85
truck,truck,161
tummy,tummy,15
turkey,turkey,0
turtle,turtle,0
tv,tv,2
uncle,uncle,0
under,under,181
up,up,430
vacuum,vacuum,0
vroom,vroom,0
wait,wait,95
walk,walk,33
wash,wash,53
watch,watch (action),188
watch,watch (object),188
water,water (beverage),202
water,water (not beverage),202
wet,wet (description),31
what,what,1577
when,when (question),48
where,where (question),420
who,who,196
why,why,163
window,window,49
wipe,wipe,26
work,work (place),65
write,write,15
backyard,yard,0
yes,yes,294
you,you,3957
your,your,598
yucky,yucky,3
zipper,zipper,0
zoo,zoo,14
