word, uni_lemma, frequency_count
airplane,airplane,1
all,all,435
animal,animal,3
another,another,78
apple,apple,4
arm,arm,4
asleep,asleep,4
aunt,aunt,11
away,away,104
baby,baby,38
babysitter,babysitter,0
back,back (location),159
bad,bad,73
ball,ball,7
balloon,balloon,3
banana,banana,5
bath,bath,15
bathroom,bathroom,7
bathtub,bathtub,0
beach,beach,3
beads,beads,1
bear,bear,2
bed,bed,28
bedroom,bedroom,3
bee,bee,0
bib,bib,0
bicycle,bicycle,0
big,big,231
bird,bird,1
bite,bite,6
blanket,blanket,0
block,block,2
blow,blow,1
blue,blue,16
book,book,16
boots,boots,9
bottle,bottle,9
bowl,bowl,0
box,box,16
boy,boy,113
bread,bread,1
break,break,9
breakfast,breakfast,5
bring,bring,89
broken,broken,7
broom,broom,0
brother,brother,8
brush,brush (object),4
bubbles,bubbles,0
bug,bug,1
bump,bump,2
bunny,bunny,2
bus,bus,7
butter,butter,4
butterfly,butterfly,1
button,button,3
bye,bye,2
cake,cake,13
candy,candy,0
car,car,95
careful,careful,2
carrots,carrots,1
cat,cat,2
cereal,cereal,1
chair,chair,11
cheek,cheek,0
cheerios,cheerios,0
cheese,cheese,15
chicken,chicken (animal),12
chicken,chicken (food),12
child,child,46
church,church,14
clean,clean (action),21
clean,clean (description),21
clock,clock,2
close,close,7
coat,coat,23
cockadoodledoo,cockadoodledoo,0
coffee,coffee,9
cold,cold,23
comb,comb (object),0
cookie,cookie,2
couch,couch,0
cow,cow,0
cracker,cracker,0
crib,crib,0
cry,cry,13
cup,cup,22
cute,cute,0
daddy,daddy,39
dance,dance,3
dark,dark,7
day,day,86
deer,deer,0
diaper,diaper,0
dinner,dinner,11
dirty,dirty,7
dish,dish,1
dog,dog,29
doll,doll,5
dont,don't,439
donkey,donkey,0
door,door,49
down,down,368
draw,draw,1
drawer,drawer,2
dress,dress (object),15
drink,drink (action),25
drink,drink (beverage),25
drive,drive,8
dry,dry (description),4
duck,duck,8
ear,ear,7
eat,eat,136
egg,egg,9
elephant,elephant,5
empty,empty,4
eye,eye,6
face,face,31
fall,fall,10
fast,fast,4
feed,feed,4
fine,fine,9
finger,finger,5
finish,finish,9
firetruck,firetruck,0
fish,fish (animal),10
fish,fish (food),10
flower,flower,2
food,food,16
foot,foot,2
fork,fork,0
frog,frog,0
garage,garage,3
garden,garden,12
gentle,gentle,0
get,get,445
giraffe,giraffe,6
girl,girl,67
give,give,93
glass,glass,7
glasses,glasses,3
go,go,408
good,good,229
goose,goose,0
