word, uni_lemma, frequency_count
airplane,airplane,0
all,all,410
animal,animal,0
another,another,61
apple,apple,6
arm,arm,10
asleep,asleep,8
aunt,aunt,1
away,away,117
baby,baby,48
babysitter,babysitter,0
back,back (location),116
bad,bad,35
ball,ball,38
balloon,balloon,0
banana,banana,3
bath,bath,1
bathroom,bathroom,6
bathtub,bathtub,0
beach,beach,4
beads,beads,0
bear,bear,8
bed,bed,34
bedroom,bedroom,13
bee,bee,6
bib,bib,0
bicycle,bicycle,0
big,big,145
bird,bird,3
bite,bite,15
blanket,blanket,0
block,block,0
blow,blow,1
blue,blue,6
book,book,70
boots,boots,4
bottle,bottle,12
bowl,bowl,5
box,box,18
boy,boy,107
bread,bread,2
break,break,5
breakfast,breakfast,7
bring,bring,55
broken,broken,7
broom,broom,0
brother,brother,12
brush,brush (object),2
bubbles,bubbles,0
bug,bug,1
bump,bump,3
bunny,bunny,7
bus,bus,2
butter,butter,1
butterfly,butterfly,2
button,button,2
bye,bye,3
cake,cake,12
candy,candy,0
car,car,26
careful,careful,4
carrots,carrots,11
cat,cat,20
cereal,cereal,0
chair,chair,2
cheek,cheek,0
cheerios,cheerios,0
cheese,cheese,10
chicken,chicken (animal),2
chicken,chicken (food),2
child,child,18
church,church,8
clean,clean (action),8
clean,clean (description),8
clock,clock,8
close,close,8
coat,coat,2
cockadoodledoo,cockadoodledoo,0
coffee,coffee,0
cold,cold,14
comb,comb (object),0
cookie,cookie,0
couch,couch,0
cow,cow,2
cracker,cracker,0
crib,crib,0
cry,cry,9
cup,cup,16
cute,cute,1
daddy,daddy,73
dance,dance,2
dark,dark,16
day,day,98
deer,deer,0
diaper,diaper,0
dinner,dinner,17
dirty,dirty,3
dish,dish,0
dog,dog,15
doll,doll,2
dont,don't,340
donkey,donkey,3
door,door,30
down,down,146
draw,draw,12
drawer,drawer,0
dress,dress (object),0
drink,drink (action),35
drink,drink (beverage),35
drive,drive,5
dry,dry (description),7
duck,duck,7
ear,ear,5
eat,eat,34
egg,egg,3
elephant,elephant,13
empty,empty,0
eye,eye,11
face,face,9
fall,fall,15
fast,fast,1
feed,feed,10
fine,fine,10
finger,finger,6
finish,finish,3
firetruck,firetruck,0
fish,fish (animal),7
fish,fish (food),7
flower,flower,1
food,food,11
foot,foot,5
fork,fork,1
frog,frog,0
garage,garage,4
garden,garden,12
gentle,gentle,1
get,get,344
giraffe,giraffe,0
girl,girl,49
give,give,83
glass,glass,4
glasses,glasses,4
go,go,394
good,good,304
goose,goose,0
grandma,grandma,0
grandpa,grandpa,0
grrr,grrr,0
hair,hair,24
hammer,hammer,0
hand,hand,20
happy,happy,10
hard,hard,24
hat,hat,23
head,head,20
hello,hello,28
help,help,16
her,her,264
hi,hi,2
his,his,244
hit,hit,1
home,home,45
horse,horse,2
hot,hot,4
house,house,137
how,how,98
hug,hug,0
hungry,hungry,15
hurry,hurry,1
hurt,hurt (description),5
i,i,1845
in,in,800
inside,inside,9
it,it,1189
jacket,jacket,0
jeans,jeans,4
juice,juice,12
jump,jump,1
keys,keys,3
kick,kick,6
kiss,kiss,1
kitchen,kitchen,13
kitty,kitty,0
knee,knee,9
lady,lady,0
lamb,lamb,1
lamp,lamp,0
later,later,9
leg,leg,1
light,light (object),8
lion,lion,2
little,little (description),16
look,look,282
love,love,60
lunch,lunch,8
man,man,49
me,me,360
meat,meat,0
medicine,medicine,1
meow,meow,0
milk,milk,16
mine,mine,12
mommy,mommy,0
money,money,32
monkey,monkey,4
moo,moo,3
moon,moon,6
more,more,67
morning,morning,64
motorcycle,motorcycle,0
mouse,mouse,20
mouth,mouth,16
my,my,275
nap,nap,0
naughty,naughty,9
necklace,necklace,0
nice,nice,29
night,night,70
no,no,389
none,none,2
nose,nose,32
not,not,341
now,now,283
off,off,74
old,old,27
on,on,455
open,open (action),13
orange,orange (food),4
other,other,69
ouch,ouch,2
out,out,229
outside,outside,10
oven,oven,1
owl,owl,0
pajamas,pajamas,1
pants,pants,0
paper,paper,11
park,park,11
party,party,29
pattycake,pattycake,0
peas,peas,0
peekaboo,peekaboo,0
pen,pen,2
penguin,penguin,3
penny,penny,0
people,people,28
person,person,2
picture,picture,17
pig,pig,1
pillow,pillow,1
pizza,pizza,2
plant,plant,1
plate,plate,2
play,play,120
please,please,12
pony,pony,0
pool,pool,5
potty,potty,0
pretty,pretty,2
pull,pull,6
puppy,puppy,8
purse,purse,0
push,push,6
put,put,180
radio,radio,1
rain,rain,2
raisin,raisin,0
read,read,35
red,red,9
refrigerator,refrigerator,0
ride,ride,1
rock,rock (object),0
run,run,15
same,same,34
say,say,89
scared,scared,1
school,school,106
scissors,scissors,5
see,see,376
sheep,sheep,2
shh/shush/hush,shh,0
shirt,shirt,4
shoe,shoe,2
shorts,shorts,3
shovel,shovel,0
show,show,40
sick,sick,5
sing,sing,3
sink,sink,3
sister,sister,10
sky,sky,4
