word, uni_lemma, frequency_count
airplane,airplane,0
all,all,384
animal,animal,12
another,another,253
apple,apple,21
arm,arm,11
asleep,asleep,16
aunt,aunt,0
away,away,361
baby,baby,38
babysitter,babysitter,0
back,back (location),330
bad,bad,26
ball,ball,39
balloon,balloon,2
banana,banana,55
bath,bath,5
bathroom,bathroom,3
bathtub,bathtub,0
beach,beach,0
beads,beads,0
bear,bear,1
bed,bed,78
bedroom,bedroom,15
bee,bee,0
bib,bib,0
bicycle,bicycle,0
big,big,304
bird,bird,4
bite,bite,16
blanket,blanket,0
block,block,2
blow,blow,4
blue,blue,122
book,book,36
boots,boots,5
bottle,bottle,12
bowl,bowl,2
box,box,116
boy,boy,70
bread,bread,45
break,break,60
breakfast,breakfast,5
bring,bring,35
broken,broken,155
broom,broom,0
brother,brother,14
brush,brush (object),2
bubbles,bubbles,4
bug,bug,0
bump,bump,2
bunny,bunny,0
bus,bus,80
butter,butter,2
butterfly,butterfly,2
button,button,4
bye,bye,2
cake,cake,10
candy,candy,0
car,car,910
careful,careful,109
carrots,carrots,2
cat,cat,115
cereal,cereal,0
chair,chair,22
cheek,cheek,0
cheerios,cheerios,4
cheese,cheese,93
chicken,chicken (animal),76
chicken,chicken (food),76
child,child,9
church,church,0
clean,clean (action),9
clean,clean (description),9
clock,clock,3
close,close,15
coat,coat,3
cockadoodledoo,cockadoodledoo,5
coffee,coffee,1
cold,cold,16
comb,comb (object),2
cookie,cookie,0
couch,couch,0
cow,cow,124
cracker,cracker,0
crib,crib,0
cry,cry,12
cup,cup,1
cute,cute,1
daddy,daddy,280
dance,dance,2
dark,dark,0
day,day,39
deer,deer,0
diaper,diaper,0
dinner,dinner,18
dirty,dirty,27
dish,dish,2
dog,dog,118
doll,doll,47
dont,don't,1656
donkey,donkey,1
door,door,52
down,down,410
draw,draw,84
drawer,drawer,2
dress,dress (object),25
drink,drink (action),96
drink,drink (beverage),96
drive,drive,44
dry,dry (description),3
duck,duck,25
ear,ear,20
eat,eat,248
egg,egg,58
elephant,elephant,148
empty,empty,24
eye,eye,10
face,face,33
fall,fall,155
fast,fast,11
feed,feed,5
fine,fine,11
finger,finger,27
finish,finish,19
firetruck,firetruck,0
fish,fish (animal),48
fish,fish (food),48
flower,flower,7
food,food,44
foot,foot,64
fork,fork,0
frog,frog,0
garage,garage,75
garden,garden,13
gentle,gentle,1
get,get,802
giraffe,giraffe,42
girl,girl,21
give,give,230
glass,glass,15
glasses,glasses,11
go,go,1037
good,good,198
goose,goose,6
grandma,grandma,4
