word, uni_lemma, frequency_count
airplane,airplane,0
all,all,98
animal,animal,4
another,another,15
apple,apple,3
arm,arm,1
asleep,asleep,0
aunt,aunt,5
away,away,13
baby,baby,29
babysitter,babysitter,3
back,back (location),43
bad,bad,5
ball,ball,24
balloon,balloon,11
banana,banana,4
bath,bath,1
bathroom,bathroom,0
bathtub,bathtub,0
beach,beach,0
beads,beads,12
bear,bear,19
bed,bed,19
bedroom,bedroom,0
bee,bee,1
bib,bib,0
bicycle,bicycle,1
big,big,38
bird,bird,0
bite,bite,6
blanket,blanket,5
block,block,2
blow,blow,12
blue,blue,11
book,book,74
boots,boots,0
bottle,bottle,1
bowl,bowl,7
box,box,14
boy,boy,20
bread,bread,11
break,break,9
breakfast,breakfast,0
bring,bring,15
broken,broken,7
broom,broom,0
brother,brother,1
brush,brush (object),0
bubbles,bubbles,5
bug,bug,1
bump,bump,0
bunny,bunny,5
bus,bus,2
butter,butter,1
butterfly,butterfly,2
button,button,6
bye,bye,4
cake,cake,19
candy,candy,6
car,car,30
careful,careful,12
carrots,carrots,0
cat,cat,45
cereal,cereal,0
chair,chair,13
cheek,cheek,0
cheerios,cheerios,0
cheese,cheese,3
chicken,chicken (animal),4
chicken,chicken (food),4
child,child,0
church,church,0
clean,clean (action),2
clean,clean (description),2
clock,clock,0
close,close,1
coat,coat,1
cockadoodledoo,cockadoodledoo,0
coffee,coffee,2
cold,cold,5
comb,comb (object),0
cookie,cookie,0
couch,couch,4
cow,cow,2
cracker,cracker,0
crib,crib,0
cry,cry,9
cup,cup,6
cute,cute,4
daddy,daddy,55
dance,dance,3
dark,dark,4
day,day,12
deer,deer,11
diaper,diaper,1
dinner,dinner,8
dirty,dirty,1
dish,dish,0
dog,dog,9
doll,doll,4
dont,don't,189
donkey,donkey,0
door,door,7
down,down,30
draw,draw,17
drawer,drawer,8
dress,dress (object),2
drink,drink (action),10
drink,drink (beverage),10
drive,drive,10
dry,dry (description),3
duck,duck,5
ear,ear,1
eat,eat,74
egg,egg,2
elephant,elephant,20
empty,empty,1
eye,eye,0
face,face,19
fall,fall,9
fast,fast,0
feed,feed,5
fine,fine,0
finger,finger,0
finish,finish,0
firetruck,firetruck,0
fish,fish (animal),46
fish,fish (food),46
flower,flower,4
food,food,16
foot,foot,3
fork,fork,3
frog,frog,15
garage,garage,11
garden,garden,1
gentle,gentle,0
get,get,181
giraffe,giraffe,2
girl,girl,47
give,give,24
glass,glass,0
glasses,glasses,0
go,go,182
good,good,72
goose,goose,5
grandma,grandma,35
grandpa,grandpa,2
grrr,grrr,0
hair,hair,13
hammer,hammer,0
hand,hand,28
happy,happy,7
hard,hard,5
hat,hat,8
head,head,13
hello,hello,0
help,help,27
her,her,74
hi,hi,10
his,his,75
hit,hit,8
home,home,27
horse,horse,7
hot,hot,3
house,house,27
how,how,147
hug,hug,0
hungry,hungry,3
hurry,hurry,3
hurt,hurt (description),21
i,i,814
in,in,329
inside,inside,10
it,it,669
jacket,jacket,1
jeans,jeans,0
juice,juice,7
jump,jump,12
keys,keys,0
kick,kick,11
kiss,kiss,7
kitchen,kitchen,6
kitty,kitty,26
knee,knee,2
lady,lady,4
lamb,lamb,0
lamp,lamp,0
later,later,3
leg,leg,7
light,light (object),13
lion,lion,3
little,little (description),50
look,look,52
love,love,24
lunch,lunch,3
man,man,6
me,me,358
meat,meat,1
medicine,medicine,1
meow,meow,6
milk,milk,7
mine,mine,8
mommy,mommy,95
money,money,8
monkey,monkey,4
moo,moo,0
moon,moon,0
more,more,66
morning,morning,2
motorcycle,motorcycle,0
mouse,mouse,11
mouth,mouth,9
my,my,271
nap,nap,2
naughty,naughty,3
necklace,necklace,6
nice,nice,11
night,night,7
no,no,254
none,none,1
nose,nose,10
not,not,167
now,now,95
off,off,39
old,old,12
on,on,334
open,open (action),14
orange,orange (food),7
other,other,25
ouch,ouch,4
out,out,76
outside,outside,16
oven,oven,0
owl,owl,1
pajamas,pajamas,1
pants,pants,3
paper,paper,6
park,park,5
party,party,24
pattycake,pattycake,0
peas,peas,0
peekaboo,peekaboo,0
pen,pen,3
penguin,penguin,0
penny,penny,0
people,people,5
person,person,1
picture,picture,34
pig,pig,6
pillow,pillow,2
pizza,pizza,2
plant,plant,0
plate,plate,3
play,play,133
please,please,24
pony,pony,0
pool,pool,7
potty,potty,14
pretty,pretty,16
pull,pull,11
puppy,puppy,3
purse,purse,4
push,push,13
put,put,96
radio,radio,3
rain,rain,5
raisin,raisin,0
read,read,54
red,red,10
refrigerator,refrigerator,0
ride,ride,15
rock,rock (object),2
run,run,10
same,same,2
say,say,43
scared,scared,6
school,school,8
scissors,scissors,0
see,see,108
sheep,sheep,3
shh/shush/hush,shh,0
shirt,shirt,12
shoe,shoe,1
shorts,shorts,0
shovel,shovel,0
show,show,24
sick,sick,17
sing,sing,3
sink,sink,1
sister,sister,0
sky,sky,2
sleep,sleep,8
sleepy,sleepy,1
