word, uni_lemma, frequency_count
airplane,airplane,2
all,all,338
animal,animal,8
another,another,49
apple,apple,7
arm,arm,3
asleep,asleep,4
aunt,aunt,2
away,away,38
baby,baby,105
babysitter,babysitter,14
back,back (location),88
bad,bad,14
ball,ball,7
balloon,balloon,2
banana,banana,0
bath,bath,3
bathroom,bathroom,4
bathtub,bathtub,6
beach,beach,6
beads,beads,3
bear,bear,26
bed,bed,50
bedroom,bedroom,1
bee,bee,6
bib,bib,0
bicycle,bicycle,3
big,big,167
bird,bird,30
bite,bite,2
blanket,blanket,31
block,block,2
blow,blow,5
blue,blue,53
book,book,16
boots,boots,4
bottle,bottle,4
bowl,bowl,3
box,box,14
boy,boy,19
bread,bread,3
break,break,2
breakfast,breakfast,18
bring,bring,51
broken,broken,6
broom,broom,19
brother,brother,9
brush,brush (object),11
bubbles,bubbles,0
bug,bug,0
bump,bump,3
bunny,bunny,15
bus,bus,3
butter,butter,11
butterfly,butterfly,7
button,button,2
bye,bye,24
cake,cake,29
candy,candy,3
car,car,76
careful,careful,5
carrots,carrots,0
cat,cat,22
cereal,cereal,0
chair,chair,8
cheek,cheek,0
cheerios,cheerios,0
cheese,cheese,6
chicken,chicken (animal),31
chicken,chicken (food),31
child,child,1
church,church,0
clean,clean (action),9
clean,clean (description),9
clock,clock,1
close,close,23
coat,coat,8
cockadoodledoo,cockadoodledoo,7
coffee,coffee,1
cold,cold,26
comb,comb (object),8
cookie,cookie,0
couch,couch,6
cow,cow,11
cracker,cracker,0
crib,crib,1
cry,cry,2
cup,cup,1
cute,cute,5
daddy,daddy,110
dance,dance,3
dark,dark,13
day,day,24
deer,deer,0
diaper,diaper,11
dinner,dinner,19
dirty,dirty,5
dish,dish,0
dog,dog,95
doll,doll,1
dont,don't,308
donkey,donkey,4
door,door,17
down,down,69
draw,draw,57
drawer,drawer,0
dress,dress (object),4
drink,drink (action),12
drink,drink (beverage),12
drive,drive,27
dry,dry (description),3
duck,duck,10
ear,ear,0
eat,eat,98
egg,egg,3
elephant,elephant,6
empty,empty,5
eye,eye,3
face,face,10
fall,fall,13
fast,fast,8
feed,feed,0
fine,fine,7
finger,finger,1
finish,finish,4
firetruck,firetruck,0
fish,fish (animal),12
fish,fish (food),12
flower,flower,17
food,food,39
foot,foot,5
fork,fork,0
frog,frog,6
garage,garage,4
garden,garden,0
gentle,gentle,3
get,get,319
giraffe,giraffe,3
girl,girl,22
give,give,48
glass,glass,2
glasses,glasses,3
go,go,424
good,good,157
goose,goose,1
grandma,grandma,16
grandpa,grandpa,4
grrr,grrr,0
hair,hair,15
hammer,hammer,0
hand,hand,14
happy,happy,13
hard,hard,6
hat,hat,6
head,head,33
hello,hello,32
help,help,96
her,her,81
hi,hi,44
his,his,83
hit,hit,2
home,home,32
horse,horse,73
hot,hot,7
house,house,93
how,how,250
hug,hug,0
hungry,hungry,29
hurry,hurry,4
hurt,hurt (description),15
i,i,1487
in,in,603
inside,inside,38
it,it,732
jacket,jacket,2
jeans,jeans,0
juice,juice,4
jump,jump,25
keys,keys,0
kick,kick,0
kiss,kiss,1
kitchen,kitchen,5
kitty,kitty,13
knee,knee,1
lady,lady,22
lamb,lamb,0
lamp,lamp,0
later,later,14
leg,leg,6
light,light (object),14
lion,lion,22
little,little (description),141
look,look,182
love,love,7
lunch,lunch,9
man,man,4
me,me,340
meat,meat,0
medicine,medicine,15
meow,meow,0
milk,milk,43
mine,mine,9
mommy,mommy,108
money,money,9
monkey,monkey,6
moo,moo,4
moon,moon,7
more,more,103
morning,morning,12
motorcycle,motorcycle,0
mouse,mouse,6
mouth,mouth,38
