word, uni_lemma, frequency_count
airplane,airplane,23
all,all,700
animal,animal,31
another,another,275
apple,apple,93
arm,arm,28
asleep,asleep,17
aunt,aunt,5
away,away,191
baby,baby,251
babysitter,babysitter,0
back,back (location),549
bad,bad,41
ball,ball,539
balloon,balloon,65
banana,banana,20
bath,bath,23
bathroom,bathroom,17
bathtub,bathtub,3
beach,beach,12
beads,beads,14
bear,bear,196
bed,bed,101
bedroom,bedroom,14
bee,bee,30
bib,bib,1
bicycle,bicycle,22
big,big,417
bird,bird,111
bite,bite,20
blanket,blanket,4
block,block,98
blow,blow,49
blue,blue,360
book,book,537
boots,boots,9
bottle,bottle,189
bowl,bowl,19
box,box,187
boy,boy,130
bread,bread,1
break,break,49
breakfast,breakfast,21
bring,bring,21
broken,broken,114
broom,broom,5
brother,brother,9
brush,brush (object),21
bubbles,bubbles,128
bug,bug,20
bump,bump,169
bunny,bunny,117
bus,bus,90
butter,butter,0
butterfly,butterfly,18
button,button,53
bye,bye,134
cake,cake,18
candy,candy,20
car,car,538
careful,careful,136
carrots,carrots,16
cat,cat,293
cereal,cereal,32
chair,chair,72
cheek,cheek,2
cheerios,cheerios,29
cheese,cheese,11
chicken,chicken (animal),25
chicken,chicken (food),25
child,child,1
church,church,0
clean,clean (action),62
clean,clean (description),62
clock,clock,29
close,close,57
coat,coat,3
cockadoodledoo,cockadoodledoo,4
coffee,coffee,6
cold,cold,27
comb,comb (object),0
cookie,cookie,36
couch,couch,22
cow,cow,101
cracker,cracker,13
crib,crib,5
cry,cry,12
cup,cup,17
cute,cute,13
daddy,daddy,133
dance,dance,28
dark,dark,40
day,day,101
deer,deer,4
diaper,diaper,27
dinner,dinner,12
dirty,dirty,35
dish,dish,0
dog,dog,197
doll,doll,6
dont,don't,583
donkey,donkey,0
door,door,141
down,down,961
draw,draw,106
drawer,drawer,7
dress,dress (object),4
drink,drink (action),31
drink,drink (beverage),31
drive,drive,28
dry,dry (description),21
duck,duck,51
ear,ear,45
eat,eat,99
egg,egg,50
elephant,elephant,33
empty,empty,32
eye,eye,54
face,face,114
fall,fall,61
fast,fast,80
feed,feed,5
fine,fine,17
finger,finger,72
finish,finish,33
firetruck,firetruck,29
fish,fish (animal),39
fish,fish (food),39
flower,flower,35
food,food,42
foot,foot,21
fork,fork,0
frog,frog,22
garage,garage,14
garden,garden,2
gentle,gentle,88
get,get,469
giraffe,giraffe,14
girl,girl,37
give,give,95
glass,glass,7
glasses,glasses,51
go,go,1470
good,good,415
goose,goose,1
grandma,grandma,15
grandpa,grandpa,6
grrr,grrr,2
hair,hair,53
hammer,hammer,63
hand,hand,157
happy,happy,53
hard,hard,160
hat,hat,238
head,head,179
hello,hello,69
help,help,166
her,her,110
hi,hi,201
his,his,543
hit,hit,24
home,home,71
horse,horse,39
hot,hot,44
house,house,260
how,how,271
hug,hug,28
hungry,hungry,51
hurry,hurry,25
hurt,hurt (description),51
i,i,2182
in,in,1859
inside,inside,185
it,it,3993
jacket,jacket,0
jeans,jeans,0
juice,juice,91
jump,jump,45
keys,keys,3
kick,kick,6
kiss,kiss,68
kitchen,kitchen,3
kitty,kitty,64
knee,knee,6
lady,lady,27
lamb,lamb,34
lamp,lamp,3
later,later,35
leg,leg,27
light,light (object),91
lion,lion,8
little,little (description),824
look,look,566
love,love,47
lunch,lunch,21
man,man,41
me,me,662
meat,meat,3
medicine,medicine,6
meow,meow,96
milk,milk,106
mine,mine,64
mommy,mommy,437
money,money,15
monkey,monkey,54
moo,moo,47
moon,moon,99
more,more,440
morning,morning,61
motorcycle,motorcycle,9
mouse,mouse,14
mouth,mouth,141
my,my,487
nap,nap,22
naughty,naughty,4
necklace,necklace,7
nice,nice,136
night,night,52
no,no,710
none,none,10
nose,nose,131
not,not,546
now,now,718
off,off,458
old,old,55
on,on,1925
open,open (action),321
orange,orange (food),107
other,other,240
ouch,ouch,10
out,out,673
outside,outside,106
oven,oven,12
owl,owl,32
pajamas,pajamas,3
pants,pants,57
paper,paper,69
park,park,14
party,party,5
pattycake,pattycake,8
peas,peas,13
peekaboo,peekaboo,66
pen,pen,49
penguin,penguin,7
penny,penny,4
people,people,80
person,person,7
picture,picture,100
pig,pig,122
pillow,pillow,18
pizza,pizza,28
plant,plant,2
plate,plate,20
play,play,223
please,please,136
pony,pony,0
pool,pool,1
potty,potty,119
pretty,pretty,101
pull,pull,161
puppy,puppy,8
purse,purse,6
push,push,182
put,put,770
radio,radio,3
rain,rain,27
raisin,raisin,6
read,read,222
red,red,310
refrigerator,refrigerator,9
ride,ride,43
rock,rock (object),22
run,run,50
same,same,95
say,say,197
scared,scared,46
school,school,44
scissors,scissors,11
see,see,1003
sheep,sheep,54
shh/shush/hush,shh,0
shirt,shirt,104
shoe,shoe,57
shorts,shorts,3
shovel,shovel,22
show,show,48
sick,sick,8
sing,sing,24
sink,sink,2
sister,sister,7
sky,sky,50
sleep,sleep,65
sleepy,sleepy,77
slide,slide (object),31
smile,smile,23
snow,snow,44
soap,soap,1
sock,sock,25
soft,soft,20
some,some,652
splash,splash,29
spoon,spoon,12
squirrel,squirrel,5
stairs,stairs,16
star,star,87
stop,stop,182
store,store,22
stove,stove,9
stroller,stroller,4
sun,sun,57
sweater,sweater,2
swim,swim,11
