word, uni_lemma, frequency_count
airplane,airplane,0
all,all,384
animal,animal,19
another,another,134
apple,apple,35
arm,arm,17
asleep,asleep,38
aunt,aunt,0
away,away,96
baby,baby,106
babysitter,babysitter,0
back,back (location),182
bad,bad,19
ball,ball,21
balloon,balloon,9
banana,banana,15
bath,bath,39
bathroom,bathroom,9
bathtub,bathtub,0
beach,beach,22
beads,beads,0
bear,bear,4
bed,bed,115
bedroom,bedroom,10
bee,bee,9
bib,bib,3
bicycle,bicycle,8
big,big,266
bird,bird,18
bite,bite,11
blanket,blanket,6
block,block,1
blow,blow,26
blue,blue,65
book,book,87
boots,boots,13
bottle,bottle,10
bowl,bowl,8
box,box,94
boy,boy,31
bread,bread,14
break,break,21
breakfast,breakfast,4
bring,bring,63
broken,broken,35
broom,broom,0
brother,brother,16
brush,brush (object),23
bubbles,bubbles,17
bug,bug,1
bump,bump,25
bunny,bunny,0
bus,bus,29
butter,butter,8
butterfly,butterfly,6
button,button,11
bye,bye,15
cake,cake,28
candy,candy,0
car,car,121
careful,careful,72
carrots,carrots,0
cat,cat,46
cereal,cereal,1
chair,chair,18
cheek,cheek,1
cheerios,cheerios,0
cheese,cheese,29
chicken,chicken (animal),11
chicken,chicken (food),11
child,child,0
church,church,2
clean,clean (action),23
clean,clean (description),23
clock,clock,11
close,close,21
coat,coat,18
cockadoodledoo,cockadoodledoo,5
coffee,coffee,6
cold,cold,34
comb,comb (object),1
cookie,cookie,0
couch,couch,0
cow,cow,34
cracker,cracker,1
crib,crib,2
cry,cry,9
cup,cup,20
cute,cute,0
daddy,daddy,335
dance,dance,3
dark,dark,11
day,day,87
deer,deer,1
diaper,diaper,0
dinner,dinner,43
dirty,dirty,21
dish,dish,0
dog,dog,47
doll,doll,12
dont,don't,944
donkey,donkey,3
door,door,87
down,down,262
draw,draw,46
drawer,drawer,3
dress,dress (object),56
drink,drink (action),48
drink,drink (beverage),48
drive,drive,25
dry,dry (description),20
duck,duck,37
ear,ear,18
eat,eat,95
egg,egg,40
elephant,elephant,31
empty,empty,10
eye,eye,10
face,face,49
fall,fall,46
fast,fast,22
feed,feed,7
fine,fine,5
finger,finger,11
finish,finish,6
firetruck,firetruck,0
fish,fish (animal),49
fish,fish (food),49
flower,flower,1
food,food,24
foot,foot,47
fork,fork,4
frog,frog,15
garage,garage,4
garden,garden,28
gentle,gentle,0
get,get,551
giraffe,giraffe,1
girl,girl,78
give,give,88
glass,glass,5
glasses,glasses,4
go,go,900
good,good,266
goose,goose,1
grandma,grandma,2
