word, uni_lemma, frequency_count
airplane,airplane,52
all,all,162
animal,animal,15
another,another,54
apple,apple,5
arm,arm,5
asleep,asleep,0
aunt,aunt,3
away,away,35
baby,baby,2
babysitter,babysitter,2
back,back (location),113
bad,bad,18
ball,ball,6
balloon,balloon,2
banana,banana,1
bath,bath,10
bathroom,bathroom,0
bathtub,bathtub,2
beach,beach,1
beads,beads,1
bear,bear,18
bed,bed,20
bedroom,bedroom,0
bee,bee,17
bib,bib,0
bicycle,bicycle,0
big,big,80
bird,bird,15
bite,bite,12
blanket,blanket,0
block,block,7
blow,blow,15
blue,blue,35
book,book,11
boots,boots,6
bottle,bottle,0
bowl,bowl,6
box,box,16
boy,boy,36
bread,bread,0
break,break,4
breakfast,breakfast,12
bring,bring,15
broken,broken,5
broom,broom,0
brother,brother,1
brush,brush (object),0
bubbles,bubbles,0
bug,bug,0
bump,bump,0
bunny,bunny,79
bus,bus,6
butter,butter,0
butterfly,butterfly,2
button,button,2
bye,bye,17
cake,cake,22
candy,candy,9
car,car,29
careful,careful,19
carrots,carrots,6
cat,cat,9
cereal,cereal,5
chair,chair,6
cheek,cheek,0
cheerios,cheerios,0
cheese,cheese,23
chicken,chicken (animal),12
chicken,chicken (food),12
child,child,1
church,church,4
clean,clean (action),4
clean,clean (description),4
clock,clock,12
close,close,9
coat,coat,4
cockadoodledoo,cockadoodledoo,0
coffee,coffee,2
cold,cold,8
comb,comb (object),16
cookie,cookie,13
couch,couch,0
cow,cow,10
cracker,cracker,4
crib,crib,0
cry,cry,3
cup,cup,13
cute,cute,1
daddy,daddy,77
dance,dance,0
dark,dark,16
day,day,8
deer,deer,1
diaper,diaper,0
dinner,dinner,13
dirty,dirty,1
dish,dish,2
dog,dog,24
doll,doll,7
dont,don't,339
donkey,donkey,0
door,door,15
down,down,79
draw,draw,0
drawer,drawer,0
dress,dress (object),1
drink,drink (action),35
drink,drink (beverage),35
drive,drive,28
dry,dry (description),5
duck,duck,23
ear,ear,21
eat,eat,44
egg,egg,22
elephant,elephant,44
empty,empty,2
eye,eye,8
face,face,4
fall,fall,18
fast,fast,4
feed,feed,5
fine,fine,1
finger,finger,6
finish,finish,3
firetruck,firetruck,1
fish,fish (animal),11
fish,fish (food),11
flower,flower,2
food,food,6
foot,foot,23
fork,fork,0
frog,frog,9
garage,garage,0
garden,garden,2
gentle,gentle,0
get,get,259
giraffe,giraffe,20
girl,girl,8
give,give,51
glass,glass,7
glasses,glasses,3
go,go,341
good,good,63
goose,goose,1
grandma,grandma,10
grandpa,grandpa,12
grrr,grrr,0
hair,hair,55
hammer,hammer,39
hand,hand,36
happy,happy,10
hard,hard,18
hat,hat,5
head,head,33
hello,hello,32
help,help,40
her,her,52
hi,hi,60
his,his,95
hit,hit,14
home,home,52
horse,horse,8
hot,hot,14
house,house,31
how,how,150
hug,hug,17
hungry,hungry,2
hurry,hurry,9
hurt,hurt (description),14
i,i,977
in,in,498
inside,inside,10
it,it,734
jacket,jacket,1
jeans,jeans,0
juice,juice,18
jump,jump,2
keys,keys,3
kick,kick,0
kiss,kiss,4
kitchen,kitchen,11
kitty,kitty,8
knee,knee,3
lady,lady,9
lamb,lamb,0
lamp,lamp,0
later,later,7
leg,leg,16
light,light (object),2
lion,lion,31
little,little (description),51
look,look,113
love,love,9
lunch,lunch,7
man,man,50
me,me,268
meat,meat,0
medicine,medicine,0
meow,meow,1
