word, uni_lemma, frequency_count
airplane,airplane,0
all,all,757
animal,animal,11
another,another,234
apple,apple,46
arm,arm,14
asleep,asleep,14
aunt,aunt,0
away,away,90
baby,baby,172
babysitter,babysitter,0
back,back (location),298
bad,bad,13
ball,ball,36
balloon,balloon,5
banana,banana,31
bath,bath,24
bathroom,bathroom,0
bathtub,bathtub,0
beach,beach,4
beads,beads,0
bear,bear,5
bed,bed,45
bedroom,bedroom,11
bee,bee,8
bib,bib,0
bicycle,bicycle,3
big,big,384
bird,bird,7
bite,bite,27
blanket,blanket,1
block,block,0
blow,blow,20
blue,blue,97
book,book,193
boots,boots,6
bottle,bottle,11
bowl,bowl,0
box,box,81
boy,boy,105
bread,bread,15
break,break,43
breakfast,breakfast,29
bring,bring,24
broken,broken,68
broom,broom,0
brother,brother,9
brush,brush (object),9
bubbles,bubbles,7
bug,bug,1
bump,bump,39
bunny,bunny,9
bus,bus,22
butter,butter,3
butterfly,butterfly,2
button,button,3
bye,bye,57
cake,cake,95
candy,candy,0
car,car,255
careful,careful,57
carrots,carrots,20
cat,cat,16
cereal,cereal,0
chair,chair,42
cheek,cheek,0
cheerios,cheerios,0
cheese,cheese,33
chicken,chicken (animal),60
chicken,chicken (food),60
child,child,0
church,church,0
clean,clean (action),43
clean,clean (description),43
clock,clock,15
close,close,7
coat,coat,4
cockadoodledoo,cockadoodledoo,10
coffee,coffee,23
cold,cold,79
comb,comb (object),6
cookie,cookie,0
couch,couch,0
cow,cow,55
cracker,cracker,0
crib,crib,0
cry,cry,7
cup,cup,42
cute,cute,5
daddy,daddy,180
dance,dance,7
dark,dark,12
day,day,82
deer,deer,1
diaper,diaper,0
dinner,dinner,80
dirty,dirty,38
dish,dish,4
dog,dog,47
doll,doll,4
dont,don't,1378
donkey,donkey,4
door,door,67
down,down,353
draw,draw,85
drawer,drawer,0
dress,dress (object),11
drink,drink (action),49
drink,drink (beverage),49
drive,drive,50
dry,dry (description),20
duck,duck,24
ear,ear,10
eat,eat,158
egg,egg,28
elephant,elephant,60
empty,empty,27
eye,eye,15
face,face,55
fall,fall,111
fast,fast,26
feed,feed,1
fine,fine,15
finger,finger,19
finish,finish,6
firetruck,firetruck,0
fish,fish (animal),76
fish,fish (food),76
flower,flower,2
food,food,36
foot,foot,51
fork,fork,8
frog,frog,9
garage,garage,28
garden,garden,12
gentle,gentle,7
get,get,676
giraffe,giraffe,37
girl,girl,21
give,give,88
glass,glass,2
glasses,glasses,27
go,go,959
good,good,415
goose,goose,25
grandma,grandma,49
grandpa,grandpa,31
grrr,grrr,7
hair,hair,95
hammer,hammer,10
hand,hand,46
happy,happy,38
hard,hard,32
hat,hat,92
head,head,116
hello,hello,178
help,help,57
her,her,176
hi,hi,0
his,his,381
hit,hit,7
home,home,57
horse,horse,76
hot,hot,30
house,house,72
how,how,163
hug,hug,5
hungry,hungry,16
hurry,hurry,7
hurt,hurt (description),68
i,i,2416
in,in,1444
inside,inside,15
it,it,3576
jacket,jacket,0
jeans,jeans,2
juice,juice,10
jump,jump,16
keys,keys,4
kick,kick,12
kiss,kiss,27
kitchen,kitchen,10
kitty,kitty,0
knee,knee,23
lady,lady,72
lamb,lamb,5
lamp,lamp,0
later,later,21
leg,leg,34
light,light (object),12
lion,lion,18
little,little (description),217
look,look,1232
love,love,25
lunch,lunch,3
man,man,80
me,me,682
meat,meat,14
medicine,medicine,13
meow,meow,1
milk,milk,104
mine,mine,28
mommy,mommy,0
money,money,46
monkey,monkey,62
moo,moo,15
moon,moon,0
more,more,362
morning,morning,48
motorcycle,motorcycle,0
mouse,mouse,9
mouth,mouth,36
my,my,507
nap,nap,4
naughty,naughty,113
necklace,necklace,0
nice,nice,241
night,night,30
no,no,1679
none,none,8
nose,nose,80
not,not,1052
now,now,907
off,off,351
old,old,36
on,on,1712
open,open (action),45
orange,orange (food),49
other,other,171
ouch,ouch,23
out,out,305
outside,outside,23
oven,oven,1
owl,owl,0
pajamas,pajamas,2
pants,pants,16
paper,paper,37
park,park,20
party,party,31
pattycake,pattycake,0
peas,peas,5
peekaboo,peekaboo,3
pen,pen,26
penguin,penguin,59
penny,penny,8
people,people,53
person,person,4
picture,picture,35
pig,pig,48
pillow,pillow,18
pizza,pizza,10
plant,plant,2
plate,plate,12
play,play,260
please,please,123
pony,pony,1
