word, uni_lemma, frequency_count
airplane,airplane,0
all,all,412
animal,animal,34
another,another,289
apple,apple,57
arm,arm,25
asleep,asleep,34
aunt,aunt,0
away,away,81
baby,baby,109
babysitter,babysitter,0
back,back (location),243
bad,bad,8
ball,ball,18
balloon,balloon,20
banana,banana,26
bath,bath,42
bathroom,bathroom,3
bathtub,bathtub,0
beach,beach,1
beads,beads,2
bear,bear,21
bed,bed,18
bedroom,bedroom,25
bee,bee,2
bib,bib,8
bicycle,bicycle,0
big,big,305
bird,bird,11
bite,bite,10
blanket,blanket,7
block,block,0
blow,blow,7
blue,blue,168
book,book,102
boots,boots,4
bottle,bottle,37
bowl,bowl,3
box,box,364
boy,boy,23
bread,bread,29
break,break,1
breakfast,breakfast,28
bring,bring,46
broken,broken,49
broom,broom,0
brother,brother,2
brush,brush (object),2
bubbles,bubbles,4
bug,bug,0
bump,bump,10
bunny,bunny,0
bus,bus,33
butter,butter,1
butterfly,butterfly,16
button,button,22
bye,bye,10
cake,cake,52
candy,candy,0
car,car,289
careful,careful,17
carrots,carrots,0
cat,cat,36
cereal,cereal,0
chair,chair,42
cheek,cheek,1
cheerios,cheerios,0
cheese,cheese,10
chicken,chicken (animal),38
chicken,chicken (food),38
child,child,2
church,church,17
clean,clean (action),19
clean,clean (description),19
clock,clock,7
close,close,14
coat,coat,11
cockadoodledoo,cockadoodledoo,7
coffee,coffee,12
cold,cold,30
comb,comb (object),0
cookie,cookie,0
couch,couch,0
cow,cow,172
cracker,cracker,0
crib,crib,0
cry,cry,5
cup,cup,21
cute,cute,0
daddy,daddy,157
dance,dance,7
dark,dark,17
day,day,27
deer,deer,2
diaper,diaper,0
dinner,dinner,28
dirty,dirty,40
dish,dish,6
dog,dog,40
doll,doll,101
dont,don't,373
donkey,donkey,0
door,door,62
down,down,237
draw,draw,169
drawer,drawer,0
dress,dress (object),82
drink,drink (action),84
drink,drink (beverage),84
drive,drive,41
dry,dry (description),9
duck,duck,15
ear,ear,5
eat,eat,105
egg,egg,72
elephant,elephant,41
empty,empty,21
eye,eye,16
face,face,25
fall,fall,10
fast,fast,25
feed,feed,14
fine,fine,21
finger,finger,33
finish,finish,27
firetruck,firetruck,0
fish,fish (animal),56
fish,fish (food),56
flower,flower,3
food,food,47
foot,foot,25
fork,fork,2
frog,frog,12
garage,garage,22
garden,garden,30
gentle,gentle,9
get,get,272
giraffe,giraffe,28
girl,girl,21
give,give,110
glass,glass,1
glasses,glasses,0
go,go,615
good,good,586
goose,goose,0
grandma,grandma,3
grandpa,grandpa,34
grrr,grrr,0
hair,hair,46
hammer,hammer,51
hand,hand,76
happy,happy,67
hard,hard,15
hat,hat,53
head,head,56
hello,hello,72
help,help,74
her,her,239
hi,hi,1
his,his,105
hit,hit,13
home,home,20
horse,horse,154
hot,hot,52
house,house,109
how,how,218
hug,hug,0
hungry,hungry,27
hurry,hurry,0
hurt,hurt (description),20
i,i,1317
in,in,1577
inside,inside,68
it,it,2993
jacket,jacket,2
jeans,jeans,2
juice,juice,35
jump,jump,5
keys,keys,2
kick,kick,3
kiss,kiss,23
kitchen,kitchen,15
kitty,kitty,0
knee,knee,7
lady,lady,29
lamb,lamb,17
lamp,lamp,0
later,later,110
leg,leg,24
light,light (object),12
lion,lion,22
little,little (description),212
look,look,606
love,love,5
lunch,lunch,6
man,man,139
me,me,437
meat,meat,5
medicine,medicine,2
meow,meow,0
milk,milk,63
mine,mine,14
