word, uni_lemma, frequency_count
airplane,airplane,0
all,all,1752
animal,animal,69
another,another,609
apple,apple,153
arm,arm,50
asleep,asleep,160
aunt,aunt,0
away,away,567
baby,baby,865
babysitter,babysitter,0
back,back (location),820
bad,bad,35
ball,ball,151
balloon,balloon,97
banana,banana,88
bath,bath,142
bathroom,bathroom,12
bathtub,bathtub,0
beach,beach,19
beads,beads,2
bear,bear,20
bed,bed,465
bedroom,bedroom,55
bee,bee,16
bib,bib,71
bicycle,bicycle,24
big,big,853
bird,bird,45
bite,bite,55
blanket,blanket,23
block,block,11
blow,blow,186
blue,blue,266
book,book,422
boots,boots,28
bottle,bottle,221
bowl,bowl,73
box,box,249
boy,boy,95
bread,bread,95
break,break,161
breakfast,breakfast,164
bring,bring,176
broken,broken,198
broom,broom,1
brother,brother,12
brush,brush (object),67
bubbles,bubbles,18
bug,bug,0
bump,bump,15
bunny,bunny,6
bus,bus,31
butter,butter,29
butterfly,butterfly,19
button,button,14
bye,bye,235
cake,cake,210
candy,candy,0
car,car,360
careful,careful,263
carrots,carrots,46
cat,cat,131
cereal,cereal,20
chair,chair,294
cheek,cheek,3
cheerios,cheerios,0
cheese,cheese,42
chicken,chicken (animal),54
chicken,chicken (food),54
child,child,15
church,church,1
clean,clean (action),123
clean,clean (description),123
clock,clock,39
close,close,40
coat,coat,32
cockadoodledoo,cockadoodledoo,19
coffee,coffee,65
cold,cold,189
comb,comb (object),12
cookie,cookie,1
couch,couch,2
cow,cow,151
cracker,cracker,1
crib,crib,0
cry,cry,49
cup,cup,169
cute,cute,1
daddy,daddy,1379
dance,dance,7
dark,dark,43
day,day,130
deer,deer,6
diaper,diaper,0
dinner,dinner,548
dirty,dirty,148
dish,dish,2
dog,dog,67
doll,doll,5
dont,don't,3774
donkey,donkey,18
door,door,251
down,down,1311
draw,draw,197
drawer,drawer,18
dress,dress (object),62
drink,drink (action),230
drink,drink (beverage),230
drive,drive,44
dry,dry (description),105
duck,duck,76
ear,ear,27
eat,eat,636
egg,egg,86
elephant,elephant,102
empty,empty,14
eye,eye,59
face,face,131
fall,fall,253
fast,fast,30
feed,feed,68
fine,fine,23
finger,finger,88
finish,finish,104
firetruck,firetruck,0
fish,fish (animal),177
fish,fish (food),177
flower,flower,49
food,food,100
foot,foot,89
fork,fork,69
frog,frog,32
garage,garage,62
garden,garden,71
gentle,gentle,14
get,get,2836
giraffe,giraffe,60
girl,girl,565
give,give,514
glass,glass,19
glasses,glasses,25
go,go,3898
good,good,935
goose,goose,21
grandma,grandma,135
grandpa,grandpa,47
grrr,grrr,45
hair,hair,275
hammer,hammer,18
hand,hand,289
