word, uni_lemma, frequency_count
airplane,airplane,0
all,all,519
animal,animal,3
another,another,205
apple,apple,17
arm,arm,25
asleep,asleep,45
aunt,aunt,0
away,away,135
baby,baby,105
babysitter,babysitter,0
back,back (location),184
bad,bad,13
ball,ball,43
balloon,balloon,3
banana,banana,12
bath,bath,9
bathroom,bathroom,0
bathtub,bathtub,0
beach,beach,4
beads,beads,2
bear,bear,11
bed,bed,28
bedroom,bedroom,0
bee,bee,24
bib,bib,13
bicycle,bicycle,0
big,big,383
bird,bird,27
bite,bite,59
blanket,blanket,9
block,block,4
blow,blow,27
blue,blue,149
book,book,155
boots,boots,6
bottle,bottle,32
bowl,bowl,10
box,box,77
boy,boy,35
bread,bread,18
break,break,19
breakfast,breakfast,14
bring,bring,39
broken,broken,26
broom,broom,0
brother,brother,1
brush,brush (object),9
bubbles,bubbles,5
bug,bug,0
bump,bump,33
bunny,bunny,11
bus,bus,11
butter,butter,3
butterfly,butterfly,17
button,button,12
bye,bye,39
cake,cake,38
candy,candy,0
car,car,62
careful,careful,20
carrots,carrots,10
cat,cat,71
cereal,cereal,0
chair,chair,34
cheek,cheek,1
cheerios,cheerios,0
cheese,cheese,29
chicken,chicken (animal),51
chicken,chicken (food),51
child,child,8
church,church,0
clean,clean (action),8
clean,clean (description),8
clock,clock,7
close,close,15
coat,coat,3
cockadoodledoo,cockadoodledoo,0
coffee,coffee,15
cold,cold,58
comb,comb (object),11
cookie,cookie,0
couch,couch,31
cow,cow,60
cracker,cracker,1
crib,crib,1
cry,cry,3
cup,cup,49
cute,cute,0
daddy,daddy,119
dance,dance,0
dark,dark,13
day,day,31
deer,deer,0
diaper,diaper,0
dinner,dinner,15
dirty,dirty,7
dish,dish,0
dog,dog,78
doll,doll,7
dont,don't,710
donkey,donkey,1
door,door,54
down,down,384
draw,draw,98
drawer,drawer,0
dress,dress (object),30
drink,drink (action),71
drink,drink (beverage),71
drive,drive,8
dry,dry (description),6
duck,duck,18
ear,ear,9
eat,eat,69
egg,egg,19
elephant,elephant,32
empty,empty,10
eye,eye,18
face,face,20
fall,fall,52
fast,fast,9
feed,feed,1
fine,fine,10
finger,finger,19
finish,finish,26
firetruck,firetruck,0
fish,fish (animal),87
fish,fish (food),87
flower,flower,11
food,food,18
foot,foot,47
fork,fork,16
frog,frog,19
garage,garage,0
garden,garden,14
gentle,gentle,5
get,get,586
giraffe,giraffe,39
girl,girl,55
give,give,51
glass,glass,8
glasses,glasses,8
go,go,809
good,good,221
goose,goose,1
grandma,grandma,3
grandpa,grandpa,1
grrr,grrr,0
hair,hair,93
hammer,hammer,0
hand,hand,41
happy,happy,11
hard,hard,37
hat,hat,81
head,head,102
hello,hello,74
help,help,63
her,her,210
hi,hi,0
his,his,129
hit,hit,8
home,home,61
horse,horse,18
hot,hot,49
house,house,114
how,how,70
hug,hug,10
hungry,hungry,7
hurry,hurry,1
hurt,hurt (description),57
i,i,2516
in,in,1288
inside,inside,17
it,it,3046
jacket,jacket,7
jeans,jeans,3
juice,juice,21
jump,jump,34
keys,keys,9
kick,kick,15
kiss,kiss,9
kitchen,kitchen,39
kitty,kitty,0
knee,knee,26
lady,lady,6
lamb,lamb,0
lamp,lamp,0
later,later,77
leg,leg,47
light,light (object),12
lion,lion,15
little,little (description),291
look,look,438
love,love,247
lunch,lunch,0
man,man,18
me,me,518
meat,meat,14
medicine,medicine,0
meow,meow,0
milk,milk,59
mine,mine,112
mommy,mommy,0
money,money,9
monkey,monkey,75
moo,moo,5
moon,moon,3
more,more,233
morning,morning,22
motorcycle,motorcycle,0
mouse,mouse,18
mouth,mouth,22
my,my,540
nap,nap,0
naughty,naughty,23
necklace,necklace,0
nice,nice,163
night,night,16
no,no,1129
none,none,10
nose,nose,53
not,not,430
now,now,573
off,off,296
old,old,13
on,on,1607
open,open (action),38
orange,orange (food),121
other,other,115
ouch,ouch,0
out,out,454
outside,outside,25
oven,oven,7
owl,owl,6
pajamas,pajamas,10
pants,pants,25
paper,paper,47
park,park,5
party,party,22
pattycake,pattycake,0
peas,peas,2
peekaboo,peekaboo,0
pen,pen,56
penguin,penguin,32
penny,penny,6
people,people,35
person,person,17
picture,picture,19
pig,pig,24
pillow,pillow,0
pizza,pizza,6
plant,plant,4
plate,plate,18
play,play,109
please,please,95
pony,pony,0
pool,pool,2
potty,potty,0
pretty,pretty,1
pull,pull,20
puppy,puppy,8
purse,purse,5
push,push,18
put,put,737
radio,radio,0
rain,rain,15
raisin,raisin,0
read,read,40
red,red,159
refrigerator,refrigerator,0
ride,ride,28
rock,rock (object),5
run,run,13
same,same,20
say,say,33
scared,scared,0
school,school,8
scissors,scissors,0
see,see,334
sheep,sheep,45
shh/shush/hush,shh,0
shirt,shirt,5
shoe,shoe,9
shorts,shorts,0
shovel,shovel,0
show,show,32
sick,sick,7
sing,sing,31
sink,sink,5
sister,sister,0
sky,sky,6
sleep,sleep,46
sleepy,sleepy,0
slide,slide (object),18
smile,smile,5
snow,snow,3
soap,soap,0
sock,sock,16
soft,soft,1
some,some,441
splash,splash,4
spoon,spoon,21
squirrel,squirrel,2
