word, uni_lemma, frequency_count
airplane,airplane,0
all,all,647
animal,animal,19
another,another,208
apple,apple,10
arm,arm,31
asleep,asleep,7
aunt,aunt,7
away,away,142
baby,baby,205
babysitter,babysitter,0
back,back (location),247
bad,bad,53
ball,ball,74
balloon,balloon,36
banana,banana,2
bath,bath,13
bathroom,bathroom,21
bathtub,bathtub,8
beach,beach,37
beads,beads,2
bear,bear,112
bed,bed,85
bedroom,bedroom,4
bee,bee,0
bib,bib,0
bicycle,bicycle,0
big,big,399
bird,bird,39
bite,bite,19
blanket,blanket,16
block,block,6
blow,blow,11
blue,blue,40
book,book,117
boots,boots,8
bottle,bottle,18
bowl,bowl,11
box,box,44
boy,boy,48
bread,bread,11
break,break,34
breakfast,breakfast,3
bring,bring,106
broken,broken,47
broom,broom,4
brother,brother,7
brush,brush (object),4
bubbles,bubbles,4
bug,bug,24
bump,bump,2
bunny,bunny,61
bus,bus,41
butter,butter,11
butterfly,butterfly,2
button,button,9
bye,bye,54
cake,cake,30
candy,candy,68
car,car,233
careful,careful,25
carrots,carrots,4
cat,cat,62
cereal,cereal,3
chair,chair,20
cheek,cheek,0
cheerios,cheerios,1
cheese,cheese,30
chicken,chicken (animal),35
chicken,chicken (food),35
child,child,0
church,church,12
clean,clean (action),31
clean,clean (description),31
clock,clock,5
close,close,50
coat,coat,7
cockadoodledoo,cockadoodledoo,0
coffee,coffee,0
cold,cold,43
comb,comb (object),0
cookie,cookie,7
couch,couch,25
cow,cow,23
cracker,cracker,0
crib,crib,4
cry,cry,8
cup,cup,1
cute,cute,22
daddy,daddy,286
dance,dance,20
dark,dark,9
day,day,150
deer,deer,3
diaper,diaper,2
dinner,dinner,16
dirty,dirty,13
dish,dish,2
dog,dog,81
doll,doll,12
dont,don't,909
donkey,donkey,6
door,door,53
down,down,273
draw,draw,30
drawer,drawer,2
dress,dress (object),10
drink,drink (action),39
drink,drink (beverage),39
drive,drive,46
dry,dry (description),6
duck,duck,14
ear,ear,4
eat,eat,290
egg,egg,14
elephant,elephant,12
empty,empty,3
eye,eye,27
face,face,50
fall,fall,57
fast,fast,51
feed,feed,19
fine,fine,15
finger,finger,13
finish,finish,11
firetruck,firetruck,0
fish,fish (animal),50
fish,fish (food),50
flower,flower,2
food,food,100
foot,foot,32
fork,fork,1
frog,frog,9
garage,garage,10
garden,garden,3
gentle,gentle,4
get,get,764
giraffe,giraffe,6
girl,girl,43
give,give,150
glass,glass,11
glasses,glasses,7
go,go,1148
good,good,451
goose,goose,0
grandma,grandma,97
grandpa,grandpa,113
grrr,grrr,0
hair,hair,35
hammer,hammer,6
hand,hand,67
happy,happy,45
hard,hard,59
hat,hat,21
head,head,113
hello,hello,68
help,help,91
her,her,240
hi,hi,19
his,his,335
hit,hit,67
home,home,189
horse,horse,15
hot,hot,21
house,house,293
how,how,944
hug,hug,8
hungry,hungry,45
hurry,hurry,3
hurt,hurt (description),79
i,i,3867
in,in,1748
inside,inside,75
it,it,3342
jacket,jacket,1
jeans,jeans,0
juice,juice,24
jump,jump,29
keys,keys,13
kick,kick,15
kiss,kiss,12
kitchen,kitchen,4
kitty,kitty,7
knee,knee,2
lady,lady,28
lamb,lamb,2
lamp,lamp,0
later,later,44
leg,leg,18
light,light (object),26
lion,lion,43
little,little (description),538
look,look,388
love,love,30
lunch,lunch,11
man,man,71
me,me,612
meat,meat,75
medicine,medicine,8
meow,meow,9
milk,milk,45
mine,mine,24
mommy,mommy,98
money,money,132
monkey,monkey,17
moo,moo,0
moon,moon,1
more,more,240
morning,morning,28
motorcycle,motorcycle,10
mouse,mouse,18
mouth,mouth,32
my,my,600
nap,nap,10
naughty,naughty,0
necklace,necklace,6
nice,nice,109
night,night,79
no,no,930
none,none,1
nose,nose,32
not,not,723
now,now,758
off,off,186
old,old,70
on,on,1237
open,open (action),114
orange,orange (food),31
other,other,255
ouch,ouch,8
out,out,449
outside,outside,114
oven,oven,5
owl,owl,12
pajamas,pajamas,3
pants,pants,10
paper,paper,43
park,park,44
party,party,79
pattycake,pattycake,0
peas,peas,1
peekaboo,peekaboo,0
pen,pen,2
penguin,penguin,0
penny,penny,8
people,people,153
person,person,55
picture,picture,70
pig,pig,22
pillow,pillow,16
pizza,pizza,58
plant,plant,41
plate,plate,7
play,play,334
please,please,76
pony,pony,0
pool,pool,43
potty,potty,9
pretty,pretty,193
pull,pull,31
puppy,puppy,0
purse,purse,23
push,push,55
put,put,611
radio,radio,1
rain,rain,8
raisin,raisin,1
read,read,42
red,red,30
refrigerator,refrigerator,3
ride,ride,25
rock,rock (object),46
run,run,55
same,same,67
say,say,342
scared,scared,56
school,school,201
scissors,scissors,7
see,see,770
sheep,sheep,12
shh/shush/hush,shh,0
shirt,shirt,32
shoe,shoe,7
shorts,shorts,3
shovel,shovel,10
show,show,175
sick,sick,37
sing,sing,31
sink,sink,7
sister,sister,4
sky,sky,14
sleep,sleep,60
sleepy,sleepy,3
slide,slide (object),21
smile,smile,3
snow,snow,49
soap,soap,3
sock,sock,10
soft,soft,4
some,some,406
splash,splash,17
spoon,spoon,2
squirrel,squirrel,12
stairs,stairs,11
star,star,21
stop,stop,18
store,store,132
stove,stove,0
stroller,stroller,2
sun,sun,15
sweater,sweater,5
swim,swim,11
swing,swing (action),4
swing,swing (object),4
table,table,27
take,take,271
teacher,teacher,9
teddybear,teddybear,0
telephone,telephone,0
that,that,3319
there,there,1172
thirsty,thirsty,7
this,this,2086
throw,throw,76
tickle,tickle,13
tiger,tiger,2
tired,tired,10
toast,toast,6
today,today,169
toe,toe,7
tomorrow,tomorrow,25
tongue,tongue,8
tonight,tonight,25
tooth,tooth,0
toothbrush,toothbrush,2
touch,touch,8
towel,towel,6
toy,toy (object),47
train,train,60
trash,trash,0
tree,tree,27
truck,truck,34
tummy,tummy,18
turkey,turkey,12
turtle,turtle,17
tv,tv,29
uncle,uncle,4
under,under,72
up,up,765
vacuum,vacuum,12
vroom,vroom,6
wait,wait,139
walk,walk,63
wash,wash,7
watch,watch (action),114
watch,watch (object),114
water,water (beverage),141
water,water (not beverage),141
wet,wet (description),38
what,what,3504
when,when (question),497
where,where (question),635
who,who,271
why,why,301
window,window,27
wipe,wipe,3
work,work (place),112
write,write,23
backyard,yard,8
yes,yes,377
you,you,7458
your,your,867
yucky,yucky,9
zipper,zipper,3
zoo,zoo,39
