word, uni_lemma, frequency_count
airplane,airplane,0
all,all,533
animal,animal,0
another,another,97
apple,apple,7
arm,arm,10
asleep,asleep,7
aunt,aunt,0
away,away,121
baby,baby,81
babysitter,babysitter,0
back,back (location),108
bad,bad,34
ball,ball,16
balloon,balloon,0
banana,banana,3
bath,bath,22
bathroom,bathroom,0
bathtub,bathtub,0
beach,beach,12
beads,beads,0
bear,bear,10
bed,bed,57
bedroom,bedroom,49
bee,bee,6
bib,bib,0
bicycle,bicycle,3
big,big,155
bird,bird,1
bite,bite,1
blanket,blanket,1
block,block,1
blow,blow,2
blue,blue,19
book,book,31
boots,boots,4
bottle,bottle,26
bowl,bowl,2
box,box,24
boy,boy,71
bread,bread,4
break,break,12
breakfast,breakfast,15
bring,bring,87
broken,broken,14
broom,broom,0
brother,brother,7
brush,brush (object),11
bubbles,bubbles,1
bug,bug,1
bump,bump,2
bunny,bunny,14
bus,bus,3
butter,butter,1
butterfly,butterfly,5
button,button,4
bye,bye,26
cake,cake,1
candy,candy,0
car,car,26
careful,careful,14
carrots,carrots,0
cat,cat,10
cereal,cereal,2
chair,chair,7
cheek,cheek,0
cheerios,cheerios,0
cheese,cheese,5
chicken,chicken (animal),5
chicken,chicken (food),5
child,child,22
church,church,1
clean,clean (action),6
clean,clean (description),6
clock,clock,4
close,close,16
coat,coat,4
cockadoodledoo,cockadoodledoo,0
coffee,coffee,1
cold,cold,10
comb,comb (object),4
cookie,cookie,0
couch,couch,0
cow,cow,6
cracker,cracker,1
crib,crib,0
cry,cry,12
cup,cup,22
cute,cute,0
daddy,daddy,78
dance,dance,3
dark,dark,10
day,day,116
deer,deer,0
diaper,diaper,0
dinner,dinner,19
dirty,dirty,9
dish,dish,1
dog,dog,13
doll,doll,6
dont,don't,453
donkey,donkey,0
door,door,30
down,down,237
draw,draw,0
drawer,drawer,0
dress,dress (object),36
drink,drink (action),20
drink,drink (beverage),20
drive,drive,6
dry,dry (description),5
duck,duck,7
ear,ear,1
eat,eat,42
egg,egg,6
elephant,elephant,6
empty,empty,1
eye,eye,6
face,face,20
fall,fall,25
fast,fast,3
feed,feed,16
fine,fine,24
finger,finger,16
finish,finish,9
firetruck,firetruck,0
fish,fish (animal),23
fish,fish (food),23
flower,flower,8
food,food,6
foot,foot,3
fork,fork,2
frog,frog,7
garage,garage,4
garden,garden,11
gentle,gentle,0
get,get,362
giraffe,giraffe,0
girl,girl,212
give,give,84
glass,glass,4
glasses,glasses,10
go,go,415
good,good,348
