word, uni_lemma, frequency_count
airplane,airplane,9
all,all,251
animal,animal,13
another,another,115
apple,apple,37
arm,arm,23
asleep,asleep,8
aunt,aunt,0
away,away,89
baby,baby,313
babysitter,babysitter,1
back,back (location),128
bad,bad,33
ball,ball,53
balloon,balloon,16
banana,banana,27
bath,bath,14
bathroom,bathroom,9
bathtub,bathtub,11
beach,beach,0
beads,beads,1
bear,bear,29
bed,bed,80
bedroom,bedroom,6
bee,bee,23
bib,bib,22
bicycle,bicycle,7
big,big,101
bird,bird,5
bite,bite,14
blanket,blanket,107
block,block,4
blow,blow,12
blue,blue,42
book,book,164
boots,boots,4
bottle,bottle,31
bowl,bowl,8
box,box,24
boy,boy,72
bread,bread,29
break,break,22
breakfast,breakfast,20
bring,bring,30
broken,broken,76
broom,broom,1
brother,brother,2
brush,brush (object),26
bubbles,bubbles,7
bug,bug,17
bump,bump,6
bunny,bunny,17
bus,bus,2
butter,butter,14
butterfly,butterfly,1
button,button,22
bye,bye,27
cake,cake,13
candy,candy,12
car,car,50
careful,careful,61
carrots,carrots,0
cat,cat,10
cereal,cereal,16
chair,chair,50
cheek,cheek,2
cheerios,cheerios,39
cheese,cheese,19
chicken,chicken (animal),42
chicken,chicken (food),42
child,child,9
church,church,0
clean,clean (action),43
clean,clean (description),43
clock,clock,12
close,close,40
coat,coat,1
cockadoodledoo,cockadoodledoo,0
coffee,coffee,88
cold,cold,44
comb,comb (object),6
cookie,cookie,43
couch,couch,6
cow,cow,34
cracker,cracker,9
crib,crib,8
cry,cry,45
cup,cup,30
cute,cute,3
daddy,daddy,248
dance,dance,2
dark,dark,8
day,day,26
deer,deer,4
diaper,diaper,76
dinner,dinner,49
dirty,dirty,27
dish,dish,20
dog,dog,43
doll,doll,20
dont,don't,727
donkey,donkey,18
door,door,38
down,down,473
draw,draw,73
drawer,drawer,11
dress,dress (object),10
drink,drink (action),64
drink,drink (beverage),64
drive,drive,4
dry,dry (description),13
duck,duck,31
ear,ear,28
eat,eat,172
egg,egg,11
elephant,elephant,15
empty,empty,17
eye,eye,20
face,face,45
fall,fall,72
fast,fast,6
feed,feed,16
fine,fine,15
finger,finger,7
finish,finish,28
firetruck,firetruck,0
fish,fish (animal),88
fish,fish (food),88
flower,flower,72
food,food,7
foot,foot,54
fork,fork,3
frog,frog,11
garage,garage,0
garden,garden,2
gentle,gentle,3
get,get,477
giraffe,giraffe,8
girl,girl,91
give,give,95
glass,glass,10
glasses,glasses,20
go,go,383
good,good,260
goose,goose,7
grandma,grandma,7
grandpa,grandpa,3
grrr,grrr,2
hair,hair,73
hammer,hammer,4
hand,hand,31
happy,happy,10
hard,hard,55
hat,hat,38
head,head,41
hello,hello,16
help,help,35
her,her,158
hi,hi,71
his,his,87
hit,hit,17
home,home,39
horse,horse,28
hot,hot,53
house,house,62
how,how,218
hug,hug,26
hungry,hungry,7
hurry,hurry,1
hurt,hurt (description),57
i,i,1733
in,in,778
inside,inside,13
it,it,1926
jacket,jacket,20
jeans,jeans,0
juice,juice,145
jump,jump,43
keys,keys,1
kick,kick,12
kiss,kiss,23
kitchen,kitchen,15
kitty,kitty,115
knee,knee,11
lady,lady,28
lamb,lamb,23
lamp,lamp,8
later,later,26
leg,leg,13
light,light (object),48
lion,lion,10
little,little (description),230
look,look,275
love,love,8
lunch,lunch,20
man,man,97
me,me,375
meat,meat,3
medicine,medicine,4
meow,meow,28
milk,milk,77
mine,mine,19
mommy,mommy,344
money,money,8
monkey,monkey,39
moo,moo,36
moon,moon,55
more,more,229
morning,morning,53
motorcycle,motorcycle,4
mouse,mouse,45
mouth,mouth,63
my,my,321
nap,nap,34
naughty,naughty,8
necklace,necklace,4
nice,nice,88
night,night,27
no,no,744
none,none,10
nose,nose,42
not,not,382
now,now,340
off,off,212
old,old,27
on,on,892
open,open (action),55
orange,orange (food),41
other,other,93
ouch,ouch,7
out,out,194
