word, uni_lemma, frequency_count
airplane,airplane,94
all,all,598
animal,animal,15
another,another,148
apple,apple,65
arm,arm,15
asleep,asleep,9
aunt,aunt,16
away,away,126
baby,baby,81
babysitter,babysitter,1
back,back (location),190
bad,bad,37
ball,ball,34
balloon,balloon,4
banana,banana,19
bath,bath,53
bathroom,bathroom,19
bathtub,bathtub,24
beach,beach,15
beads,beads,4
bear,bear,110
bed,bed,173
bedroom,bedroom,3
bee,bee,12
bib,bib,30
bicycle,bicycle,9
big,big,297
bird,bird,18
bite,bite,10
blanket,blanket,2
block,block,6
blow,blow,64
blue,blue,32
book,book,361
boots,boots,16
bottle,bottle,13
bowl,bowl,11
box,box,27
boy,boy,84
bread,bread,47
break,break,23
breakfast,breakfast,72
bring,bring,44
broken,broken,55
broom,broom,6
brother,brother,27
brush,brush (object),38
bubbles,bubbles,4
bug,bug,13
bump,bump,66
bunny,bunny,8
bus,bus,172
butter,butter,47
butterfly,butterfly,1
button,button,10
bye,bye,0
cake,cake,86
candy,candy,2
car,car,383
careful,careful,18
carrots,carrots,4
cat,cat,96
cereal,cereal,10
chair,chair,51
cheek,cheek,6
cheerios,cheerios,3
cheese,cheese,27
chicken,chicken (animal),16
chicken,chicken (food),16
child,child,4
church,church,7
clean,clean (action),55
clean,clean (description),55
clock,clock,26
close,close,48
coat,coat,11
cockadoodledoo,cockadoodledoo,0
coffee,coffee,42
cold,cold,48
comb,comb (object),31
cookie,cookie,12
couch,couch,33
cow,cow,18
cracker,cracker,4
crib,crib,0
cry,cry,20
cup,cup,47
cute,cute,13
daddy,daddy,276
dance,dance,2
dark,dark,37
day,day,75
deer,deer,1
diaper,diaper,2
dinner,dinner,65
dirty,dirty,25
dish,dish,4
dog,dog,18
doll,doll,12
dont,don't,676
donkey,donkey,27
door,door,79
down,down,528
draw,draw,25
drawer,drawer,5
dress,dress (object),17
drink,drink (action),39
drink,drink (beverage),39
drive,drive,56
dry,dry (description),31
duck,duck,26
ear,ear,24
eat,eat,214
egg,egg,23
elephant,elephant,31
empty,empty,12
eye,eye,13
face,face,45
fall,fall,78
fast,fast,80
feed,feed,2
fine,fine,8
finger,finger,6
finish,finish,44
firetruck,firetruck,0
fish,fish (animal),75
fish,fish (food),75
flower,flower,21
food,food,39
foot,foot,41
fork,fork,6
frog,frog,5
garage,garage,21
garden,garden,17
gentle,gentle,0
get,get,468
giraffe,giraffe,23
girl,girl,43
give,give,56
glass,glass,6
glasses,glasses,87
go,go,691
good,good,390
goose,goose,6
grandma,grandma,13
grandpa,grandpa,11
grrr,grrr,0
hair,hair,202
hammer,hammer,18
hand,hand,55
happy,happy,27
hard,hard,77
hat,hat,69
head,head,95
hello,hello,13
help,help,65
her,her,192
hi,hi,19
his,his,470
hit,hit,13
home,home,73
horse,horse,28
hot,hot,43
house,house,177
how,how,301
hug,hug,6
hungry,hungry,13
hurry,hurry,13
hurt,hurt (description),48
i,i,1546
in,in,1450
inside,inside,24
it,it,2150
jacket,jacket,7
jeans,jeans,0
juice,juice,56
jump,jump,34
keys,keys,4
kick,kick,9
kiss,kiss,19
kitchen,kitchen,26
kitty,kitty,11
knee,knee,11
lady,lady,23
lamb,lamb,2
lamp,lamp,5
later,later,13
leg,leg,11
light,light (object),55
lion,lion,9
little,little (description),452
look,look,330
love,love,56
lunch,lunch,14
man,man,93
me,me,273
meat,meat,6
medicine,medicine,15
meow,meow,4
milk,milk,59
mine,mine,11
mommy,mommy,27
money,money,11
monkey,monkey,5
moo,moo,0
moon,moon,22
more,more,222
morning,morning,98
motorcycle,motorcycle,2
mouse,mouse,53
mouth,mouth,38
my,my,330
nap,nap,21
naughty,naughty,5
necklace,necklace,1
nice,nice,103
night,night,100
no,no,956
none,none,1
nose,nose,58
not,not,414
now,now,355
off,off,355
old,old,62
on,on,1345
open,open (action),88
orange,orange (food),12
other,other,245
ouch,ouch,20
out,out,329
outside,outside,37
oven,oven,22
owl,owl,18
pajamas,pajamas,6
pants,pants,63
paper,paper,37
park,park,15
party,party,11
pattycake,pattycake,2
peas,peas,7
peekaboo,peekaboo,1
pen,pen,2
penguin,penguin,3
penny,penny,4
people,people,68
person,person,4
picture,picture,87
pig,pig,73
pillow,pillow,4
pizza,pizza,0
plant,plant,3
plate,plate,23
play,play,130
please,please,153
pony,pony,0
pool,pool,3
potty,potty,0
pretty,pretty,73
pull,pull,26
puppy,puppy,1
purse,purse,1
push,push,29
put,put,496
radio,radio,7
rain,rain,15
raisin,raisin,0
read,read,484
red,red,72
refrigerator,refrigerator,4
ride,ride,46
rock,rock (object),22
run,run,32
same,same,46
say,say,272
scared,scared,2
school,school,95
scissors,scissors,7
see,see,470
sheep,sheep,10
shh/shush/hush,shh,0
shirt,shirt,58
shoe,shoe,19
shorts,shorts,0
shovel,shovel,9
show,show,56
sick,sick,10
sing,sing,227
sink,sink,2
sister,sister,20
sky,sky,13
sleep,sleep,50
sleepy,sleepy,5
slide,slide (object),37
smile,smile,18
snow,snow,44
soap,soap,32
sock,sock,6
soft,soft,8
some,some,342
splash,splash,2
