word, uni_lemma, frequency_count
airplane,airplane,113
all,all,780
animal,animal,105
another,another,335
apple,apple,69
arm,arm,79
asleep,asleep,23
aunt,aunt,2
away,away,233
baby,baby,588
babysitter,babysitter,0
back,back (location),339
bad,bad,35
ball,ball,165
balloon,balloon,55
banana,banana,20
bath,bath,60
bathroom,bathroom,19
bathtub,bathtub,65
beach,beach,110
beads,beads,2
bear,bear,143
bed,bed,291
bedroom,bedroom,27
bee,bee,2
bib,bib,13
bicycle,bicycle,60
big,big,740
bird,bird,95
bite,bite,85
blanket,blanket,173
block,block,34
blow,blow,56
blue,blue,187
book,book,287
boots,boots,19
bottle,bottle,133
bowl,bowl,28
box,box,271
boy,boy,280
bread,bread,56
break,break,71
breakfast,breakfast,53
bring,bring,199
broken,broken,35
broom,broom,11
brother,brother,7
brush,brush (object),62
bubbles,bubbles,26
bug,bug,58
bump,bump,22
bunny,bunny,52
bus,bus,84
butter,butter,29
butterfly,butterfly,12
button,button,32
bye,bye,27
cake,cake,124
candy,candy,46
car,car,260
careful,careful,86
carrots,carrots,17
cat,cat,132
cereal,cereal,52
chair,chair,142
cheek,cheek,12
cheerios,cheerios,4
cheese,cheese,49
chicken,chicken (animal),92
chicken,chicken (food),92
child,child,33
church,church,7
clean,clean (action),50
clean,clean (description),50
clock,clock,24
close,close,104
coat,coat,7
cockadoodledoo,cockadoodledoo,8
coffee,coffee,69
cold,cold,118
comb,comb (object),58
cookie,cookie,53
couch,couch,28
cow,cow,116
cracker,cracker,4
crib,crib,83
cry,cry,54
cup,cup,165
cute,cute,116
daddy,daddy,167
dance,dance,59
dark,dark,27
day,day,86
deer,deer,25
diaper,diaper,57
dinner,dinner,16
dirty,dirty,55
dish,dish,12
dog,dog,341
doll,doll,257
dont,don't,1264
donkey,donkey,23
door,door,107
down,down,693
draw,draw,126
drawer,drawer,19
dress,dress (object),220
drink,drink (action),178
drink,drink (beverage),178
drive,drive,8
dry,dry (description),38
duck,duck,87
ear,ear,33
eat,eat,627
egg,egg,73
elephant,elephant,132
empty,empty,1
eye,eye,58
face,face,87
fall,fall,208
fast,fast,21
feed,feed,155
fine,fine,5
finger,finger,111
finish,finish,65
firetruck,firetruck,0
fish,fish (animal),129
fish,fish (food),129
flower,flower,36
food,food,183
foot,foot,114
fork,fork,56
frog,frog,58
garage,garage,1
garden,garden,21
gentle,gentle,6
get,get,944
giraffe,giraffe,53
girl,girl,273
give,give,414
glass,glass,35
glasses,glasses,26
go,go,1540
