word, uni_lemma, frequency_count
airplane,airplane,156
all,all,725
animal,animal,15
another,another,357
apple,apple,36
arm,arm,8
asleep,asleep,13
aunt,aunt,1
away,away,324
baby,baby,271
babysitter,babysitter,3
back,back (location),621
bad,bad,40
ball,ball,99
balloon,balloon,21
banana,banana,5
bath,bath,41
bathroom,bathroom,37
bathtub,bathtub,27
beach,beach,7
beads,beads,0
bear,bear,21
bed,bed,105
bedroom,bedroom,46
bee,bee,5
bib,bib,2
bicycle,bicycle,6
big,big,489
bird,bird,21
bite,bite,22
blanket,blanket,11
block,block,35
blow,blow,45
blue,blue,78
book,book,155
boots,boots,12
bottle,bottle,7
bowl,bowl,5
box,box,313
boy,boy,258
bread,bread,3
break,break,33
breakfast,breakfast,39
bring,bring,202
broken,broken,175
broom,broom,0
brother,brother,4
brush,brush (object),0
bubbles,bubbles,0
bug,bug,6
bump,bump,1
bunny,bunny,15
bus,bus,109
butter,butter,0
butterfly,butterfly,0
button,button,62
bye,bye,61
cake,cake,5
candy,candy,31
car,car,521
careful,careful,82
carrots,carrots,1
cat,cat,10
cereal,cereal,11
chair,chair,174
cheek,cheek,13
cheerios,cheerios,0
cheese,cheese,5
chicken,chicken (animal),39
chicken,chicken (food),39
child,child,1
church,church,3
clean,clean (action),34
clean,clean (description),34
clock,clock,0
close,close,203
coat,coat,29
cockadoodledoo,cockadoodledoo,0
coffee,coffee,51
cold,cold,60
comb,comb (object),11
cookie,cookie,88
couch,couch,30
cow,cow,238
cracker,cracker,0
crib,crib,1
cry,cry,27
cup,cup,51
cute,cute,5
daddy,daddy,360
dance,dance,12
dark,dark,51
day,day,22
deer,deer,0
diaper,diaper,9
dinner,dinner,47
dirty,dirty,59
dish,dish,0
dog,dog,76
doll,doll,9
dont,don't,1634
donkey,donkey,58
door,door,93
down,down,666
draw,draw,92
drawer,drawer,26
dress,dress (object),6
drink,drink (action),43
drink,drink (beverage),43
drive,drive,54
dry,dry (description),13
duck,duck,2
ear,ear,13
eat,eat,165
egg,egg,93
elephant,elephant,19
empty,empty,66
eye,eye,22
face,face,49
fall,fall,99
fast,fast,15
feed,feed,4
fine,fine,32
finger,finger,59
finish,finish,54
firetruck,firetruck,0
fish,fish (animal),67
fish,fish (food),67
flower,flower,1
food,food,33
foot,foot,87
fork,fork,4
frog,frog,1
garage,garage,23
garden,garden,0
gentle,gentle,25
get,get,913
giraffe,giraffe,12
girl,girl,105
give,give,245
glass,glass,10
glasses,glasses,3
go,go,1362
good,good,600
goose,goose,1
grandma,grandma,2
grandpa,grandpa,0
grrr,grrr,1
hair,hair,116
hammer,hammer,36
hand,hand,82
happy,happy,24
hard,hard,103
hat,hat,31
head,head,66
hello,hello,65
help,help,241
her,her,302
hi,hi,171
his,his,143
hit,hit,100
home,home,304
horse,horse,378
hot,hot,50
house,house,391
how,how,372
hug,hug,6
hungry,hungry,31
hurry,hurry,18
hurt,hurt (description),129
i,i,3975
in,in,2985
inside,inside,49
