word, uni_lemma, frequency_count
airplane,airplane,3
all,all,383
animal,animal,12
another,another,83
apple,apple,7
arm,arm,15
asleep,asleep,12
aunt,aunt,0
away,away,57
baby,baby,164
babysitter,babysitter,0
back,back (location),99
bad,bad,33
ball,ball,36
balloon,balloon,3
banana,banana,14
bath,bath,13
bathroom,bathroom,8
bathtub,bathtub,16
beach,beach,22
beads,beads,2
bear,bear,14
bed,bed,55
bedroom,bedroom,2
bee,bee,4
bib,bib,0
bicycle,bicycle,4
big,big,203
bird,bird,41
bite,bite,13
blanket,blanket,12
block,block,5
blow,blow,5
blue,blue,38
book,book,116
boots,boots,2
bottle,bottle,0
bowl,bowl,10
box,box,24
boy,boy,95
bread,bread,6
break,break,16
breakfast,breakfast,31
bring,bring,22
broken,broken,12
broom,broom,2
brother,brother,6
brush,brush (object),2
bubbles,bubbles,0
bug,bug,36
bump,bump,10
bunny,bunny,9
bus,bus,26
butter,butter,7
butterfly,butterfly,1
button,button,11
bye,bye,16
cake,cake,28
candy,candy,24
car,car,77
careful,careful,15
carrots,carrots,1
cat,cat,52
cereal,cereal,5
chair,chair,13
cheek,cheek,1
cheerios,cheerios,4
cheese,cheese,17
chicken,chicken (animal),17
chicken,chicken (food),17
child,child,1
church,church,0
clean,clean (action),20
clean,clean (description),20
clock,clock,0
close,close,32
coat,coat,0
cockadoodledoo,cockadoodledoo,0
coffee,coffee,0
cold,cold,21
comb,comb (object),0
cookie,cookie,3
couch,couch,12
cow,cow,9
cracker,cracker,0
crib,crib,0
cry,cry,15
cup,cup,2
cute,cute,4
daddy,daddy,142
dance,dance,0
dark,dark,16
day,day,46
deer,deer,1
diaper,diaper,0
dinner,dinner,12
dirty,dirty,9
dish,dish,1
dog,dog,82
doll,doll,6
dont,don't,667
donkey,donkey,2
door,door,17
down,down,207
draw,draw,229
drawer,drawer,5
dress,dress (object),2
drink,drink (action),15
drink,drink (beverage),15
drive,drive,7
dry,dry (description),3
duck,duck,12
ear,ear,5
eat,eat,189
egg,egg,5
elephant,elephant,9
empty,empty,2
eye,eye,29
face,face,39
fall,fall,68
fast,fast,4
feed,feed,8
fine,fine,6
finger,finger,6
finish,finish,15
firetruck,firetruck,3
fish,fish (animal),111
fish,fish (food),111
flower,flower,2
food,food,31
foot,foot,11
fork,fork,1
frog,frog,5
garage,garage,0
garden,garden,12
gentle,gentle,4
get,get,273
giraffe,giraffe,10
girl,girl,27
give,give,58
glass,glass,0
glasses,glasses,15
go,go,499
good,good,327
goose,goose,1
grandma,grandma,13
grandpa,grandpa,22
grrr,grrr,0
hair,hair,23
hammer,hammer,17
hand,hand,36
happy,happy,38
hard,hard,17
hat,hat,16
head,head,42
hello,hello,27
help,help,58
her,her,116
hi,hi,22
his,his,221
hit,hit,10
home,home,67
horse,horse,67
hot,hot,9
house,house,117
how,how,358
hug,hug,2
hungry,hungry,22
hurry,hurry,2
hurt,hurt (description),34
i,i,2080
in,in,853
inside,inside,35
it,it,1819
jacket,jacket,0
jeans,jeans,0
juice,juice,17
