word, uni_lemma, frequency_count
airplane,airplane,50
all,all,706
animal,animal,30
another,another,241
apple,apple,53
arm,arm,40
asleep,asleep,20
aunt,aunt,2
away,away,214
baby,baby,230
babysitter,babysitter,0
back,back (location),435
bad,bad,468
ball,ball,76
balloon,balloon,17
banana,banana,7
bath,bath,43
bathroom,bathroom,13
bathtub,bathtub,7
beach,beach,4
beads,beads,1
bear,bear,65
bed,bed,143
bedroom,bedroom,10
bee,bee,3
bib,bib,0
bicycle,bicycle,5
big,big,611
bird,bird,32
bite,bite,37
blanket,blanket,71
block,block,8
blow,blow,27
blue,blue,33
book,book,114
boots,boots,38
bottle,bottle,100
bowl,bowl,11
box,box,44
boy,boy,435
bread,bread,43
break,break,38
breakfast,breakfast,66
bring,bring,52
broken,broken,47
broom,broom,4
brother,brother,117
brush,brush (object),20
bubbles,bubbles,6
bug,bug,8
bump,bump,17
bunny,bunny,19
bus,bus,30
butter,butter,24
butterfly,butterfly,2
button,button,38
bye,bye,37
cake,cake,30
candy,candy,55
car,car,169
careful,careful,55
carrots,carrots,16
cat,cat,129
cereal,cereal,25
chair,chair,68
cheek,cheek,0
cheerios,cheerios,2
cheese,cheese,32
chicken,chicken (animal),21
chicken,chicken (food),21
child,child,6
church,church,4
clean,clean (action),41
clean,clean (description),41
clock,clock,26
close,close,41
coat,coat,20
cockadoodledoo,cockadoodledoo,0
coffee,coffee,11
cold,cold,68
comb,comb (object),6
cookie,cookie,48
couch,couch,4
cow,cow,18
cracker,cracker,14
crib,crib,3
cry,cry,40
cup,cup,12
cute,cute,115
daddy,daddy,715
dance,dance,37
dark,dark,40
day,day,117
deer,deer,2
diaper,diaper,17
dinner,dinner,57
dirty,dirty,89
dish,dish,4
dog,dog,106
doll,doll,11
dont,don't,1693
donkey,donkey,2
door,door,75
down,down,496
draw,draw,29
drawer,drawer,26
dress,dress (object),6
drink,drink (action),69
drink,drink (beverage),69
drive,drive,36
dry,dry (description),18
duck,duck,29
ear,ear,13
eat,eat,436
egg,egg,9
elephant,elephant,21
empty,empty,12
eye,eye,36
face,face,41
fall,fall,92
fast,fast,38
feed,feed,15
fine,fine,26
finger,finger,40
finish,finish,66
firetruck,firetruck,0
fish,fish (animal),16
fish,fish (food),16
flower,flower,7
food,food,124
foot,foot,33
fork,fork,15
frog,frog,9
garage,garage,6
garden,garden,4
gentle,gentle,0
get,get,1497
giraffe,giraffe,7
girl,girl,104
give,give,362
glass,glass,34
glasses,glasses,23
