word, uni_lemma, frequency_count
airplane,airplane,0
all,all,698
animal,animal,18
another,another,336
apple,apple,52
arm,arm,32
asleep,asleep,10
aunt,aunt,0
away,away,355
baby,baby,649
babysitter,babysitter,0
back,back (location),362
bad,bad,53
ball,ball,34
balloon,balloon,7
banana,banana,12
bath,bath,70
bathroom,bathroom,1
bathtub,bathtub,0
beach,beach,19
beads,beads,6
bear,bear,133
bed,bed,87
bedroom,bedroom,0
bee,bee,20
bib,bib,6
bicycle,bicycle,5
big,big,567
bird,bird,14
bite,bite,47
blanket,blanket,0
block,block,0
blow,blow,12
blue,blue,149
book,book,135
boots,boots,4
bottle,bottle,17
bowl,bowl,21
box,box,128
boy,boy,49
bread,bread,19
break,break,52
breakfast,breakfast,8
bring,bring,63
broken,broken,30
broom,broom,0
brother,brother,2
brush,brush (object),22
bubbles,bubbles,6
bug,bug,0
bump,bump,5
bunny,bunny,0
bus,bus,8
butter,butter,3
butterfly,butterfly,3
button,button,10
bye,bye,42
cake,cake,114
candy,candy,0
car,car,106
careful,careful,39
carrots,carrots,15
cat,cat,62
cereal,cereal,0
chair,chair,120
cheek,cheek,4
cheerios,cheerios,0
cheese,cheese,40
chicken,chicken (animal),62
chicken,chicken (food),62
child,child,7
church,church,1
clean,clean (action),57
clean,clean (description),57
clock,clock,12
close,close,20
coat,coat,7
cockadoodledoo,cockadoodledoo,13
coffee,coffee,7
cold,cold,49
comb,comb (object),0
cookie,cookie,1
couch,couch,0
cow,cow,78
cracker,cracker,0
crib,crib,0
cry,cry,32
cup,cup,30
cute,cute,1
daddy,daddy,335
dance,dance,13
dark,dark,74
day,day,43
deer,deer,29
diaper,diaper,0
dinner,dinner,16
dirty,dirty,60
dish,dish,1
dog,dog,44
doll,doll,28
dont,don't,1005
donkey,donkey,4
door,door,127
down,down,671
draw,draw,107
drawer,drawer,1
dress,dress (object),70
drink,drink (action),24
drink,drink (beverage),24
drive,drive,9
dry,dry (description),29
duck,duck,33
ear,ear,25
eat,eat,160
egg,egg,78
elephant,elephant,68
empty,empty,11
eye,eye,46
face,face,54
fall,fall,242
fast,fast,17
feed,feed,18
fine,fine,14
finger,finger,35
finish,finish,32
firetruck,firetruck,0
fish,fish (animal),75
fish,fish (food),75
flower,flower,34
food,food,90
foot,foot,29
fork,fork,10
frog,frog,15
garage,garage,0
garden,garden,19
gentle,gentle,30
get,get,740
giraffe,giraffe,16
girl,girl,458
give,give,187
glass,glass,4
glasses,glasses,3
go,go,1350
good,good,684
goose,goose,2
grandma,grandma,53
grandpa,grandpa,82
grrr,grrr,0
hair,hair,175
hammer,hammer,0
hand,hand,37
happy,happy,30
hard,hard,44
hat,hat,73
head,head,61
hello,hello,96
help,help,93
her,her,819
hi,hi,1
his,his,234
hit,hit,17
home,home,117
horse,horse,57
hot,hot,101
house,house,349
how,how,224
hug,hug,7
hungry,hungry,49
hurry,hurry,1
hurt,hurt (description),70
i,i,2281
in,in,1958
inside,inside,26
it,it,3206
jacket,jacket,0
jeans,jeans,0
juice,juice,173
jump,jump,82
keys,keys,0
kick,kick,16
kiss,kiss,34
kitchen,kitchen,4
kitty,kitty,0
knee,knee,125
lady,lady,13
lamb,lamb,5
lamp,lamp,1
later,later,35
leg,leg,24
light,light (object),21
lion,lion,22
little,little (description),610
look,look,553
love,love,25
lunch,lunch,11
man,man,93
me,me,1843
meat,meat,18
medicine,medicine,7
meow,meow,0
milk,milk,100
mine,mine,68
mommy,mommy,0
money,money,95
monkey,monkey,39
moo,moo,5
moon,moon,6
more,more,481
morning,morning,52
motorcycle,motorcycle,0
mouse,mouse,43
mouth,mouth,56
my,my,497
nap,nap,0
naughty,naughty,235
necklace,necklace,0
nice,nice,480
night,night,37
no,no,3038
none,none,8
nose,nose,40
not,not,1382
now,now,1015
off,off,262
old,old,64
on,on,2329
open,open (action),51
orange,orange (food),69
other,other,99
ouch,ouch,0
out,out,506
outside,outside,36
oven,oven,2
owl,owl,4
