word, uni_lemma, frequency_count
airplane,airplane,14
all,all,1161
animal,animal,33
another,another,213
apple,apple,47
arm,arm,33
asleep,asleep,31
aunt,aunt,20
away,away,178
baby,baby,483
babysitter,babysitter,1
back,back (location),327
bad,bad,143
ball,ball,117
balloon,balloon,24
banana,banana,25
bath,bath,47
bathroom,bathroom,40
bathtub,bathtub,15
beach,beach,202
beads,beads,0
bear,bear,57
bed,bed,186
bedroom,bedroom,9
bee,bee,10
bib,bib,5
bicycle,bicycle,9
big,big,604
bird,bird,87
bite,bite,122
blanket,blanket,33
block,block,15
blow,blow,43
blue,blue,161
book,book,171
boots,boots,8
bottle,bottle,12
bowl,bowl,19
box,box,83
boy,boy,181
bread,bread,35
break,break,124
breakfast,breakfast,26
bring,bring,153
broken,broken,51
broom,broom,26
brother,brother,66
brush,brush (object),19
bubbles,bubbles,12
bug,bug,30
bump,bump,23
bunny,bunny,96
bus,bus,29
butter,butter,5
butterfly,butterfly,5
button,button,55
bye,bye,9
cake,cake,83
candy,candy,57
car,car,113
careful,careful,20
carrots,carrots,10
cat,cat,122
cereal,cereal,52
chair,chair,123
cheek,cheek,6
cheerios,cheerios,2
cheese,cheese,34
chicken,chicken (animal),14
chicken,chicken (food),14
child,child,13
church,church,15
clean,clean (action),27
clean,clean (description),27
clock,clock,26
close,close,48
coat,coat,32
cockadoodledoo,cockadoodledoo,0
coffee,coffee,79
cold,cold,176
comb,comb (object),51
cookie,cookie,47
couch,couch,15
cow,cow,41
cracker,cracker,1
crib,crib,33
cry,cry,40
cup,cup,101
cute,cute,40
daddy,daddy,376
dance,dance,102
dark,dark,17
day,day,206
deer,deer,6
diaper,diaper,6
dinner,dinner,16
dirty,dirty,117
dish,dish,26
dog,dog,270
doll,doll,103
dont,don't,2247
donkey,donkey,5
door,door,118
down,down,955
draw,draw,105
drawer,drawer,9
dress,dress (object),111
drink,drink (action),104
drink,drink (beverage),104
drive,drive,12
dry,dry (description),24
duck,duck,36
ear,ear,32
eat,eat,247
egg,egg,46
elephant,elephant,44
empty,empty,4
eye,eye,113
