word, uni_lemma, frequency_count
airplane,airplane,17
all,all,440
animal,animal,5
another,another,74
apple,apple,122
arm,arm,40
asleep,asleep,5
aunt,aunt,1
away,away,130
baby,baby,43
babysitter,babysitter,0
back,back (location),451
bad,bad,39
ball,ball,259
balloon,balloon,36
banana,banana,12
bath,bath,117
bathroom,bathroom,31
bathtub,bathtub,3
beach,beach,35
beads,beads,17
bear,bear,7
bed,bed,124
bedroom,bedroom,15
bee,bee,5
bib,bib,19
bicycle,bicycle,0
big,big,125
bird,bird,137
bite,bite,297
blanket,blanket,6
block,block,33
blow,blow,74
blue,blue,34
book,book,49
boots,boots,8
bottle,bottle,8
bowl,bowl,30
box,box,61
boy,boy,79
bread,bread,5
break,break,10
breakfast,breakfast,115
bring,bring,15
broken,broken,8
broom,broom,1
brother,brother,4
brush,brush (object),107
bubbles,bubbles,6
bug,bug,2
bump,bump,126
bunny,bunny,3
bus,bus,5
butter,butter,60
butterfly,butterfly,0
button,button,56
bye,bye,26
cake,cake,10
candy,candy,0
car,car,165
careful,careful,18
carrots,carrots,2
cat,cat,8
cereal,cereal,45
chair,chair,96
cheek,cheek,2
cheerios,cheerios,21
cheese,cheese,26
chicken,chicken (animal),25
chicken,chicken (food),25
child,child,2
church,church,1
clean,clean (action),40
clean,clean (description),40
clock,clock,56
close,close,386
coat,coat,0
cockadoodledoo,cockadoodledoo,5
coffee,coffee,74
cold,cold,120
comb,comb (object),0
cookie,cookie,221
couch,couch,4
cow,cow,7
cracker,cracker,10
crib,crib,0
cry,cry,39
cup,cup,242
cute,cute,11
daddy,daddy,1157
dance,dance,0
dark,dark,20
day,day,66
deer,deer,0
diaper,diaper,214
dinner,dinner,5
dirty,dirty,20
dish,dish,1
dog,dog,10
doll,doll,1
dont,don't,567
donkey,donkey,0
door,door,154
down,down,925
draw,draw,0
drawer,drawer,9
dress,dress (object),2
drink,drink (action),132
drink,drink (beverage),132
drive,drive,10
dry,dry (description),132
duck,duck,61
ear,ear,47
eat,eat,273
egg,egg,57
elephant,elephant,2
empty,empty,10
eye,eye,23
face,face,91
fall,fall,49
fast,fast,9
feed,feed,21
fine,fine,8
finger,finger,11
finish,finish,17
firetruck,firetruck,3
fish,fish (animal),20
fish,fish (food),20
flower,flower,17
food,food,39
foot,foot,97
fork,fork,0
frog,frog,12
garage,garage,0
garden,garden,1
gentle,gentle,0
get,get,1105
giraffe,giraffe,0
girl,girl,3
give,give,217
glass,glass,17
glasses,glasses,6
go,go,962
good,good,960
goose,goose,0
grandma,grandma,1
grandpa,grandpa,0
grrr,grrr,0
hair,hair,128
hammer,hammer,1
