word, uni_lemma, frequency_count
airplane,airplane,8
all,all,9073
animal,animal,73
another,another,2501
apple,apple,1202
arm,arm,181
asleep,asleep,263
aunt,aunt,6
away,away,1914
baby,baby,1411
babysitter,babysitter,2
back,back (location),4767
bad,bad,180
ball,ball,314
balloon,balloon,326
banana,banana,259
bath,bath,575
bathroom,bathroom,123
bathtub,bathtub,0
beach,beach,81
beads,beads,120
bear,bear,831
bed,bed,911
bedroom,bedroom,222
bee,bee,262
bib,bib,236
bicycle,bicycle,299
big,big,7527
bird,bird,241
bite,bite,416
blanket,blanket,53
block,block,48
blow,blow,340
blue,blue,3228
book,book,1255
boots,boots,112
bottle,bottle,274
bowl,bowl,727
box,box,2414
boy,boy,2589
bread,bread,942
break,break,511
breakfast,breakfast,845
bring,bring,474
broken,broken,569
broom,broom,98
brother,brother,43
brush,brush (object),765
bubbles,bubbles,333
bug,bug,19
bump,bump,334
bunny,bunny,77
bus,bus,1875
butter,butter,126
butterfly,butterfly,111
button,button,352
bye,bye,1908
cake,cake,674
candy,candy,86
car,car,2334
careful,careful,1359
carrots,carrots,172
cat,cat,1499
cereal,cereal,164
chair,chair,1529
cheek,cheek,21
cheerios,cheerios,0
cheese,cheese,1288
chicken,chicken (animal),262
chicken,chicken (food),262
child,child,68
church,church,278
clean,clean (action),617
clean,clean (description),617
clock,clock,293
close,close,259
coat,coat,249
cockadoodledoo,cockadoodledoo,40
coffee,coffee,388
cold,cold,602
comb,comb (object),25
cookie,cookie,6
couch,couch,0
cow,cow,103
cracker,cracker,40
crib,crib,6
cry,cry,317
cup,cup,816
cute,cute,36
daddy,daddy,3057
dance,dance,123
dark,dark,511
day,day,1928
deer,deer,6
diaper,diaper,0
dinner,dinner,144
dirty,dirty,671
dish,dish,28
dog,dog,528
doll,doll,61
dont,don't,15007
donkey,donkey,46
door,door,1641
down,down,5869
draw,draw,370
drawer,drawer,122
dress,dress (object),160
drink,drink (action),1401
drink,drink (beverage),1401
drive,drive,440
dry,dry (description),323
duck,duck,234
ear,ear,171
eat,eat,2587
egg,egg,284
elephant,elephant,456
empty,empty,465
eye,eye,170
face,face,676
fall,fall,762
fast,fast,196
feed,feed,98
fine,fine,339
finger,finger,394
finish,finish,382
firetruck,firetruck,0
fish,fish (animal),824
fish,fish (food),824
flower,flower,192
food,food,1087
foot,foot,395
fork,fork,184
frog,frog,101
garage,garage,215
garden,garden,616
gentle,gentle,197
get,get,6570
giraffe,giraffe,104
girl,girl,563
give,give,1327
glass,glass,331
