word, uni_lemma, frequency_count
airplane,airplane,34
all,all,168
animal,animal,4
another,another,138
apple,apple,12
arm,arm,7
asleep,asleep,3
aunt,aunt,0
away,away,32
baby,baby,211
babysitter,babysitter,0
back,back (location),137
bad,bad,39
ball,ball,9
balloon,balloon,13
banana,banana,0
bath,bath,1
bathroom,bathroom,0
bathtub,bathtub,14
beach,beach,0
beads,beads,0
bear,bear,19
bed,bed,3
bedroom,bedroom,0
bee,bee,2
bib,bib,0
bicycle,bicycle,6
big,big,133
bird,bird,32
bite,bite,20
blanket,blanket,0
block,block,4
blow,blow,3
blue,blue,53
book,book,25
boots,boots,0
bottle,bottle,1
bowl,bowl,5
box,box,19
boy,boy,39
bread,bread,3
break,break,20
breakfast,breakfast,0
bring,bring,15
broken,broken,0
broom,broom,0
brother,brother,11
brush,brush (object),73
bubbles,bubbles,8
bug,bug,1
bump,bump,0
bunny,bunny,10
bus,bus,12
butter,butter,0
butterfly,butterfly,1
button,button,11
bye,bye,0
cake,cake,5
candy,candy,2
car,car,63
careful,careful,12
carrots,carrots,1
cat,cat,7
cereal,cereal,2
chair,chair,21
cheek,cheek,0
cheerios,cheerios,0
cheese,cheese,0
chicken,chicken (animal),12
chicken,chicken (food),12
child,child,3
church,church,0
clean,clean (action),3
clean,clean (description),3
clock,clock,6
close,close,19
coat,coat,0
cockadoodledoo,cockadoodledoo,0
coffee,coffee,1
cold,cold,3
comb,comb (object),6
cookie,cookie,3
couch,couch,3
cow,cow,23
cracker,cracker,0
crib,crib,0
cry,cry,7
cup,cup,0
cute,cute,15
daddy,daddy,34
dance,dance,0
dark,dark,2
day,day,10
deer,deer,6
diaper,diaper,0
dinner,dinner,8
dirty,dirty,0
dish,dish,0
dog,dog,22
doll,doll,6
dont,don't,436
donkey,donkey,4
door,door,16
down,down,119
draw,draw,4
drawer,drawer,2
dress,dress (object),2
drink,drink (action),7
drink,drink (beverage),7
drive,drive,20
dry,dry (description),1
duck,duck,49
ear,ear,9
eat,eat,68
egg,egg,2
elephant,elephant,8
empty,empty,0
eye,eye,7
face,face,15
fall,fall,17
fast,fast,7
feed,feed,9
fine,fine,4
finger,finger,10
finish,finish,2
firetruck,firetruck,10
fish,fish (animal),14
fish,fish (food),14
flower,flower,9
food,food,21
foot,foot,5
fork,fork,0
frog,frog,15
garage,garage,3
garden,garden,2
gentle,gentle,0
get,get,255
giraffe,giraffe,4
girl,girl,34
give,give,136
glass,glass,0
glasses,glasses,0
go,go,362
good,good,107
goose,goose,5
grandma,grandma,0
grandpa,grandpa,0
grrr,grrr,0
hair,hair,67
hammer,hammer,18
hand,hand,32
happy,happy,15
hard,hard,32
hat,hat,81
head,head,33
hello,hello,5
help,help,48
her,her,192
hi,hi,0
his,his,138
hit,hit,8
home,home,8
horse,horse,68
hot,hot,5
house,house,22
how,how,115
hug,hug,0
hungry,hungry,16
hurry,hurry,9
hurt,hurt (description),14
i,i,1272
in,in,651
inside,inside,16
it,it,1321
jacket,jacket,0
jeans,jeans,0
juice,juice,1
jump,jump,5
keys,keys,4
kick,kick,0
kiss,kiss,3
kitchen,kitchen,4
kitty,kitty,14
knee,knee,4
lady,lady,12
lamb,lamb,8
lamp,lamp,0
later,later,1
leg,leg,5
light,light (object),14
lion,lion,2
little,little (description),221
look,look,472
love,love,26
lunch,lunch,1
man,man,70
me,me,335
meat,meat,4
medicine,medicine,0
meow,meow,10
milk,milk,20
mine,mine,67
mommy,mommy,44
money,money,96
monkey,monkey,3
moo,moo,11
moon,moon,0
more,more,106
morning,morning,0
motorcycle,motorcycle,3
mouse,mouse,38
mouth,mouth,24
my,my,271
nap,nap,0
naughty,naughty,0
necklace,necklace,0
nice,nice,26
night,night,2
no,no,563
none,none,4
nose,nose,29
not,not,185
now,now,236
off,off,44
old,old,18
on,on,395
open,open (action),32
orange,orange (food),11
other,other,106
ouch,ouch,2
out,out,175
outside,outside,9
oven,oven,0
owl,owl,10
pajamas,pajamas,0
pants,pants,1
paper,paper,5
park,park,5
party,party,3
pattycake,pattycake,0
peas,peas,0
peekaboo,peekaboo,0
pen,pen,117
penguin,penguin,0
penny,penny,0
people,people,18
person,person,0
picture,picture,4
pig,pig,10
pillow,pillow,1
pizza,pizza,0
plant,plant,0
plate,plate,0
play,play,66
please,please,10
pony,pony,40
pool,pool,0
potty,potty,0
pretty,pretty,89
pull,pull,20
puppy,puppy,18
purse,purse,2
push,push,29
put,put,507
radio,radio,0
rain,rain,1
raisin,raisin,5
read,read,32
red,red,50
refrigerator,refrigerator,0
ride,ride,54
rock,rock (object),7
run,run,8
same,same,12
say,say,104
scared,scared,0
school,school,16
scissors,scissors,0
see,see,507
sheep,sheep,11
shh/shush/hush,shh,0
shirt,shirt,4
shoe,shoe,4
shorts,shorts,0
