word, uni_lemma, frequency_count
airplane,airplane,43
all,all,180
animal,animal,0
another,another,44
apple,apple,0
arm,arm,5
asleep,asleep,2
aunt,aunt,14
away,away,58
baby,baby,79
babysitter,babysitter,1
back,back (location),178
bad,bad,36
ball,ball,40
balloon,balloon,4
banana,banana,0
bath,bath,2
bathroom,bathroom,3
bathtub,bathtub,1
beach,beach,0
beads,beads,0
bear,bear,15
bed,bed,26
bedroom,bedroom,1
bee,bee,11
bib,bib,0
bicycle,bicycle,0
big,big,77
bird,bird,0
bite,bite,19
blanket,blanket,0
block,block,7
blow,blow,11
blue,blue,21
book,book,12
boots,boots,0
bottle,bottle,0
bowl,bowl,0
box,box,1
boy,boy,45
bread,bread,7
break,break,19
breakfast,breakfast,2
bring,bring,25
broken,broken,2
broom,broom,0
brother,brother,1
brush,brush (object),12
bubbles,bubbles,0
bug,bug,2
bump,bump,3
bunny,bunny,0
bus,bus,27
butter,butter,2
butterfly,butterfly,0
button,button,2
bye,bye,21
cake,cake,25
candy,candy,0
car,car,157
careful,careful,4
carrots,carrots,2
cat,cat,1
cereal,cereal,0
chair,chair,21
cheek,cheek,1
cheerios,cheerios,0
cheese,cheese,23
chicken,chicken (animal),45
chicken,chicken (food),45
child,child,1
church,church,0
clean,clean (action),2
clean,clean (description),2
clock,clock,0
close,close,28
coat,coat,0
cockadoodledoo,cockadoodledoo,0
coffee,coffee,38
cold,cold,12
comb,comb (object),9
cookie,cookie,0
couch,couch,2
cow,cow,2
cracker,cracker,1
crib,crib,0
cry,cry,0
cup,cup,86
cute,cute,1
daddy,daddy,89
dance,dance,4
dark,dark,0
day,day,15
deer,deer,1
diaper,diaper,2
dinner,dinner,53
dirty,dirty,0
dish,dish,2
dog,dog,3
doll,doll,0
dont,don't,402
donkey,donkey,0
door,door,7
down,down,149
draw,draw,0
drawer,drawer,0
dress,dress (object),4
drink,drink (action),34
drink,drink (beverage),34
drive,drive,7
dry,dry (description),2
duck,duck,1
ear,ear,3
eat,eat,119
egg,egg,8
elephant,elephant,0
empty,empty,1
eye,eye,2
face,face,4
fall,fall,20
fast,fast,19
feed,feed,4
fine,fine,13
finger,finger,13
finish,finish,6
firetruck,firetruck,0
fish,fish (animal),73
fish,fish (food),73
flower,flower,2
food,food,15
foot,foot,19
fork,fork,1
frog,frog,0
garage,garage,6
garden,garden,2
gentle,gentle,0
get,get,400
giraffe,giraffe,0
girl,girl,2
give,give,62
glass,glass,2
glasses,glasses,3
go,go,416
good,good,139
goose,goose,0
grandma,grandma,0
grandpa,grandpa,6
grrr,grrr,0
hair,hair,34
hammer,hammer,0
hand,hand,34
happy,happy,8
hard,hard,20
hat,hat,20
head,head,41
hello,hello,4
help,help,32
her,her,69
hi,hi,12
his,his,128
hit,hit,57
home,home,13
horse,horse,13
hot,hot,39
house,house,56
how,how,147
hug,hug,0
hungry,hungry,6
hurry,hurry,0
hurt,hurt (description),14
i,i,1023
in,in,586
inside,inside,10
it,it,1217
jacket,jacket,0
jeans,jeans,0
juice,juice,16
jump,jump,18
keys,keys,0
kick,kick,5
kiss,kiss,2
kitchen,kitchen,7
kitty,kitty,0
knee,knee,10
lady,lady,3
lamb,lamb,0
lamp,lamp,1
later,later,27
leg,leg,3
light,light (object),1
lion,lion,0
little,little (description),108
look,look,112
love,love,0
lunch,lunch,5
man,man,8
me,me,316
meat,meat,0
medicine,medicine,8
meow,meow,0
milk,milk,15
mine,mine,70
mommy,mommy,107
money,money,82
monkey,monkey,7
moo,moo,0
moon,moon,0
more,more,108
morning,morning,14
motorcycle,motorcycle,61
mouse,mouse,2
mouth,mouth,9
my,my,393
nap,nap,11
naughty,naughty,0
necklace,necklace,0
nice,nice,53
night,night,16
no,no,724
none,none,7
nose,nose,19
not,not,273
now,now,216
off,off,131
old,old,11
on,on,434
open,open (action),32
orange,orange (food),13
other,other,45
ouch,ouch,13
out,out,140
outside,outside,4
oven,oven,0
owl,owl,0
pajamas,pajamas,0
pants,pants,3
paper,paper,5
park,park,4
party,party,13
pattycake,pattycake,0
peas,peas,0
peekaboo,peekaboo,0
pen,pen,0
penguin,penguin,0
penny,penny,10
people,people,42
person,person,8
picture,picture,2
pig,pig,0
pillow,pillow,1
pizza,pizza,0
plant,plant,1
plate,plate,27
play,play,49
please,please,43
pony,pony,0
pool,pool,3
potty,potty,0
