word, uni_lemma, frequency_count
airplane,airplane,30
all,all,601
animal,animal,51
another,another,162
apple,apple,22
arm,arm,24
asleep,asleep,12
aunt,aunt,4
away,away,108
baby,baby,314
babysitter,babysitter,4
back,back (location),230
bad,bad,31
ball,ball,54
balloon,balloon,19
banana,banana,39
bath,bath,14
bathroom,bathroom,13
bathtub,bathtub,1
beach,beach,9
beads,beads,0
bear,bear,120
bed,bed,57
bedroom,bedroom,10
bee,bee,11
bib,bib,0
bicycle,bicycle,5
big,big,438
bird,bird,62
bite,bite,17
blanket,blanket,12
block,block,1
blow,blow,42
blue,blue,134
book,book,254
boots,boots,10
bottle,bottle,3
bowl,bowl,16
box,box,32
boy,boy,68
bread,bread,20
break,break,11
breakfast,breakfast,66
bring,bring,120
broken,broken,16
broom,broom,3
brother,brother,23
brush,brush (object),28
bubbles,bubbles,13
bug,bug,16
bump,bump,13
bunny,bunny,47
bus,bus,6
butter,butter,39
butterfly,butterfly,75
button,button,30
bye,bye,247
cake,cake,17
candy,candy,32
car,car,68
careful,careful,31
carrots,carrots,12
cat,cat,106
cereal,cereal,37
chair,chair,33
cheek,cheek,2
cheerios,cheerios,0
cheese,cheese,25
chicken,chicken (animal),16
chicken,chicken (food),16
child,child,4
church,church,0
clean,clean (action),81
clean,clean (description),81
clock,clock,18
close,close,36
coat,coat,15
cockadoodledoo,cockadoodledoo,6
coffee,coffee,8
cold,cold,49
comb,comb (object),2
cookie,cookie,20
couch,couch,20
cow,cow,52
cracker,cracker,8
crib,crib,1
cry,cry,5
cup,cup,36
cute,cute,59
daddy,daddy,188
dance,dance,12
dark,dark,21
day,day,139
deer,deer,5
diaper,diaper,17
dinner,dinner,12
dirty,dirty,51
dish,dish,1
dog,dog,83
doll,doll,10
dont,don't,788
donkey,donkey,10
door,door,33
down,down,284
draw,draw,69
drawer,drawer,11
dress,dress (object),35
drink,drink (action),45
drink,drink (beverage),45
drive,drive,9
dry,dry (description),13
duck,duck,31
ear,ear,9
eat,eat,119
egg,egg,36
elephant,elephant,53
empty,empty,8
eye,eye,35
face,face,62
fall,fall,25
fast,fast,20
feed,feed,8
fine,fine,30
finger,finger,16
finish,finish,59
firetruck,firetruck,0
fish,fish (animal),107
fish,fish (food),107
flower,flower,30
food,food,42
foot,foot,70
fork,fork,0
frog,frog,26
garage,garage,0
garden,garden,9
gentle,gentle,2
get,get,691
giraffe,giraffe,31
girl,girl,122
give,give,134
glass,glass,2
glasses,glasses,11
go,go,966
good,good,674
goose,goose,9
grandma,grandma,50
grandpa,grandpa,14
grrr,grrr,0
hair,hair,78
hammer,hammer,0
hand,hand,48
happy,happy,90
hard,hard,41
hat,hat,156
head,head,68
hello,hello,118
help,help,134
her,her,321
hi,hi,135
his,his,365
hit,hit,5
home,home,74
horse,horse,84
hot,hot,36
house,house,168
how,how,558
hug,hug,29
hungry,hungry,22
hurry,hurry,1
hurt,hurt (description),13
i,i,3616
in,in,1755
inside,inside,40
it,it,2757
jacket,jacket,12
jeans,jeans,1
juice,juice,28
jump,jump,38
keys,keys,3
kick,kick,5
kiss,kiss,36
kitchen,kitchen,23
kitty,kitty,86
knee,knee,8
lady,lady,29
lamb,lamb,13
lamp,lamp,7
later,later,31
leg,leg,16
light,light (object),31
lion,lion,37
little,little (description),530
look,look,743
love,love,109
lunch,lunch,50
man,man,41
me,me,765
meat,meat,11
medicine,medicine,19
meow,meow,40
milk,milk,39
mine,mine,53
mommy,mommy,127
money,money,30
monkey,monkey,83
moo,moo,74
moon,moon,44
more,more,221
morning,morning,53
motorcycle,motorcycle,1
mouse,mouse,75
mouth,mouth,46
my,my,669
nap,nap,3
naughty,naughty,19
necklace,necklace,13
nice,nice,121
night,night,75
no,no,810
none,none,4
nose,nose,87
not,not,443
now,now,710
off,off,277
old,old,77
on,on,1332
open,open (action),98
orange,orange (food),58
other,other,208
ouch,ouch,4
out,out,439
outside,outside,24
oven,oven,3
owl,owl,40
pajamas,pajamas,5
pants,pants,27
paper,paper,95
park,park,4
party,party,40
pattycake,pattycake,0
peas,peas,4
peekaboo,peekaboo,17
pen,pen,38
penguin,penguin,28
penny,penny,3
people,people,75
person,person,10
picture,picture,92
pig,pig,61
pillow,pillow,11
pizza,pizza,48
plant,plant,12
plate,plate,9
play,play,178
please,please,77
pony,pony,4
pool,pool,9
potty,potty,13
pretty,pretty,151
pull,pull,40
puppy,puppy,28
purse,purse,1
push,push,32
put,put,793
radio,radio,4
rain,rain,39
raisin,raisin,0
read,read,277
red,red,153
refrigerator,refrigerator,1
ride,ride,51
rock,rock (object),19
run,run,36
same,same,46
say,say,330
scared,scared,8
school,school,92
scissors,scissors,23
see,see,1222
sheep,sheep,68
shh/shush/hush,shh,0
shirt,shirt,47
shoe,shoe,35
shorts,shorts,6
shovel,shovel,0
show,show,105
sick,sick,22
sing,sing,31
sink,sink,6
sister,sister,13
sky,sky,30
sleep,sleep,25
sleepy,sleepy,4
slide,slide (object),23
smile,smile,4
snow,snow,59
soap,soap,8
sock,sock,16
soft,soft,10
some,some,533
splash,splash,10
spoon,spoon,7
squirrel,squirrel,16
stairs,stairs,8
star,star,42
stop,stop,26
store,store,8
stove,stove,8
stroller,stroller,3
sun,sun,47
sweater,sweater,5
swim,swim,13
swing,swing (action),20
swing,swing (object),20
table,table,46
take,take,228
teacher,teacher,7
teddybear,teddybear,7
telephone,telephone,6
that,that,2365
there,there,922
thirsty,thirsty,4
this,this,2745
throw,throw,31
tickle,tickle,8
tiger,tiger,57
tired,tired,24
toast,toast,16
today,today,194
toe,toe,15
tomorrow,tomorrow,15
tongue,tongue,16
tonight,tonight,5
tooth,tooth,2
toothbrush,toothbrush,1
touch,touch,38
towel,towel,6
toy,toy (object),28
train,train,44
trash,trash,4
tree,tree,80
truck,truck,15
tummy,tummy,5
turkey,turkey,8
turtle,turtle,48
tv,tv,5
uncle,uncle,23
under,under,46
up,up,616
vacuum,vacuum,2
vroom,vroom,0
wait,wait,138
walk,walk,55
wash,wash,26
watch,watch (action),98
watch,watch (object),98
water,water (beverage),101
water,water (not beverage),101
wet,wet (description),18
what,what,1715
when,when (question),252
where,where (question),440
who,who,211
why,why,172
window,window,31
wipe,wipe,18
work,work (place),105
write,write,58
backyard,yard,5
yes,yes,128
you,you,5197
your,your,868
yucky,yucky,14
zipper,zipper,1
zoo,zoo,53
