word, uni_lemma, frequency_count
airplane,airplane,0
all,all,15
animal,animal,0
another,another,12
apple,apple,0
arm,arm,0
asleep,asleep,0
aunt,aunt,0
away,away,1
baby,baby,0
babysitter,babysitter,0
back,back (location),10
bad,bad,0
ball,ball,14
balloon,balloon,0
banana,banana,0
bath,bath,0
bathroom,bathroom,0
bathtub,bathtub,0
beach,beach,0
beads,beads,0
bear,bear,0
bed,bed,1
bedroom,bedroom,0
bee,bee,0
bib,bib,0
bicycle,bicycle,0
big,big,4
bird,bird,7
bite,bite,3
blanket,blanket,0
block,block,3
blow,blow,6
blue,blue,0
book,book,4
boots,boots,2
bottle,bottle,0
bowl,bowl,0
box,box,0
boy,boy,9
bread,bread,0
break,break,0
breakfast,breakfast,0
bring,bring,2
broken,broken,0
broom,broom,0
brother,brother,0
brush,brush (object),0
bubbles,bubbles,0
bug,bug,0
bump,bump,0
bunny,bunny,0
bus,bus,0
butter,butter,0
butterfly,butterfly,0
button,button,0
bye,bye,0
cake,cake,0
candy,candy,0
car,car,0
careful,careful,0
carrots,carrots,0
cat,cat,0
cereal,cereal,0
chair,chair,0
cheek,cheek,0
cheerios,cheerios,0
cheese,cheese,0
chicken,chicken (animal),0
chicken,chicken (food),0
child,child,0
church,church,0
clean,clean (action),0
clean,clean (description),0
clock,clock,0
close,close,1
coat,coat,1
cockadoodledoo,cockadoodledoo,0
coffee,coffee,0
cold,cold,4
comb,comb (object),0
cookie,cookie,6
couch,couch,0
cow,cow,0
cracker,cracker,0
crib,crib,0
cry,cry,0
cup,cup,1
cute,cute,0
daddy,daddy,0
dance,dance,0
dark,dark,0
day,day,0
deer,deer,0
diaper,diaper,0
dinner,dinner,0
dirty,dirty,0
dish,dish,0
dog,dog,0
doll,doll,0
dont,don't,15
donkey,donkey,0
door,door,0
down,down,2
draw,draw,0
drawer,drawer,0
dress,dress (object),0
drink,drink (action),0
drink,drink (beverage),0
drive,drive,0
dry,dry (description),0
duck,duck,0
ear,ear,0
eat,eat,10
egg,egg,0
elephant,elephant,0
empty,empty,0
eye,eye,0
face,face,2
fall,fall,1
fast,fast,0
feed,feed,0
fine,fine,0
finger,finger,0
finish,finish,1
firetruck,firetruck,0
fish,fish (animal),0
fish,fish (food),0
flower,flower,0
food,food,0
foot,foot,0
fork,fork,0
frog,frog,0
garage,garage,0
garden,garden,0
gentle,gentle,0
get,get,1
giraffe,giraffe,0
girl,girl,0
give,give,0
glass,glass,0
glasses,glasses,0
go,go,11
good,good,25
goose,goose,0
grandma,grandma,0
grandpa,grandpa,0
grrr,grrr,0
hair,hair,1
hammer,hammer,1
hand,hand,0
happy,happy,1
hard,hard,0
hat,hat,2
head,head,0
hello,hello,0
help,help,0
her,her,4
hi,hi,0
his,his,4
hit,hit,1
home,home,1
horse,horse,0
hot,hot,1
house,house,5
how,how,1
hug,hug,0
hungry,hungry,0
hurry,hurry,0
hurt,hurt (description),1
i,i,6
in,in,30
inside,inside,2
it,it,45
jacket,jacket,0
jeans,jeans,0
juice,juice,0
jump,jump,0
keys,keys,0
kick,kick,0
kiss,kiss,0
kitchen,kitchen,0
kitty,kitty,0
knee,knee,0
lady,lady,0
lamb,lamb,0
lamp,lamp,0
later,later,0
leg,leg,0
