word, uni_lemma, avg_surprisal
airplane,airplane,6.414285123348236
all,all,5.5503096660377595
animal,animal,11.412438364589915
another,another,5.215643214810755
apple,apple,7.61505204114047
arm,arm,8.042066509659225
asleep,asleep,16.079607486724854
aunt,aunt,NA
away,away,6.142575342383161
baby,baby,5.597991111801892
babysitter,babysitter,12.987881660461426
back,back (location),4.152783700906392
bad,bad,9.788310730096066
ball,ball,4.4386002357396706
balloon,balloon,10.212123425801595
banana,banana,12.689788279326066
bath,bath,11.79822195900811
bathroom,bathroom,15.778462409973145
bathtub,bathtub,15.11169484945444
beach,beach,15.079325675964355
beads,beads,17.150307655334473
bear,bear,7.039237976074219
bed,bed,6.403439765175183
bedroom,bedroom,14.051177978515625
bee,bee,11.791498641967774
bib,bib,15.687816513909233
bicycle,bicycle,14.221900573143593
big,big,4.771964857258747
bird,bird,7.263237128386626
bite,bite,10.32376859664917
blanket,blanket,14.721451486860003
block,block,10.691567725605434
blow,blow,7.32645327027081
blue,blue,9.852187242400781
book,book,4.63473788403176
boots,boots,7.495387446205571
bottle,bottle,13.094820001390245
bowl,bowl,13.774336814880371
box,box,4.677228395876131
boy,boy,4.49718969709733
bread,bread,12.8835396194458
break,break,5.072712965572582
breakfast,breakfast,15.170659383138021
bring,bring,5.981446560848965
broken,broken,6.2151785366462935
broom,broom,9.188802440961203
brother,brother,11.515506394704182
brush,brush (object),10.877134973352605
bubbles,bubbles,16.168977546691895
bug,bug,15.329308417535596
bump,bump,13.973853383745466
bunny,bunny,10.6599130153656
bus,bus,11.88070737838745
butter,butter,16.448528814315797
butterfly,butterfly,12.280423376295301
button,button,5.965981335639953
bye,bye,17.132781301225936
cake,cake,13.857370393616813
candy,candy,11.978049635887146
car,car,4.201940217122111
careful,careful,6.563144186687042
carrots,carrots,16.508086681365967
cat,cat,9.98155056484162
cereal,cereal,17.031439463297527
chair,chair,4.533243347508039
cheek,cheek,14.086088700727982
cheerios,cheerios,NA
cheese,cheese,14.649743995666505
chicken,chicken (animal),13.045081002371651
chicken,chicken (food),13.045081002371651
child,child,15.591450691223145
church,church,11.093443393707275
clean,clean (action),11.753341943025589
clean,clean (description),11.753341943025589
clock,clock,7.654514379668654
close,close,7.533748909046776
coat,coat,14.601626105930494
cockadoodledoo,cockadoodledoo,17.26190891265869
coffee,coffee,8.642571272048276
cold,cold,12.667512893676758
comb,comb (object),15.679322354933795
cookie,cookie,14.223714053630829
couch,couch,13.523753547668457
cow,cow,7.470653842045711
cracker,cracker,14.263904484835537
crib,crib,NA
cry,cry,7.480689144134521
cup,cup,7.981287582104023
cute,cute,16.057833194732666
daddy,daddy,5.9692518980272355
dance,dance,12.819388355527606
dark,dark,11.796561241149902
day,day,7.718761116266251
deer,deer,12.321734428405762
diaper,diaper,11.418453862590175
dinner,dinner,10.383057866777692
