word, uni_lemma, avg_surprisal
airplane,airplane,14.989398638407389
all,all,5.180370012919108
animal,animal,14.222501118977865
another,another,5.1992493961634265
apple,apple,4.913950342507589
arm,arm,10.25853471322493
asleep,asleep,12.21060914993286
aunt,aunt,14.476455211639404
away,away,4.368255871884963
baby,baby,5.820207973321279
babysitter,babysitter,NA
back,back (location),5.184710013060383
bad,bad,8.670804248136633
ball,ball,4.423382893521735
balloon,balloon,8.761557919638497
banana,banana,9.061303964802917
bath,bath,7.477858257293701
bathroom,bathroom,13.32380223274231
bathtub,bathtub,NA
beach,beach,8.522933420927629
beads,beads,11.913927128440456
bear,bear,5.491885128021241
bed,bed,13.69642706712087
bedroom,bedroom,15.90534782409668
bee,bee,6.694354699208186
bib,bib,NA
bicycle,bicycle,13.107810656229654
big,big,4.715376903042935
bird,bird,5.711434966774397
bite,bite,8.008786007761955
blanket,blanket,13.013996931222769
block,block,7.644569396972656
blow,blow,8.63904094696045
blue,blue,4.910572418450805
book,book,3.7028302214836164
boots,boots,10.292202101813423
bottle,bottle,16.35251808166504
bowl,bowl,5.350206492552116
box,box,6.349564570188522
boy,boy,3.3556516374724796
bread,bread,9.608761564890544
break,break,7.546465464041266
breakfast,breakfast,16.352971363067628
bring,bring,8.689687988214326
broken,broken,7.4965092858602835
broom,broom,15.685288619995116
brother,brother,15.652798334757486
brush,brush (object),8.989572895897759
bubbles,bubbles,8.33425521850586
bug,bug,9.77810609908331
bump,bump,16.064823150634766
bunny,bunny,12.716762034098307
bus,bus,6.128955333463607
butter,butter,11.677979977925618
butterfly,butterfly,7.739355768476214
button,button,8.9425245390998
bye,bye,7.0657993619756185
cake,cake,13.837046329791729
candy,candy,14.74783958707537
car,car,5.993405652526241
careful,careful,6.579407785087824
carrots,carrots,12.205482823508126
cat,cat,10.411913143961053
cereal,cereal,11.058881815742044
chair,chair,4.722798758319446
cheek,cheek,NA
cheerios,cheerios,16.245084762573242
cheese,cheese,7.897174855937129
chicken,chicken (animal),10.356519963060107
chicken,chicken (food),10.356519963060107
child,child,NA
church,church,16.780076874627007
clean,clean (action),5.839355918024316
clean,clean (description),5.839355918024316
clock,clock,9.852104172562107
close,close,8.835522935745564
coat,coat,13.310748100280762
cockadoodledoo,cockadoodledoo,NA
coffee,coffee,16.750198364257812
cold,cold,7.63143625774899
comb,comb (object),16.882093715667725
cookie,cookie,8.819275614041
couch,couch,13.75989546094622
cow,cow,6.8746108801468555
cracker,cracker,11.527606773376466
crib,crib,NA
cry,cry,10.83350255754259
cup,cup,7.3972063619037005
cute,cute,4.473225499561854
daddy,daddy,6.557564409767709
dance,dance,11.017543951670328
dark,dark,14.4213806333996
day,day,5.7789851290280705
deer,deer,16.722898483276367
diaper,diaper,15.943239212036133
dinner,dinner,14.932917594909668
dirty,dirty,8.136932695613188
dish,dish,12.97768521308899
dog,dog,6.784632897958523
doll,doll,17.903418223063152
dont,don't,3.157057273753746
donkey,donkey,NA
door,door,7.506881190509331
down,down,4.273941647185355
draw,draw,9.029410529136658
drawer,drawer,8.746967747097923
dress,dress (object),NA
drink,drink (action),6.778948135865041
drink,drink (beverage),6.778948135865041
drive,drive,10.448071616036552
dry,dry (description),8.986566444923138
duck,duck,6.7017102761702105
ear,ear,11.419196862440844
eat,eat,5.161846517044821
egg,egg,6.550320856387799
elephant,elephant,6.325171189648764
empty,empty,10.643066996619815
eye,eye,7.322959637641906
face,face,3.8994342639666644
fall,fall,6.9841679668426515
fast,fast,6.473316243489584
feed,feed,11.37191359202067
fine,fine,7.397455030017429
finger,finger,8.64963318172254
finish,finish,7.987430757091891
firetruck,firetruck,NA
fish,fish (animal),8.047058091444129
fish,fish (food),8.047058091444129
flower,flower,8.311058899712942
food,food,9.204962995317247
foot,foot,8.689903438091278
fork,fork,9.283114665263408
frog,frog,8.956180884920318
garage,garage,9.06686250368754
garden,garden,7.091585483551025
gentle,gentle,10.354628033108181
get,get,3.357655766206386
giraffe,giraffe,9.40819080944719
girl,girl,8.268454635844511
give,give,4.762424073080076
glass,glass,12.842187690734864
glasses,glasses,11.379391326904297
go,go,3.467793021849927
good,good,3.321860480555919
goose,goose,9.095913290977478
grandma,grandma,16.625014305114746
grandpa,grandpa,NA
grrr,grrr,NA
hair,hair,6.16167470778542
hammer,hammer,11.40108413696289
hand,hand,6.500770174426797
happy,happy,7.766934341854519
hard,hard,10.627382636070251
hat,hat,6.065611082210875
head,head,4.555181887219934
hello,hello,8.701512568587557
help,help,3.783299475068777
her,her,6.218146724465453
hi,hi,5.436015225076056
his,his,4.96507757360285
hit,hit,6.7897536793693165
home,home,7.9330339431762695
horse,horse,12.289498329162598
hot,hot,6.720279269748264
house,house,5.759115407864253
how,how,4.279052709645414
hug,hug,11.582930326461792
hungry,hungry,9.755356456922447
hurry,hurry,14.757113193643503
hurt,hurt (description),9.496582733260261
i,i,3.3578533964257047
in,in,3.2846818781621008
inside,inside,11.65693512558937
it,it,2.334151865021202
jacket,jacket,14.82395339012146
jeans,jeans,16.381630659103394
juice,juice,8.31041229924848
jump,jump,8.247085316236628
keys,keys,11.458551406860352
kick,kick,10.192929013570149
kiss,kiss,6.841867170333862
kitchen,kitchen,7.767962982780055
kitty,kitty,9.828354811668396
knee,knee,14.913104057312012
lady,lady,14.032234032948812
lamb,lamb,15.584473609924316
lamp,lamp,16.7337646484375
later,later,6.785994067788124
leg,leg,10.922630680931938
light,light (object),8.116645366587537
lion,lion,6.736025830532642
little,little (description),3.284738634980243
look,look,4.186341849929195
love,love,3.6065429819041284
lunch,lunch,8.570143511801055
man,man,7.553116409402144
me,me,1.7201973100031356
meat,meat,15.231888771057129
medicine,medicine,14.719746589660645
meow,meow,11.399764802720812
milk,milk,9.997618301709492
mine,mine,8.95493837084089
mommy,mommy,4.872273831475865
money,money,12.603522629573428
monkey,monkey,6.507463078166163
moo,moo,10.862610214634946
moon,moon,11.400177836418152
more,more,5.296339930683733
morning,morning,6.424113247845624
motorcycle,motorcycle,16.922847747802734
mouse,mouse,15.012664068312873
mouth,mouth,4.4345633440379855
my,my,5.569873039474353
nap,nap,6.593893965085347
naughty,naughty,10.997917576840049
necklace,necklace,15.860209465026855
nice,nice,3.444375618139447
night,night,8.338628606098455
no,no,4.82131415311989
none,none,15.752474149068197
nose,nose,4.678085524985131
not,not,3.8044354432239764
now,now,5.259237757051625
off,off,5.559888991794071
old,old,11.664976473207828
on,on,2.735591173781244
open,open (action),6.766256212330551
orange,orange (food),5.9154870239729735
other,other,4.137410690465312
ouch,ouch,16.744123458862305
out,out,3.995085266729196
outside,outside,7.175104524268479
oven,oven,14.816187858581543
owl,owl,10.24332382804469
pajamas,pajamas,14.797161420186361
pants,pants,7.280272817611694
paper,paper,8.255796539951378
park,park,15.787854194641113
party,party,14.047652350531685
pattycake,pattycake,NA
peas,peas,14.252743244171143
peekaboo,peekaboo,12.243847846984863
pen,pen,11.265319049358368
penguin,penguin,11.462253941429985
penny,penny,NA
people,people,7.03081750869751
person,person,15.110797609601702
picture,picture,9.661769086664373
pig,pig,7.408435695311603
pillow,pillow,15.653895556926727
pizza,pizza,12.992327094078064
plant,plant,13.868231296539307
