word, uni_lemma, avg_surprisal
airplane,airplane,NA
all,all,4.091120452591867
animal,animal,12.650305531241678
another,another,5.697520380062907
apple,apple,12.129698889596122
arm,arm,9.04273533821106
asleep,asleep,5.481652917006077
aunt,aunt,NA
away,away,4.723326677157555
baby,baby,4.914457472578271
babysitter,babysitter,NA
back,back (location),4.041504705945651
bad,bad,15.521035466875349
ball,ball,11.197705324958353
balloon,balloon,11.281251072883606
banana,banana,13.99174976348877
bath,bath,4.4915890578764035
bathroom,bathroom,15.967843055725098
bathtub,bathtub,NA
beach,beach,11.061465793185764
beads,beads,NA
bear,bear,2.4189930891477935
bed,bed,6.01839997968063
bedroom,bedroom,13.580077171325684
bee,bee,14.381121397018433
bib,bib,8.261105782645089
bicycle,bicycle,NA
big,big,4.9298317821129505
bird,bird,10.992979109287262
bite,bite,9.514813077860865
blanket,blanket,12.715460806181937
block,block,15.841695785522461
blow,blow,12.603398895263672
blue,blue,8.631429001137063
book,book,5.502727536980165
boots,boots,13.656299686431884
bottle,bottle,11.221041232820541
bowl,bowl,8.90243414909609
box,box,3.515168871306166
boy,boy,7.662920291607197
bread,bread,7.565969554745421
break,break,14.520624030720104
breakfast,breakfast,8.467093955145941
bring,bring,8.848172728220622
broken,broken,12.010807167400014
broom,broom,NA
brother,brother,15.317466735839844
brush,brush (object),8.716114521026611
bubbles,bubbles,15.47441543232311
bug,bug,17.114713668823242
bump,bump,13.43817138671875
bunny,bunny,NA
bus,bus,12.07172659823769
butter,butter,14.128540992736816
butterfly,butterfly,14.845105648040771
button,button,11.030469059944153
bye,bye,16.692781402951194
cake,cake,5.573457094930833
candy,candy,NA
car,car,5.24488492316388
careful,careful,8.61599157985888
carrots,carrots,12.487295502110532
cat,cat,6.575775909423828
cereal,cereal,NA
chair,chair,7.0571783350915025
cheek,cheek,15.003639221191406
cheerios,cheerios,NA
cheese,cheese,9.44972569009532
chicken,chicken (animal),11.594888591766358
chicken,chicken (food),11.594888591766358
child,child,NA
church,church,13.234522212635387
clean,clean (action),6.5741709379049444
clean,clean (description),6.5741709379049444
clock,clock,14.907761891682943
close,close,15.290852329947732
coat,coat,12.56363821029663
cockadoodledoo,cockadoodledoo,15.229284954071044
coffee,coffee,15.247276306152344
cold,cold,7.26898892382358
comb,comb (object),12.694379091262817
cookie,cookie,NA
couch,couch,NA
cow,cow,8.437292231134622
cracker,cracker,NA
crib,crib,NA
cry,cry,9.363570543435904
cup,cup,7.235109465462821
cute,cute,14.143866539001465
daddy,daddy,6.076513056933138
dance,dance,14.4346435546875
dark,dark,13.945701599121094
day,day,7.366890324486627
deer,deer,14.658727169036865
diaper,diaper,NA
dinner,dinner,5.999156792958577
dirty,dirty,7.977743553078693
dish,dish,NA
dog,dog,7.816873641241164
doll,doll,15.607588577270509
dont,don't,4.24309072394093
donkey,donkey,17.820366223653156
door,door,5.501122659711696
down,down,3.2709921496024923
draw,draw,10.77226925979961
drawer,drawer,15.222041538783483
dress,dress (object),6.414110047476632
drink,drink (action),6.156066715717316
drink,drink (beverage),6.156066715717316
drive,drive,7.630680131912231
dry,dry (description),11.2897636599657
duck,duck,10.110216403275393
ear,ear,11.740926129477364
eat,eat,5.614826046959472
egg,egg,12.871470499038697
elephant,elephant,10.614081598677725
empty,empty,11.171725591023764
eye,eye,13.072997808456421
face,face,5.457811737060547
fall,fall,9.12935159319923
fast,fast,10.608300670500725
feed,feed,14.798622417449952
fine,fine,11.50915409269787
finger,finger,13.871152453952366
finish,finish,11.138045819600423
firetruck,firetruck,NA
fish,fish (animal),14.05214869009482
fish,fish (food),14.05214869009482
flower,flower,14.832688808441162
food,food,7.058516074449588
foot,foot,5.3145827293396
fork,fork,12.960543632507324
frog,frog,12.576581700642903
garage,garage,12.083842086791993
garden,garden,8.907851219177246
gentle,gentle,17.115039825439453
get,get,4.522158829720466
giraffe,giraffe,10.171401701475444
girl,girl,4.109967294492219
give,give,7.381710615158081
glass,glass,16.384758949279785
glasses,glasses,12.001214299883161
go,go,3.2415546011506464
good,good,5.512295531910777
goose,goose,15.290872573852539
grandma,grandma,9.60828324423896
grandpa,grandpa,NA
grrr,grrr,17.127443313598633
hair,hair,4.847127720318009
hammer,hammer,16.468128204345703
hand,hand,7.639070420651822
happy,happy,10.55074559725248
hard,hard,14.036213874816895
hat,hat,6.173717710104856
head,head,5.26124089898415
hello,hello,12.295513711758513
help,help,4.970037966508132
her,her,3.6521907739417174
hi,hi,17.115812301635742
his,his,4.345547554933506
hit,hit,12.898892947605678
home,home,7.390293210466331
horse,horse,8.260065526962281
hot,hot,7.789383524940128
house,house,4.346368996380585
how,how,10.000107311811604
hug,hug,17.13587188720703
hungry,hungry,11.784973780314127
hurry,hurry,16.61042857170105
hurt,hurt (description),13.216890901327133
i,i,3.610784378801258
in,in,3.102875283727595
inside,inside,12.70946429325984
it,it,1.608696267135513
jacket,jacket,15.65335464477539
jeans,jeans,NA
juice,juice,8.35035442536877
jump,jump,8.611050605773926
keys,keys,15.455154101053873
kick,kick,16.21238203048706
kiss,kiss,11.416821732812998
kitchen,kitchen,5.7315266291300455
kitty,kitty,NA
knee,knee,13.669227917989096
lady,lady,6.975884131022862
lamb,lamb,12.92261864157284
lamp,lamp,14.87914752960205
later,later,7.302662670612335
leg,leg,10.579415809276492
light,light (object),10.161463141441345
lion,lion,9.965423052651541
little,little (description),4.759992034811723
look,look,3.9532488195237563
love,love,17.787823571099175
lunch,lunch,14.727665265401205
man,man,4.806936743333168
me,me,2.4215729364789165
meat,meat,9.865856488545736
medicine,medicine,13.078706986563546
meow,meow,NA
milk,milk,6.413044375342292
mine,mine,9.146741180419921
mommy,mommy,NA
money,money,10.385269509421455
monkey,monkey,9.088546292165692
moo,moo,13.970332908630372
moon,moon,16.09378147125244
more,more,4.0523159875782255
morning,morning,4.923822181740987
motorcycle,motorcycle,NA
mouse,mouse,13.318861521207369
mouth,mouth,5.69316055914935
my,my,4.881290967365259
nap,nap,NA
naughty,naughty,12.753694677352906
necklace,necklace,15.468186378479004
nice,nice,5.534095060257685
night,night,9.886529408968412
no,no,4.086142357060167
none,none,14.083325576782226
nose,nose,6.480073716905382
not,not,3.9888029112702323
now,now,4.267493504213999
off,off,3.452674042524361
old,old,11.8090756660284
on,on,2.40248321013725
open,open (action),9.135292968442362
orange,orange (food),7.145423637854086
other,other,5.380670903260226
ouch,ouch,17.128406524658203
out,out,3.4071207633465206
outside,outside,10.030665826797485
oven,oven,15.697086215019226
owl,owl,NA
pajamas,pajamas,11.413644267666724
pants,pants,6.025290505830632
paper,paper,9.226589012145997
park,park,10.276358008384705
party,party,8.277524532155788
pattycake,pattycake,NA
peas,peas,15.620715260505676
peekaboo,peekaboo,NA
pen,pen,11.609898269176483
penguin,penguin,13.604898880267966
penny,penny,12.535763502120972
people,people,6.7719826490982715
person,person,13.559752655029296
picture,picture,8.438887155056
pig,pig,7.329546024924831
pillow,pillow,15.038457325526647
pizza,pizza,17.11981201171875
plant,plant,15.989117622375488
plate,plate,8.621283559799194
play,play,4.784482395745875
please,please,4.85091309906334
pony,pony,NA
pool,pool,4.763577815258142
potty,potty,NA
pretty,pretty,15.485761642456055
pull,pull,13.169357543767886
puppy,puppy,14.817986329396566
purse,purse,NA
push,push,9.482384200143342
put,put,4.415115114721921
radio,radio,13.880331420898438
rain,rain,14.087910056114197
raisin,raisin,NA
read,read,6.895490574458289
red,red,6.29573395019187
refrigerator,refrigerator,NA
ride,ride,11.260801046322554
rock,rock (object),17.567597007751466
run,run,13.377365561092601
same,same,5.3422446101903915
say,say,5.350562312386253
scared,scared,13.752492547035217
school,school,15.696959904261998
scissors,scissors,14.901736736297607
see,see,3.1908574469321596
sheep,sheep,8.039643151419503
shh/shush/hush,shh,NA
shirt,shirt,12.499852240085602
shoe,shoe,12.470876557486397
shorts,shorts,NA
shovel,shovel,NA
show,show,11.856155557452508
sick,sick,14.706207990646362
sing,sing,11.566234212933164
sink,sink,12.522602081298828
sister,sister,14.946698188781738
sky,sky,10.78886702325609
sleep,sleep,3.6667941179972714
sleepy,sleepy,13.283555805683136
slide,slide (object),8.230501316211841
smile,smile,16.17343872243708
snow,snow,13.207055765039781
soap,soap,15.324714342753092
sock,sock,14.219871203104654
soft,soft,16.557435989379883
some,some,3.5742151388187997
splash,splash,16.742385149002075
spoon,spoon,11.181231444222586
squirrel,squirrel,14.669296741485596
stairs,stairs,14.854494571685791
star,star,17.538408279418945
stop,stop,12.622039053175184
store,store,NA
stove,stove,NA
stroller,stroller,NA
sun,sun,17.121356964111328
sweater,sweater,NA
swim,swim,15.311617612838745
swing,swing (action),11.550528764724731
swing,swing (object),11.550528764724731
table,table,5.842327767343663
take,take,6.509351503908934
teacher,teacher,14.048443794250488
teddybear,teddybear,10.019628770889774
telephone,telephone,14.732235550880432
that,that,2.7218974735933026
there,there,3.5544475693101725
thirsty,thirsty,14.903415870666503
this,this,3.553897794645117
throw,throw,8.70581040453555
tickle,tickle,14.271257902446546
tiger,tiger,9.487405681610108
tired,tired,6.138500561585298
toast,toast,10.531053122352152
today,today,7.088247271946498
toe,toe,13.068726403372628
tomorrow,tomorrow,15.024168491363525
tongue,tongue,12.805317242940268
tonight,tonight,12.812939780099052
tooth,tooth,NA
toothbrush,toothbrush,15.360526084899902
touch,touch,12.253091430664062
towel,towel,12.355832364824083
toy,toy (object),9.321476618448893
train,train,6.144805460937263
trash,trash,NA
tree,tree,9.489306970076127
truck,truck,15.0964937210083
tummy,tummy,5.668482927175669
turkey,turkey,NA
turtle,turtle,NA
tv,tv,NA
uncle,uncle,NA
under,under,5.943286866755099
up,up,2.357684944684689
vacuum,vacuum,NA
vroom,vroom,15.068527957371304
wait,wait,12.576739973492092
walk,walk,8.19935055006118
wash,wash,11.224563319508622
watch,watch (action),12.615111553922613
watch,watch (object),12.615111553922613
water,water (beverage),8.421350466061945
water,water (not beverage),8.421350466061945
wet,wet (description),10.885858141857645
what,what,3.1840904575281197
when,when (question),6.282137646231541
where,where (question),5.4629537822042895
who,who,6.725662593623154
why,why,7.253079326846931
window,window,6.4147857938494
wipe,wipe,11.4414157413301
work,work (place),7.242112286119576
write,write,15.141643013272967
backyard,yard,NA
yes,yes,5.866953484540762
you,you,1.2653024868348701
your,your,3.408551641743446
yucky,yucky,15.418357849121094
zipper,zipper,NA
zoo,zoo,7.819251803790822
