word, uni_lemma, avg_surprisal
airplane,airplane,NA
all,all,4.45101852628067
animal,animal,NA
another,another,6.279777519630663
apple,apple,NA
arm,arm,9.04335185459682
asleep,asleep,10.41367244720459
aunt,aunt,11.741358757019043
away,away,5.275185929877417
baby,baby,5.101805903694847
babysitter,babysitter,NA
back,back (location),5.750299099648353
bad,bad,6.061630437540454
ball,ball,8.915995796521505
balloon,balloon,6.401906626565116
banana,banana,12.926578521728516
bath,bath,6.483676965420063
bathroom,bathroom,7.504145542780559
bathtub,bathtub,NA
beach,beach,9.505970191955566
beads,beads,NA
bear,bear,8.551415867275661
bed,bed,7.410843543708324
bedroom,bedroom,6.570657881823453
bee,bee,11.454244613647461
bib,bib,10.60278034210205
bicycle,bicycle,NA
big,big,4.964962967043
bird,bird,9.43012523651123
bite,bite,11.863834381103516
blanket,blanket,NA
block,block,14.169129371643066
blow,blow,7.889165083567302
blue,blue,8.84543507749384
book,book,5.070814658094336
boots,boots,10.252940919664171
bottle,bottle,6.791270707782946
bowl,bowl,8.485413869222006
box,box,6.327841658341257
boy,boy,4.573025735648903
bread,bread,8.594429731369019
break,break,11.640670670403374
breakfast,breakfast,6.881945720085731
bring,bring,5.810848532782661
broken,broken,12.301538467407227
broom,broom,NA
brother,brother,6.645767291386922
brush,brush (object),10.146018600463867
bubbles,bubbles,11.595457077026367
bug,bug,10.630854606628418
bump,bump,8.443988800048828
bunny,bunny,NA
bus,bus,9.535833358764648
butter,butter,12.327019119262696
butterfly,butterfly,10.982876777648926
button,button,11.363612174987793
bye,bye,11.512861251831055
cake,cake,10.388617134094238
candy,candy,NA
car,car,8.254029410226005
careful,careful,7.80332630330866
carrots,carrots,14.667008399963379
cat,cat,8.676492320166695
cereal,cereal,NA
chair,chair,6.647723956541582
cheek,cheek,10.713890075683594
cheerios,cheerios,NA
cheese,cheese,10.82007815621116
chicken,chicken (animal),9.447181987762452
chicken,chicken (food),9.447181987762452
child,child,6.773845446737189
church,church,9.047582030296326
clean,clean (action),7.629280090332031
clean,clean (description),7.629280090332031
clock,clock,9.867109298706055
close,close,14.486345291137695
coat,coat,10.421030680338541
cockadoodledoo,cockadoodledoo,NA
coffee,coffee,7.022835863961114
cold,cold,6.90894737697783
comb,comb (object),NA
cookie,cookie,NA
couch,couch,NA
cow,cow,12.726210912068685
