word, uni_lemma, avg_surprisal
airplane,airplane,NA
all,all,5.0270078684488935
animal,animal,13.457467079162598
another,another,5.601632941038089
apple,apple,14.772147798538208
arm,arm,7.774061667919159
asleep,asleep,9.573872859661396
aunt,aunt,NA
away,away,5.450869139035543
baby,baby,5.031253788854692
babysitter,babysitter,NA
back,back (location),4.340980977983446
bad,bad,8.89079726826061
ball,ball,8.47375620172379
balloon,balloon,14.762604566720816
banana,banana,9.860554751227884
bath,bath,8.508089098063381
bathroom,bathroom,16.096928596496582
bathtub,bathtub,NA
beach,beach,14.57241268157959
beads,beads,NA
bear,bear,15.375450491905212
bed,bed,7.226919469379244
bedroom,bedroom,17.32765547434489
bee,bee,NA
bib,bib,13.383410358428955
bicycle,bicycle,14.631048202514648
big,big,4.336941818951228
bird,bird,13.083090225855509
bite,bite,7.8840475255792795
blanket,blanket,11.249584939744738
block,block,16.1823673248291
blow,blow,11.498142576217651
blue,blue,7.2526865619243965
book,book,12.796860521489924
boots,boots,17.928918838500977
bottle,bottle,10.064824695587157
bowl,bowl,11.470257077898298
box,box,4.887529039804915
boy,boy,9.971129877226693
bread,bread,9.09393220629011
break,break,6.948238054911296
breakfast,breakfast,12.842606154355137
bring,bring,12.408385695072642
broken,broken,9.691108916179243
broom,broom,NA
brother,brother,15.273858547210693
brush,brush (object),10.930391788482666
bubbles,bubbles,NA
bug,bug,NA
bump,bump,13.822359085083008
bunny,bunny,7.9929415583610535
bus,bus,13.455880800882975
butter,butter,16.181021690368652
butterfly,butterfly,11.37955752286044
button,button,10.356226857503255
bye,bye,17.27152615501767
cake,cake,7.971912892659505
candy,candy,NA
car,car,5.7713776935230605
careful,careful,4.309925008793266
carrots,carrots,16.73950481414795
cat,cat,6.84448050904548
cereal,cereal,15.748884201049805
chair,chair,7.443583732996231
cheek,cheek,NA
cheerios,cheerios,NA
cheese,cheese,9.230579637712047
chicken,chicken (animal),9.9907358342951
chicken,chicken (food),9.9907358342951
child,child,13.711000442504883
church,church,NA
clean,clean (action),12.182690007346016
clean,clean (description),12.182690007346016
clock,clock,16.244998931884766
close,close,12.445474771352915
coat,coat,13.055466379438128
cockadoodledoo,cockadoodledoo,16.436792437235514
coffee,coffee,14.754618048667908
cold,cold,9.917524463252017
comb,comb (object),14.048662757873535
cookie,cookie,NA
couch,couch,NA
cow,cow,10.250630032526304
cracker,cracker,NA
crib,crib,NA
cry,cry,11.183140627543132
cup,cup,9.514207462931788
cute,cute,NA
daddy,daddy,8.657365296826217
dance,dance,15.767627716064453
dark,dark,13.829200387001038
day,day,8.09770104998634
deer,deer,16.30767059326172
diaper,diaper,NA
dinner,dinner,9.463966388328403
dirty,dirty,7.97009618465717
dish,dish,14.222558498382568
dog,dog,6.569107191129164
doll,doll,16.238289833068848
dont,don't,3.2272633283012064
donkey,donkey,14.845465977986654
door,door,4.701519627124071
down,down,3.121494503925335
draw,draw,9.739225516716639
drawer,drawer,NA
dress,dress (object),7.159898309146657
drink,drink (action),6.5132939202444895
drink,drink (beverage),6.5132939202444895
drive,drive,12.068502792945274
dry,dry (description),9.351291630003187
duck,duck,12.7783416112264
ear,ear,8.853948201451983
eat,eat,5.177187059236609
egg,egg,7.074050976305592
elephant,elephant,7.126450354402715
empty,empty,10.504897777850811
eye,eye,7.137424860245142
face,face,6.482896235681349
fall,fall,6.750012777289566
fast,fast,18.369876589093888
feed,feed,15.64043140411377
fine,fine,12.63186666700575
finger,finger,5.929488362492742
finish,finish,10.702940300107002
firetruck,firetruck,NA
fish,fish (animal),12.531267622242803
fish,fish (food),12.531267622242803
flower,flower,15.891046524047852
food,food,6.162190396906966
foot,foot,9.172402604420979
fork,fork,12.991587400436401
frog,frog,15.035511546664768
garage,garage,10.805887116326225
garden,garden,9.11007878088182
gentle,gentle,12.432239770889282
get,get,3.678782279208555
giraffe,giraffe,9.947729549909893
girl,girl,2.4836406443939834
give,give,6.752748807271321
glass,glass,NA
glasses,glasses,15.648187160491943
go,go,4.034057493309723
good,good,4.866003878641937
goose,goose,10.06841565580929
grandma,grandma,9.625304063161215
grandpa,grandpa,13.284838485717774
grrr,grrr,17.33127212524414
hair,hair,6.144116285935189
hammer,hammer,NA
hand,hand,7.125151184369933
happy,happy,8.796361058950424
hard,hard,6.554492025664358
hat,hat,6.11604088231137
head,head,4.661342171331246
hello,hello,14.012811759849647
help,help,8.630998348703189
her,her,4.216408509032017
hi,hi,17.33233642578125
his,his,4.918830807860549
hit,hit,14.510565028471106
home,home,11.615883339775934
horse,horse,7.188264487219638
hot,hot,13.170413589477539
house,house,4.9842071781555815
how,how,6.589898467823199
hug,hug,16.160311698913574
hungry,hungry,12.327808267929974
hurry,hurry,17.341035842895508
hurt,hurt (description),5.779674350441276
i,i,3.2206573728141272
in,in,2.626899230593692
inside,inside,10.285958940332586
it,it,1.9414748496858072
jacket,jacket,NA
jeans,jeans,NA
juice,juice,11.515108406543732
jump,jump,15.719828963279724
keys,keys,14.902320623397827
kick,kick,13.917634868621827
kiss,kiss,6.85125454266866
kitchen,kitchen,13.124476687113445
kitty,kitty,NA
knee,knee,7.369052164895194
lady,lady,11.145304611751012
lamb,lamb,16.402222262488472
lamp,lamp,16.63437271118164
later,later,10.222265005111694
leg,leg,9.098278852609488
light,light (object),14.323859596252442
lion,lion,8.565533014444204
little,little (description),4.435588189384394
look,look,3.9053564848884053
love,love,8.594300079345704
lunch,lunch,11.755860848860307
man,man,5.243195797267713
me,me,2.6195976126304563
meat,meat,15.190006256103516
medicine,medicine,13.417190583546956
meow,meow,NA
milk,milk,6.534597186632054
mine,mine,6.282712103445319
mommy,mommy,NA
money,money,12.806694746017456
monkey,monkey,6.683042918934541
moo,moo,14.001049168904622
moon,moon,16.8795108795166
more,more,4.839483680278348
morning,morning,7.688567276658683
motorcycle,motorcycle,NA
mouse,mouse,11.378804407621685
mouth,mouth,4.8150967243241105
my,my,6.095525904669278
nap,nap,NA
naughty,naughty,11.76413335555639
necklace,necklace,13.925356229146322
nice,nice,4.414486540174021
night,night,13.31987058199369
no,no,4.6802633917507
none,none,17.348201751708984
nose,nose,5.50464892191965
not,not,3.4300429479788797
now,now,4.056899378071854
off,off,3.4708858000265583
old,old,9.509159207344055
on,on,1.8902512071273847
open,open (action),8.01446287696426
orange,orange (food),6.962600465976831
other,other,4.473230520171435
ouch,ouch,17.34489631652832
out,out,3.1897787952210694
outside,outside,10.068793816999955
oven,oven,15.103531201680502
owl,owl,15.548852523167929
pajamas,pajamas,10.403898647853307
pants,pants,8.362534885406495
paper,paper,9.96319682257516
park,park,14.386643409729004
party,party,16.852581024169922
pattycake,pattycake,NA
peas,peas,14.803137330447926
peekaboo,peekaboo,NA
pen,pen,13.720747311909994
penguin,penguin,10.55260918690608
penny,penny,15.323325157165527
people,people,8.882344322819863
person,person,11.361216817583356
picture,picture,6.111440470189224
pig,pig,11.574223809772068
pillow,pillow,11.807192166646322
pizza,pizza,15.560205554962158
plant,plant,NA
plate,plate,9.353820343017578
play,play,4.592853757523999
please,please,4.887279463879889
pony,pony,NA
pool,pool,16.28965915333141
potty,potty,NA
pretty,pretty,10.87087717923251
pull,pull,8.661000348627567
puppy,puppy,14.166617393493652
purse,purse,15.433931986490885
push,push,9.219503933383573
put,put,3.30577232543771
radio,radio,16.26445960998535
rain,rain,10.733336188576438
raisin,raisin,NA
read,read,13.17633292788551
red,red,6.9138390263424645
refrigerator,refrigerator,NA
ride,ride,7.220711682293866
rock,rock (object),16.089653968811035
run,run,9.194436780868038
same,same,5.800456298722161
say,say,5.140195504743225
scared,scared,16.877958297729492
school,school,15.208792686462402
scissors,scissors,14.581276607513427
see,see,4.117295604698986
sheep,sheep,14.187214498166684
shh/shush/hush,shh,NA
shirt,shirt,14.872334480285645
shoe,shoe,13.413489818572998
shorts,shorts,15.780222296714783
shovel,shovel,NA
show,show,8.726029502020943
sick,sick,11.010911798477172
sing,sing,8.78400283871275
sink,sink,14.634870910644532
sister,sister,16.236358642578125
sky,sky,13.236014014796206
sleep,sleep,6.251890448273206
sleepy,sleepy,NA
slide,slide (object),15.75721549987793
smile,smile,17.338027954101562
snow,snow,16.560303264194065
soap,soap,16.46742566426595
sock,sock,15.156952977180481
soft,soft,15.50692892074585
some,some,3.507513917813473
splash,splash,17.302175045013428
spoon,spoon,6.2297347339231575
squirrel,squirrel,NA
stairs,stairs,NA
star,star,14.6577578324538
stop,stop,14.618112723032633
store,store,NA
stove,stove,NA
stroller,stroller,NA
sun,sun,16.3705192565918
sweater,sweater,NA
swim,swim,17.16573445002238
swing,swing (action),10.324539714389378
swing,swing (object),10.324539714389378
table,table,5.10383922510808
take,take,5.109095950489459
teacher,teacher,NA
teddybear,teddybear,15.568532943725586
telephone,telephone,15.56420612335205
that,that,2.7086636470451513
there,there,3.538801962522949
thirsty,thirsty,15.560065269470215
this,this,3.155438684645594
throw,throw,11.485647010803223
tickle,tickle,8.991984865400527
tiger,tiger,7.32153496477339
tired,tired,8.503631993343955
toast,toast,16.328786849975586
today,today,10.77141976967836
toe,toe,13.544149041175842
tomorrow,tomorrow,15.41890129676232
tongue,tongue,16.938146591186523
tonight,tonight,17.381061553955078
tooth,tooth,15.875109672546387
toothbrush,toothbrush,16.356266021728516
touch,touch,13.097283840179443
towel,towel,14.157367706298828
toy,toy (object),13.835276467459542
