word, uni_lemma, avg_surprisal
airplane,airplane,NA
all,all,4.907618801566165
animal,animal,13.994654337565104
another,another,6.78936495279011
apple,apple,5.994466240589436
arm,arm,12.495929111133922
asleep,asleep,5.940923145839146
aunt,aunt,NA
away,away,4.3274159481827645
baby,baby,3.589873747287258
babysitter,babysitter,NA
back,back (location),4.64015123443882
bad,bad,10.542515841397373
ball,ball,8.975079207584775
balloon,balloon,14.421016184488932
banana,banana,6.118921524140893
bath,bath,7.918118260123513
bathroom,bathroom,NA
bathtub,bathtub,NA
beach,beach,16.009536743164062
beads,beads,NA
bear,bear,11.146823125727037
bed,bed,7.9390816915602915
bedroom,bedroom,13.043238094874791
bee,bee,15.939513444900513
bib,bib,13.074344158172607
bicycle,bicycle,NA
big,big,4.697545057068223
bird,bird,12.362223243713379
bite,bite,9.791262944539389
blanket,blanket,14.569364547729492
block,block,12.522259625521572
blow,blow,8.495434264747464
blue,blue,6.343420441788022
book,book,5.941825485229492
boots,boots,12.859558922903878
bottle,bottle,10.673678233705719
bowl,bowl,11.368664105733236
box,box,5.702633457183838
boy,boy,0.6258873561967392
bread,bread,13.263875527815385
break,break,6.539138817787171
breakfast,breakfast,6.0384008222156105
bring,bring,7.770090347112611
broken,broken,6.847595617506239
broom,broom,NA
brother,brother,12.84201463063558
brush,brush (object),10.970308462778727
bubbles,bubbles,15.829373717308044
bug,bug,NA
bump,bump,10.695900763234784
bunny,bunny,12.917496681213379
bus,bus,9.59534337785509
butter,butter,15.250035149710518
butterfly,butterfly,14.116839668967508
button,button,15.570844173431396
bye,bye,15.725682362643155
cake,cake,7.534286618232727
candy,candy,NA
car,car,3.887976950747626
careful,careful,1.826714516970618
carrots,carrots,13.308167934417725
cat,cat,6.177082419395447
cereal,cereal,NA
chair,chair,9.091370423634848
cheek,cheek,NA
cheerios,cheerios,NA
cheese,cheese,13.449560483296713
chicken,chicken (animal),13.724032678911763
chicken,chicken (food),13.724032678911763
child,child,12.545528411865234
church,church,NA
clean,clean (action),7.089904866899762
clean,clean (description),7.089904866899762
clock,clock,9.564127965406938
close,close,15.356450915336609
coat,coat,12.429911613464355
cockadoodledoo,cockadoodledoo,16.26978937784831
coffee,coffee,15.613919734954834
cold,cold,11.464568288702713
comb,comb (object),NA
cookie,cookie,NA
couch,couch,NA
cow,cow,5.843067068042177
cracker,cracker,NA
crib,crib,NA
cry,cry,12.180790138244628
cup,cup,12.184517754448784
cute,cute,NA
daddy,daddy,3.970596502199954
dance,dance,16.2851619720459
dark,dark,14.55594310760498
day,day,11.037971210479736
deer,deer,14.195899963378906
diaper,diaper,NA
dinner,dinner,4.815774205185118
dirty,dirty,8.708132869318911
dish,dish,13.912644068400065
dog,dog,6.102558399068898
doll,doll,15.742740631103516
dont,don't,4.022785529030694
donkey,donkey,NA
door,door,4.82627382083815
down,down,3.754062059515479
draw,draw,4.6910155788064
drawer,drawer,NA
dress,dress (object),10.37139434814453
drink,drink (action),5.741420625482948
drink,drink (beverage),5.741420625482948
drive,drive,8.278070640563964
dry,dry (description),12.739765644073486
duck,duck,8.791697065035502
ear,ear,13.022315184275309
eat,eat,4.818276040126823
egg,egg,5.962412355944168
elephant,elephant,6.65386599230479
empty,empty,14.519093767801921
eye,eye,8.798961599667868
face,face,5.775882422924042
fall,fall,6.322316371788413
fast,fast,5.828061795702167
feed,feed,10.192546237598766
fine,fine,16.28402328491211
finger,finger,10.215316112224873
finish,finish,10.604302059520375
firetruck,firetruck,NA
fish,fish (animal),5.659844117743947
fish,fish (food),5.659844117743947
flower,flower,10.30478150503976
food,food,6.245262451542234
foot,foot,8.380740942273821
fork,fork,NA
frog,frog,9.672022247314453
garage,garage,6.582686335353528
