word, uni_lemma, avg_surprisal
airplane,airplane,NA
all,all,4.282204093812387
animal,animal,NA
another,another,6.868698252571954
apple,apple,10.688986873626709
arm,arm,8.8733811378479
asleep,asleep,8.162899766649518
aunt,aunt,11.772621154785156
away,away,5.6458823297704965
baby,baby,5.620524690506306
babysitter,babysitter,NA
back,back (location),4.893774101876805
bad,bad,5.951767717088972
ball,ball,7.265096622354844
balloon,balloon,NA
banana,banana,17.658649444580078
bath,bath,13.389579772949219
bathroom,bathroom,9.017459074656168
bathtub,bathtub,NA
beach,beach,8.956909894943237
beads,beads,NA
bear,bear,11.487009143829345
bed,bed,5.4757300317287445
bedroom,bedroom,6.621011037092942
bee,bee,8.175628423690796
bib,bib,12.42081069946289
bicycle,bicycle,NA
big,big,4.891302705721091
bird,bird,9.495209455490112
bite,bite,10.115721829732259
blanket,blanket,NA
block,block,NA
blow,blow,14.172289848327637
blue,blue,7.840847492218018
book,book,5.582401196161906
boots,boots,10.083474159240723
bottle,bottle,7.458353559176127
bowl,bowl,7.825193473270962
box,box,6.717515973483815
boy,boy,3.459138481122143
bread,bread,11.123104572296143
break,break,10.863005828857421
breakfast,breakfast,8.340522925059
bring,bring,5.14689799591347
broken,broken,10.916172572544642
broom,broom,NA
brother,brother,6.729847474531694
brush,brush (object),12.579205513000488
bubbles,bubbles,NA
bug,bug,11.273270606994629
bump,bump,12.844608545303345
bunny,bunny,12.928465434483119
bus,bus,11.680713653564453
butter,butter,11.333714485168457
butterfly,butterfly,11.685646533966064
button,button,10.392446041107178
bye,bye,13.693624496459961
cake,cake,8.75959293047587
candy,candy,NA
car,car,5.6064412307739255
careful,careful,9.436787605285645
carrots,carrots,11.75092134475708
cat,cat,8.893155960809617
cereal,cereal,NA
chair,chair,10.349035263061523
cheek,cheek,NA
cheerios,cheerios,NA
cheese,cheese,11.431758546829224
chicken,chicken (animal),13.530027389526367
chicken,chicken (food),13.530027389526367
child,child,6.867608896891276
church,church,8.649529218673706
clean,clean (action),8.914467692375183
clean,clean (description),8.914467692375183
clock,clock,8.26065036228725
close,close,10.781063199043274
coat,coat,13.376884460449219
cockadoodledoo,cockadoodledoo,NA
coffee,coffee,NA
cold,cold,8.258581740515572
comb,comb (object),NA
cookie,cookie,NA
couch,couch,NA
cow,cow,11.4315767288208
cracker,cracker,NA
crib,crib,NA
cry,cry,8.275578816731771
cup,cup,6.693771971596612
cute,cute,NA
daddy,daddy,6.612741920310007
dance,dance,14.423603057861328
dark,dark,8.613912804921467
day,day,3.8932845130258675
deer,deer,NA
diaper,diaper,NA
dinner,dinner,6.25193777680397
dirty,dirty,11.041328112284342
dish,dish,NA
dog,dog,6.838137296529917
doll,doll,9.529063701629639
dont,don't,3.4983279007584303
donkey,donkey,10.942676226298014
door,door,5.380558767626362
down,down,4.513666200299635
draw,draw,9.59564733505249
drawer,drawer,NA
dress,dress (object),NA
drink,drink (action),7.230575142484723
drink,drink (beverage),7.230575142484723
drive,drive,10.276445960998535
dry,dry (description),9.056219782148089
duck,duck,8.501878690719604
ear,ear,7.010982799530029
eat,eat,6.364404351370675
egg,egg,9.977176030476889
elephant,elephant,7.077063603834673
empty,empty,NA
eye,eye,8.95303716659546
face,face,7.644015630086263
fall,fall,8.93476536694695
fast,fast,12.741765975952148
feed,feed,9.250273068745932
fine,fine,7.96215443611145
finger,finger,8.637703704833985
finish,finish,11.789415041605631
firetruck,firetruck,NA
fish,fish (animal),9.844037328447614
fish,fish (food),9.844037328447614
flower,flower,12.749353408813477
food,food,8.954079892900255
foot,foot,7.864601516723633
fork,fork,10.776592254638672
frog,frog,NA
garage,garage,8.034718751907349
garden,garden,7.1048217217127485
gentle,gentle,13.09072208404541
get,get,3.5385096960124516
giraffe,giraffe,NA
girl,girl,5.330850412448247
give,give,5.386470895655015
glass,glass,9.059403896331787
glasses,glasses,9.169916868209839
go,go,3.814658723810993
good,good,4.36059225287903
goose,goose,NA
grandma,grandma,NA
grandpa,grandpa,NA
grrr,grrr,NA
hair,hair,5.921895925815289
hammer,hammer,NA
hand,hand,6.459475853863885
happy,happy,7.928641939163208
hard,hard,6.943690458933513
hat,hat,6.4400246793573555
head,head,5.801557326316834
hello,hello,13.966798067092896
help,help,8.600464701652527
her,her,4.3155373057540585
hi,hi,17.662738800048828
his,his,4.675696244527554
hit,hit,12.129629135131836
home,home,6.379630133163097
horse,horse,7.6974077224731445
hot,hot,9.936550617218018
house,house,3.7681756624808678
how,how,5.136697977467587
hug,hug,NA
hungry,hungry,9.327350425720216
hurry,hurry,9.24992561340332
hurt,hurt (description),10.835829973220825
i,i,2.469593062841103
in,in,3.4067055937449138
inside,inside,8.593741257985434
it,it,3.0010459562125
jacket,jacket,NA
jeans,jeans,10.386825561523438
juice,juice,8.272301413796164
jump,jump,15.280351638793945
keys,keys,8.788299878438314
kick,kick,12.33118979136149
kiss,kiss,11.137870788574219
kitchen,kitchen,7.641483050126296
kitty,kitty,NA
knee,knee,8.517151594161987
lady,lady,NA
lamb,lamb,11.58918285369873
lamp,lamp,NA
later,later,9.675016297234428
leg,leg,10.042147636413574
light,light (object),9.273833870887756
lion,lion,9.366267522176107
little,little (description),7.602540612220764
look,look,5.780124077560209
love,love,5.396652456057274
lunch,lunch,8.375393271446228
man,man,5.72876122723455
me,me,3.4231795682071966
meat,meat,NA
medicine,medicine,10.422390937805176
meow,meow,NA
milk,milk,8.624600382412181
mine,mine,7.708904853233924
mommy,mommy,NA
money,money,7.165686734517416
monkey,monkey,12.384973526000977
moo,moo,11.005716959635416
moon,moon,11.547879854838053
more,more,6.72495334148407
morning,morning,3.717885371297598
motorcycle,motorcycle,NA
mouse,mouse,6.723407769203186
mouth,mouth,6.469179459980556
my,my,4.801180780382085
nap,nap,NA
naughty,naughty,8.648736238479614
necklace,necklace,NA
nice,nice,6.698244588128452
night,night,5.089209168704588
no,no,6.045116878010597
none,none,10.487401008605957
nose,nose,6.57823870976766
not,not,4.171185672103098
now,now,5.402140977552959
off,off,5.544084510803223
old,old,6.518503789548521
on,on,3.629531499763644
open,open (action),8.535171161998402
orange,orange (food),9.736595034599304
other,other,4.856705944878715
ouch,ouch,17.728151321411133
out,out,4.312714238082413
outside,outside,8.745589627159966
oven,oven,10.641291618347168
owl,owl,NA
pajamas,pajamas,10.547831535339355
pants,pants,NA
paper,paper,8.281294605948709
park,park,9.103554447491964
party,party,5.553640020304713
pattycake,pattycake,NA
peas,peas,NA
peekaboo,peekaboo,NA
pen,pen,10.256550788879395
penguin,penguin,13.210635662078857
penny,penny,NA
people,people,7.325570442058422
person,person,11.86557674407959
picture,picture,6.957335392634074
pig,pig,10.364099025726318
pillow,pillow,9.780672073364258
pizza,pizza,10.545605659484863
plant,plant,11.331263542175293
plate,plate,11.008003234863281
play,play,4.671415342772303
please,please,11.4136874125554
pony,pony,NA
pool,pool,8.71752667427063
potty,potty,NA
pretty,pretty,10.230998039245605
pull,pull,9.148193995157877
puppy,puppy,10.278010368347168
purse,purse,NA
push,push,9.300546646118164
put,put,4.625127796445574
radio,radio,10.40210247039795
rain,rain,10.678249835968018
raisin,raisin,NA
read,read,8.004900467701447
red,red,8.974737405776978
refrigerator,refrigerator,NA
ride,ride,10.799022674560547
rock,rock (object),NA
run,run,7.687332248687744
same,same,6.017987601897296
say,say,5.471063860346762
scared,scared,11.293350219726562
school,school,4.823287171409244
scissors,scissors,10.558568318684896
see,see,3.8620231041740274
sheep,sheep,17.630531311035156
shh/shush/hush,shh,NA
shirt,shirt,7.4339635372161865
shoe,shoe,10.285837173461914
shorts,shorts,10.120516141255697
shovel,shovel,NA
show,show,6.9178027047051325
sick,sick,9.02282257080078
sing,sing,11.21911334991455
sink,sink,8.947989304860434
sister,sister,7.06309289932251
sky,sky,10.89584986368815
sleep,sleep,6.302599464974752
sleepy,sleepy,11.120327472686768
slide,slide (object),8.656288504600525
smile,smile,11.330620765686035
snow,snow,11.41274325052897
soap,soap,NA
sock,sock,9.156539599100748
soft,soft,NA
some,some,5.917186128682103
splash,splash,NA
spoon,spoon,NA
squirrel,squirrel,NA
stairs,stairs,6.857720269097222
star,star,11.699632406234741
stop,stop,10.565637493133545
store,store,10.867003440856934
stove,stove,NA
stroller,stroller,NA
sun,sun,6.0946344375610355
sweater,sweater,NA
swim,swim,NA
swing,swing (action),NA
swing,swing (object),NA
table,table,6.462552950932429
take,take,4.992604069411755
teacher,teacher,7.312319346836635
teddybear,teddybear,14.060101509094238
telephone,telephone,10.220132231712341
that,that,2.980209606099106
there,there,4.537200781513917
thirsty,thirsty,NA
this,this,4.383989184767335
throw,throw,7.99491822719574
tickle,tickle,NA
tiger,tiger,9.399802207946777
tired,tired,7.951773166656494
toast,toast,10.970529357592264
today,today,6.106095441750118
toe,toe,8.543503379821777
tomorrow,tomorrow,10.121450424194336
tongue,tongue,17.64535140991211
tonight,tonight,12.072802734375
tooth,tooth,9.054119491577149
toothbrush,toothbrush,NA
touch,touch,10.523680210113525
towel,towel,10.708670298258463
toy,toy (object),8.625747680664062
train,train,5.884085405440557
trash,trash,NA
tree,tree,11.400087833404541
truck,truck,7.703423793499287
tummy,tummy,7.799263572692871
turkey,turkey,NA
turtle,turtle,NA
tv,tv,7.146012306213379
uncle,uncle,13.162086725234985
under,under,11.787404855092367
up,up,3.594542751592748
vacuum,vacuum,NA
vroom,vroom,NA
wait,wait,7.383359387114242
walk,walk,7.860666346549988
wash,wash,9.560418446858725
watch,watch (action),6.709619787004259
watch,watch (object),6.709619787004259
water,water (beverage),6.584182262420654
water,water (not beverage),6.584182262420654
wet,wet (description),9.041556358337402
what,what,3.908565073000872
when,when (question),5.090375137069951
where,where (question),5.725158561193026
who,who,6.342060437202454
why,why,9.127442918717861
window,window,5.785439126631793
wipe,wipe,10.990533351898193
work,work (place),6.085687739508493
write,write,8.267288267612457
backyard,yard,NA
yes,yes,6.812681345182044
you,you,1.8449231480215926
your,your,4.2879355785307505
yucky,yucky,NA
zipper,zipper,NA
zoo,zoo,7.929098320007324
