word, uni_lemma, avg_surprisal
airplane,airplane,NA
all,all,4.495789320137244
animal,animal,12.01951559384664
another,another,4.74701034215342
apple,apple,13.727697121469598
arm,arm,12.928341432051225
asleep,asleep,13.97518674065085
aunt,aunt,NA
away,away,3.5266456108954216
baby,baby,10.622044056653976
babysitter,babysitter,NA
back,back (location),3.756024120392814
bad,bad,10.843684761612504
ball,ball,12.381290864944457
balloon,balloon,15.802952766418457
banana,banana,12.288009551855234
bath,bath,14.226582717895507
bathroom,bathroom,14.29593594868978
bathtub,bathtub,NA
beach,beach,NA
beads,beads,NA
bear,bear,17.304292678833008
bed,bed,8.598924199272604
bedroom,bedroom,11.197192600795201
bee,bee,NA
bib,bib,NA
bicycle,bicycle,NA
big,big,4.7276898018301345
bird,bird,14.222466150919596
bite,bite,12.086630616869245
blanket,blanket,NA
block,block,16.609153747558594
blow,blow,16.55521249771118
blue,blue,7.386798765426292
book,book,9.555303772290548
boots,boots,16.73758773803711
bottle,bottle,12.433292786280314
bowl,bowl,16.147916793823242
box,box,4.179727393647899
boy,boy,5.049572735121756
bread,bread,9.336494515339533
break,break,6.633373786663187
breakfast,breakfast,16.198592980702717
bring,bring,11.005109985669455
broken,broken,7.247518065728639
broom,broom,NA
brother,brother,12.781853930155437
brush,brush (object),15.984957218170166
bubbles,bubbles,15.933379173278809
bug,bug,NA
bump,bump,17.302087783813477
bunny,bunny,NA
bus,bus,8.196349620819092
butter,butter,16.171518325805664
butterfly,butterfly,15.143395900726318
button,button,13.994474411010742
bye,bye,17.306072235107422
cake,cake,15.494788536658653
candy,candy,NA
car,car,3.3500193421869584
careful,careful,3.3944911770864366
carrots,carrots,16.38459539413452
cat,cat,12.949502802302694
cereal,cereal,NA
chair,chair,15.676421994748322
cheek,cheek,NA
cheerios,cheerios,15.700204849243164
cheese,cheese,8.828986932943156
chicken,chicken (animal),8.3623169140938
chicken,chicken (food),8.3623169140938
child,child,10.475891219245064
church,church,NA
clean,clean (action),16.294689178466797
clean,clean (description),16.294689178466797
clock,clock,15.076507091522217
close,close,10.838353335857391
coat,coat,14.541710217793783
cockadoodledoo,cockadoodledoo,17.302780151367188
coffee,coffee,17.30044174194336
cold,cold,10.776000320911407
comb,comb (object),17.296672821044922
cookie,cookie,NA
couch,couch,NA
cow,cow,7.662197229136591
cracker,cracker,NA
crib,crib,NA
cry,cry,14.522108684886586
cup,cup,14.071508407592773
cute,cute,15.046833038330078
daddy,daddy,7.611848497224602
dance,dance,16.738247871398926
dark,dark,NA
day,day,8.734697380581418
deer,deer,NA
diaper,diaper,NA
dinner,dinner,13.138590608324323
dirty,dirty,12.538066736857097
dish,dish,17.301048278808594
dog,dog,7.00560766717662
doll,doll,11.894938627878824
dont,don't,3.0287869930121425
donkey,donkey,NA
door,door,7.042429411852801
down,down,3.105767022187893
draw,draw,14.2526491932247
drawer,drawer,14.707179069519043
dress,dress (object),13.297936586233286
drink,drink (action),6.339128925445232
drink,drink (beverage),6.339128925445232
drive,drive,7.607962164011869
dry,dry (description),16.77882194519043
duck,duck,13.909604787826538
ear,ear,13.717829704284668
eat,eat,5.475846890068839
egg,egg,9.3204910498399
elephant,elephant,7.748302058668326
empty,empty,15.155826568603516
eye,eye,15.607797980308533
face,face,11.654502964019775
fall,fall,6.116025304794311
fast,fast,11.218737675593449
feed,feed,16.383990859985353
fine,fine,14.222916429693049
finger,finger,10.660443801879882
finish,finish,13.239930607023693
firetruck,firetruck,NA
fish,fish (animal),10.764384563152607
fish,fish (food),10.764384563152607
flower,flower,16.47238572438558
food,food,6.372851281695896
foot,foot,6.671959014165969
fork,fork,NA
frog,frog,NA
garage,garage,7.845541585286458
garden,garden,11.952737108866375
gentle,gentle,16.69270133972168
get,get,4.077587053255382
giraffe,giraffe,14.111872715420192
girl,girl,9.559346636136373
give,give,6.144334866861591
glass,glass,16.350595678601945
glasses,glasses,16.63361096382141
go,go,2.9234757103631592
good,good,5.273565333716723
goose,goose,15.45919361114502
grandma,grandma,15.154987716674805
grandpa,grandpa,NA
grrr,grrr,16.79828752954322
hair,hair,16.228371302286785
hammer,hammer,13.397967338562012
hand,hand,5.084529827802609
happy,happy,7.595833741701567
hard,hard,9.698210775852203
hat,hat,7.532891299989489
head,head,3.7296026471333628
hello,hello,16.567844552508856
help,help,6.241947896552809
her,her,4.122098548809688
hi,hi,NA
his,his,7.626747341716991
hit,hit,12.04290408472861
home,home,7.949695840477943
horse,horse,5.90326360742489
hot,hot,12.602322777112326
house,house,10.461023893111792
how,how,5.991885000200414
hug,hug,15.081387519836426
hungry,hungry,10.340581059455872
hurry,hurry,15.90998888015747
hurt,hurt (description),7.9118930571007
i,i,2.3317220713565017
in,in,3.1991588811470413
inside,inside,14.544653347560338
it,it,1.8924659581378083
jacket,jacket,NA
jeans,jeans,NA
juice,juice,12.744715642929076
jump,jump,13.27163324356079
keys,keys,NA
kick,kick,14.094130325317384
kiss,kiss,15.860075759887696
kitchen,kitchen,9.771838559044731
kitty,kitty,NA
knee,knee,16.448793002537318
lady,lady,13.791216190044697
lamb,lamb,13.460134665171305
lamp,lamp,15.185245513916016
later,later,6.09917513044869
leg,leg,10.659766435623169
light,light (object),14.42079528172811
lion,lion,9.705650568008423
little,little (description),4.6171246073831895
look,look,5.518118159070687
love,love,11.827783857073102
lunch,lunch,NA
man,man,5.279572412441594
me,me,2.183390318138669
meat,meat,14.298223495483398
medicine,medicine,14.917577947889056
meow,meow,NA
milk,milk,14.605862299601236
mine,mine,6.172397708892822
mommy,mommy,NA
money,money,9.44843692779541
monkey,monkey,8.361572770511403
moo,moo,15.659574044717324
moon,moon,NA
more,more,4.5159445046023885
morning,morning,4.956905285517375
motorcycle,motorcycle,NA
mouse,mouse,15.056148529052734
mouth,mouth,5.4377946853637695
my,my,4.5599842189460675
nap,nap,NA
naughty,naughty,7.058067677726208
necklace,necklace,NA
nice,nice,4.2655932231096445
night,night,7.027480752127511
no,no,5.789894628309017
none,none,16.1453595161438
nose,nose,10.924336934089661
not,not,2.722653478226182
now,now,3.4283077438031473
off,off,3.5390137273648063
old,old,13.037195004914937
on,on,2.85559214552372
open,open (action),6.460671348571777
orange,orange (food),6.2836418625730905
other,other,5.37312688361207
ouch,ouch,17.304725646972656
out,out,4.129569258266713
outside,outside,9.415179260845843
oven,oven,NA
owl,owl,NA
pajamas,pajamas,15.753883361816406
pants,pants,17.772966384887695
paper,paper,15.42875450849533
park,park,15.389846801757812
party,party,16.57589340209961
pattycake,pattycake,NA
peas,peas,NA
peekaboo,peekaboo,NA
pen,pen,16.983525276184082
penguin,penguin,11.944605648517609
penny,penny,13.166959762573242
people,people,11.014505386352539
person,person,14.753141403198242
picture,picture,13.4730623960495
pig,pig,7.1293750660760065
pillow,pillow,15.950153986612955
pizza,pizza,17.309919357299805
plant,plant,NA
plate,plate,NA
play,play,3.7971924048262284
please,please,4.308279284659554
pony,pony,14.829239845275879
pool,pool,15.658323287963867
potty,potty,NA
pretty,pretty,15.773681640625
pull,pull,8.987859766534035
puppy,puppy,NA
purse,purse,NA
push,push,8.771039451040872
put,put,3.6509590052131915
radio,radio,16.943178939819337
rain,rain,14.883367538452148
raisin,raisin,NA
read,read,13.711954253060478
red,red,5.8456659815610585
refrigerator,refrigerator,NA
ride,ride,10.175951444185698
rock,rock (object),NA
run,run,9.062124626977104
same,same,6.4484722891519235
say,say,4.330812899363523
scared,scared,NA
school,school,14.984735342172476
scissors,scissors,14.25055980682373
see,see,3.175316755527337
sheep,sheep,14.923018455505371
shh/shush/hush,shh,NA
shirt,shirt,15.4652681350708
shoe,shoe,15.856040341513497
shorts,shorts,16.86842632293701
shovel,shovel,NA
show,show,12.319301207860311
sick,sick,11.560318803787231
sing,sing,16.14500543806288
sink,sink,15.744213740030924
sister,sister,5.11538319305707
sky,sky,13.876209735870361
sleep,sleep,6.87159575237317
sleepy,sleepy,NA
slide,slide (object),15.025618362426759
smile,smile,15.236703157424927
snow,snow,16.304279963175457
soap,soap,NA
sock,sock,NA
soft,soft,NA
some,some,3.592794729841688
splash,splash,15.93040911356608
spoon,spoon,17.4100767771403
squirrel,squirrel,NA
stairs,stairs,15.07627010345459
star,star,NA
stop,stop,7.3489044116093565
store,store,NA
stove,stove,NA
stroller,stroller,NA
sun,sun,10.331912552438132
sweater,sweater,NA
swim,swim,16.74176025390625
swing,swing (action),NA
swing,swing (object),NA
table,table,13.536617120107016
take,take,4.398288247249879
teacher,teacher,NA
teddybear,teddybear,9.257570666235846
telephone,telephone,NA
that,that,2.4335256757345682
there,there,3.6302833814963913
thirsty,thirsty,15.546122550964355
this,this,3.476819904445449
throw,throw,7.955267588297526
tickle,tickle,16.72282388475206
tiger,tiger,9.730350531064547
tired,tired,15.00386552810669
toast,toast,15.213898398659445
today,today,6.431265491247177
toe,toe,15.23489236831665
tomorrow,tomorrow,14.135827827453614
tongue,tongue,16.210615158081055
tonight,tonight,11.58761283329555
tooth,tooth,NA
toothbrush,toothbrush,NA
touch,touch,13.516176973070417
towel,towel,14.681231498718262
toy,toy (object),11.42187786102295
train,train,4.470925428198396
trash,trash,NA
tree,tree,9.266939627157676
truck,truck,6.761305784111593
tummy,tummy,15.10597496032715
turkey,turkey,NA
turtle,turtle,NA
tv,tv,NA
uncle,uncle,NA
under,under,7.480398883624953
up,up,3.4078586763494156
vacuum,vacuum,NA
vroom,vroom,16.73353811410757
wait,wait,5.813630477437433
walk,walk,15.195785363515219
wash,wash,13.848763874598912
watch,watch (action),7.411629922688007
watch,watch (object),7.411629922688007
water,water (beverage),10.420781626020158
water,water (not beverage),10.420781626020158
wet,wet (description),13.40964651107788
what,what,3.708975768639242
when,when (question),4.913673501590202
where,where (question),5.997026718024052
who,who,8.601823369661966
why,why,4.672374750607735
window,window,7.979127282188053
wipe,wipe,16.35540020465851
work,work (place),7.041778392791748
write,write,14.648398399353027
backyard,yard,NA
yes,yes,7.7954722978197415
you,you,1.475062107879487
your,your,3.2495580556661645
yucky,yucky,NA
zipper,zipper,NA
zoo,zoo,14.39631462097168
