word, uni_lemma, avg_surprisal
airplane,airplane,NA
all,all,5.590539445582125
animal,animal,6.605616807937622
another,another,6.78137627769919
apple,apple,9.06065022945404
arm,arm,8.446622848510742
asleep,asleep,NA
aunt,aunt,10.961000442504883
away,away,8.325161202748616
baby,baby,4.988156301003915
babysitter,babysitter,8.566348711649576
back,back (location),5.164317448933919
bad,bad,9.504703330993653
ball,ball,5.607488093168839
balloon,balloon,7.163954877853394
banana,banana,10.012428283691406
bath,bath,10.030548095703125
bathroom,bathroom,NA
bathtub,bathtub,NA
beach,beach,NA
beads,beads,6.514241955497048
bear,bear,4.838534631227192
bed,bed,7.552452731132507
bedroom,bedroom,NA
bee,bee,10.555536270141602
bib,bib,NA
bicycle,bicycle,NA
big,big,4.762663173675537
bird,bird,NA
bite,bite,8.535108089447021
blanket,blanket,6.658015131950378
block,block,9.516882419586182
blow,blow,7.580289060419256
blue,blue,7.295888497279241
book,book,4.106667307061209
boots,boots,14.658989906311035
bottle,bottle,8.297603607177734
bowl,bowl,7.149020791053772
box,box,5.917588084936142
boy,boy,7.042488241195679
bread,bread,7.819282001919216
break,break,6.06405242284139
breakfast,breakfast,NA
bring,bring,7.27576849677346
broken,broken,10.985857486724854
broom,broom,NA
brother,brother,10.96634578704834
brush,brush (object),NA
bubbles,bubbles,9.210256735483805
bug,bug,11.405324935913086
bump,bump,NA
bunny,bunny,9.958470026652018
bus,bus,8.838702201843262
butter,butter,13.907912254333496
butterfly,butterfly,8.11722707748413
button,button,6.2457906934950085
bye,bye,13.969786167144775
cake,cake,6.82163143157959
candy,candy,8.117392698923746
car,car,5.21943396788377
careful,careful,6.908327579498291
carrots,carrots,8.644094467163086
cat,cat,4.307584566540188
cereal,cereal,NA
chair,chair,6.630799516042074
cheek,cheek,NA
cheerios,cheerios,NA
cheese,cheese,9.526269912719727
chicken,chicken (animal),9.720467567443848
chicken,chicken (food),9.720467567443848
child,child,NA
church,church,NA
clean,clean (action),9.293514569600424
clean,clean (description),9.293514569600424
clock,clock,NA
close,close,8.793366432189941
coat,coat,9.357192039489746
cockadoodledoo,cockadoodledoo,NA
coffee,coffee,7.784533739089966
cold,cold,7.9566207726796465
comb,comb (object),NA
cookie,cookie,NA
couch,couch,7.0889231363932295
cow,cow,8.241334438323975
cracker,cracker,NA
crib,crib,NA
cry,cry,6.569778680801392
cup,cup,9.391372521718344
cute,cute,9.227709531784058
daddy,daddy,5.506846849734966
dance,dance,9.681681394577026
dark,dark,7.863134384155273
day,day,6.383007159599891
deer,deer,9.843109236823189
diaper,diaper,11.347572326660156
dinner,dinner,7.8195070425669355
dirty,dirty,11.567360877990723
dish,dish,NA
dog,dog,6.244548857212067
doll,doll,10.21806263923645
dont,don't,4.19681317635004
donkey,donkey,NA
door,door,8.205644675663539
down,down,5.54552004554055
draw,draw,8.140147025768574
drawer,drawer,8.256275313241142
dress,dress (object),10.273907661437988
drink,drink (action),9.211420800950792
drink,drink (beverage),9.211420800950792
drive,drive,9.227358198165893
dry,dry (description),10.19251569112142
duck,duck,8.788062572479248
ear,ear,8.181087732315063
eat,eat,5.091267168521881
egg,egg,11.015879392623901
elephant,elephant,6.101501226425171
empty,empty,10.753161907196045
eye,eye,NA
face,face,4.801987838745117
fall,fall,6.755481402079265
fast,fast,NA
feed,feed,8.328589534759521
fine,fine,NA
finger,finger,NA
finish,finish,NA
firetruck,firetruck,NA
fish,fish (animal),5.449224388390257
fish,fish (food),5.449224388390257
flower,flower,8.69453763961792
food,food,7.8572926256391735
foot,foot,8.468363444010416
fork,fork,8.94352118174235
frog,frog,7.401641637086868
garage,garage,5.33130372654308
garden,garden,8.658459663391113
gentle,gentle,NA
get,get,3.8438716475353685
giraffe,giraffe,10.828274726867676
girl,girl,3.758727280989937
give,give,7.1161750214440485
glass,glass,NA
glasses,glasses,NA
go,go,3.8846929123527127
good,good,5.921141241637754
goose,goose,9.267982800801596
grandma,grandma,5.734731015037088
grandpa,grandpa,11.28039836883545
grrr,grrr,NA
hair,hair,6.15641709168752
hammer,hammer,NA
hand,hand,5.845149091311863
happy,happy,9.453860441843668
hard,hard,7.1530219713846845
hat,hat,7.04728501183646
head,head,5.258889079093933
hello,hello,NA
help,help,6.6687828944279595
her,her,4.749391945925626
hi,hi,14.698258293999565
his,his,5.6342681225608375
hit,hit,7.2771908971998425
home,home,6.780022434566332
horse,horse,7.246439320700509
hot,hot,9.919336636861166
house,house,4.836108620350178
how,how,4.629809103340938
hug,hug,NA
hungry,hungry,10.356451988220215
hurry,hurry,10.957337697347006
hurt,hurt (description),6.339422200855456
i,i,3.131525155110733
in,in,3.513128825703507
inside,inside,8.973665926191542
it,it,2.9116662835018543
jacket,jacket,10.162445068359375
jeans,jeans,NA
juice,juice,9.171455110822405
jump,jump,7.278293999758634
keys,keys,NA
kick,kick,7.6190574169158936
kiss,kiss,10.159666419029236
kitchen,kitchen,5.993972982679095
kitty,kitty,6.049209015710013
knee,knee,9.02729066212972
lady,lady,9.072604417800903
lamb,lamb,NA
lamp,lamp,NA
later,later,8.0114506483078
leg,leg,6.963022947311401
light,light (object),7.0540641871365635
lion,lion,7.8518327077229815
little,little (description),4.497981341985556
look,look,7.026625921141426
love,love,7.239287065423054
lunch,lunch,8.23191213607788
man,man,11.045218626658121
me,me,1.8525085475437801
meat,meat,8.190999984741211
medicine,medicine,8.39077377319336
meow,meow,10.837370055062431
milk,milk,7.355788094656808
mine,mine,7.321071889665392
mommy,mommy,4.989132439152578
money,money,8.445354189191546
monkey,monkey,10.026844024658203
moo,moo,NA
moon,moon,NA
more,more,5.545222669839859
morning,morning,8.061772028605143
motorcycle,motorcycle,NA
mouse,mouse,6.614589262008667
mouth,mouth,6.146830611758762
my,my,3.552732136682116
nap,nap,7.650331179300944
naughty,naughty,9.081572850545248
necklace,necklace,7.778707299913679
nice,nice,6.684437641730676
night,night,7.352099021275838
no,no,6.091896097506246
none,none,14.700193405151367
nose,nose,5.556631565093994
not,not,4.5012357125156806
now,now,4.914784885147243
off,off,4.666820269364577
old,old,7.065221190452576
on,on,3.494816831660495
open,open (action),7.783064126968384
orange,orange (food),8.437274667951796
other,other,6.227867995991426
ouch,ouch,14.707892417907715
out,out,4.556428945981539
outside,outside,6.476671022527358
oven,oven,NA
owl,owl,NA
pajamas,pajamas,9.970786571502686
pants,pants,9.426386833190918
paper,paper,6.404365460077922
park,park,8.35993480682373
party,party,6.091956034950588
pattycake,pattycake,NA
peas,peas,NA
peekaboo,peekaboo,NA
pen,pen,8.697088559468588
penguin,penguin,NA
penny,penny,NA
people,people,7.441463334219796
person,person,8.807583808898926
picture,picture,4.085054764876494
pig,pig,8.624699211120605
pillow,pillow,8.64827013015747
pizza,pizza,8.828775882720947
plant,plant,NA
plate,plate,10.52324104309082
play,play,4.205762455428856
please,please,7.384561538696289
pony,pony,NA
pool,pool,7.2647148132324215
potty,potty,8.772465109825134
pretty,pretty,6.736168554850987
pull,pull,7.167899540492466
puppy,puppy,12.094439506530762
purse,purse,6.7108330726623535
push,push,7.1101729188646585
put,put,4.927900605085419
radio,radio,6.1182461977005005
rain,rain,6.115469853083293
raisin,raisin,NA
read,read,7.5030132702418735
red,red,7.048762083053589
refrigerator,refrigerator,10.183053970336914
ride,ride,7.296622304355397
rock,rock (object),9.736095746358236
run,run,10.419064998626709
same,same,6.577988505363464
say,say,5.362333980473605
scared,scared,6.445695195879255
school,school,7.07962771824428
scissors,scissors,NA
see,see,5.379107038929777
sheep,sheep,10.845512390136719
shh/shush/hush,shh,NA
shirt,shirt,6.212255587944617
shoe,shoe,11.322078704833984
shorts,shorts,NA
shovel,shovel,NA
show,show,6.643297096093495
sick,sick,7.624704074859619
sing,sing,9.284170150756836
sink,sink,10.450821876525879
sister,sister,NA
sky,sky,7.968153476715088
sleep,sleep,9.287291266701438
sleepy,sleepy,11.367265701293945
slide,slide (object),9.999971389770508
smile,smile,NA
snow,snow,6.130719409269445
soap,soap,NA
sock,sock,8.699277877807617
soft,soft,NA
some,some,5.636038833194309
splash,splash,14.735010147094727
spoon,spoon,NA
squirrel,squirrel,8.839400291442871
stairs,stairs,8.52047872543335
star,star,NA
stop,stop,7.467623574393136
store,store,6.415502643585205
stove,stove,NA
stroller,stroller,NA
sun,sun,9.018936395645142
