word, uni_lemma, avg_surprisal
airplane,airplane,16.81328272819519
all,all,4.870940738095495
animal,animal,11.453707013811384
another,another,6.699467685987365
apple,apple,8.20482736825943
arm,arm,7.335559050242106
asleep,asleep,11.158779621124268
aunt,aunt,12.281538963317871
away,away,6.1019975079430475
baby,baby,5.9408025518756045
babysitter,babysitter,8.468322308858236
back,back (location),5.490177863836289
bad,bad,9.939622470310756
ball,ball,8.075084481920515
balloon,balloon,15.443820476531982
banana,banana,NA
bath,bath,7.361268997192383
bathroom,bathroom,9.062677574157714
bathtub,bathtub,9.28721253077189
beach,beach,6.648555596669515
beads,beads,8.417120615641275
bear,bear,6.5248097289692275
bed,bed,4.801077167193095
bedroom,bedroom,NA
bee,bee,10.574334716796875
bib,bib,NA
bicycle,bicycle,9.3040132522583
big,big,4.523341444822458
bird,bird,5.19789415359497
bite,bite,10.682032108306885
blanket,blanket,5.575501568177167
block,block,9.287918090820312
blow,blow,12.317001914978027
blue,blue,8.225535299263749
book,book,7.089840984344482
boots,boots,8.972599983215332
bottle,bottle,9.937220573425293
bowl,bowl,11.920001029968262
box,box,6.4310393810272215
boy,boy,8.936690780851576
bread,bread,12.052361488342285
break,break,12.247421264648438
breakfast,breakfast,8.202021757761637
bring,bring,6.401765475670497
broken,broken,9.391702969868978
broom,broom,8.91909122467041
brother,brother,8.73174228668213
brush,brush (object),6.963059782981873
bubbles,bubbles,NA
bug,bug,NA
bump,bump,13.560686747233072
bunny,bunny,7.914582048143659
bus,bus,12.03529691696167
butter,butter,5.256564176999605
butterfly,butterfly,8.342787206172943
button,button,8.703585624694824
bye,bye,11.592732517807573
cake,cake,9.00766981801679
candy,candy,14.810118198394775
car,car,4.7643408961110305
careful,careful,9.881683540344238
carrots,carrots,NA
cat,cat,8.611239138103667
cereal,cereal,NA
chair,chair,8.012800216674805
cheek,cheek,NA
cheerios,cheerios,NA
cheese,cheese,9.368511199951172
chicken,chicken (animal),6.556664988398552
