word, uni_lemma, avg_surprisal
airplane,airplane,11.179147646977352
all,all,5.696131320598998
animal,animal,11.333255052566528
another,another,4.45129450622964
apple,apple,9.293782963472253
arm,arm,9.858653168929251
asleep,asleep,9.392735481262207
aunt,aunt,NA
away,away,4.5585470585596
baby,baby,5.221544041172151
babysitter,babysitter,NA
back,back (location),2.8090082878395632
bad,bad,5.785580244931308
ball,ball,8.635134319464365
balloon,balloon,12.557461261749268
banana,banana,12.372671860914965
bath,bath,11.318330938165838
bathroom,bathroom,NA
bathtub,bathtub,10.088118314743042
beach,beach,8.949245738983155
beads,beads,7.3316239943871135
bear,bear,15.404007911682129
bed,bed,6.535368066567641
bedroom,bedroom,11.713582801818848
bee,bee,NA
bib,bib,8.861144224802652
bicycle,bicycle,7.285568428039551
big,big,5.629691589263178
bird,bird,9.656261179182264
bite,bite,8.97676742553711
blanket,blanket,13.397567391395569
block,block,8.591612418492636
blow,blow,8.401245621534494
blue,blue,8.926253914833069
book,book,4.645885118218356
boots,boots,11.271641307406956
bottle,bottle,6.327545101578171
bowl,bowl,9.276338066373553
box,box,4.780845534935426
boy,boy,7.4939707771676485
bread,bread,10.208519977072012
break,break,6.963579692840576
breakfast,breakfast,7.922715187072754
bring,bring,6.746840163639614
broken,broken,10.300309371948241
broom,broom,9.572725971539816
brother,brother,13.323502540588379
brush,brush (object),12.264918088912964
bubbles,bubbles,15.960949897766113
bug,bug,15.979935646057129
bump,bump,13.582963943481445
bunny,bunny,14.026241540908813
bus,bus,9.262075775548032
butter,butter,9.000991821289062
butterfly,butterfly,12.058038302830287
button,button,13.129852104187012
bye,bye,13.67496657371521
cake,cake,10.095597743988037
candy,candy,9.946040047539604
car,car,9.410588175058365
careful,careful,4.8574024745396205
carrots,carrots,9.01076364517212
cat,cat,10.64719362258911
cereal,cereal,8.876142144203186
chair,chair,4.967122640720634
cheek,cheek,13.888916969299316
cheerios,cheerios,NA
cheese,cheese,5.60043364869067
chicken,chicken (animal),10.550107955932617
chicken,chicken (food),10.550107955932617
child,child,11.070194721221924
church,church,NA
clean,clean (action),9.065436950096718
clean,clean (description),9.065436950096718
clock,clock,13.553814697265626
close,close,12.612310647964478
coat,coat,7.44866183309844
cockadoodledoo,cockadoodledoo,12.944902102152506
coffee,coffee,4.765708069128493
cold,cold,7.739520478248596
comb,comb (object),NA
cookie,cookie,7.493576903092234
couch,couch,4.792598843574524
cow,cow,12.417033848009611
cracker,cracker,7.298976076973809
crib,crib,14.14264726638794
cry,cry,10.343062400817871
cup,cup,4.7567864806906694
cute,cute,NA
daddy,daddy,11.202392816543579
dance,dance,12.53584156036377
dark,dark,NA
day,day,7.981612818581717
deer,deer,NA
diaper,diaper,7.2228778632911474
dinner,dinner,NA
dirty,dirty,8.078969884801793
dish,dish,8.349247977847146
dog,dog,8.141919437719851
doll,doll,10.613569418589273
dont,don't,2.67907720411609
donkey,donkey,15.956379890441895
door,door,6.446222729153103
down,down,3.8969804905041925
draw,draw,7.060715391280803
drawer,drawer,11.34157943725586
dress,dress (object),8.486594835917154
drink,drink (action),5.7338578283172295
drink,drink (beverage),5.7338578283172295
drive,drive,14.751784324645996
dry,dry (description),10.108566178215874
duck,duck,10.289651825314476
ear,ear,10.95459983462379
eat,eat,4.710588242418023
egg,egg,10.879464830671038
elephant,elephant,12.88597846031189
empty,empty,10.639204323291779
eye,eye,8.647299581103855
face,face,5.513013688000766
fall,fall,8.756652616685436
fast,fast,10.549217414855956
feed,feed,10.945069630940756
fine,fine,6.390787913881499
finger,finger,6.636247263326274
finish,finish,9.15953893246858
firetruck,firetruck,13.738176822662354
fish,fish (animal),7.352237786565508
fish,fish (food),7.352237786565508
flower,flower,9.065511807151463
food,food,9.492699093288845
foot,foot,6.257631692019376
fork,fork,11.745400428771973
frog,frog,NA
garage,garage,13.809902826944986
garden,garden,NA
gentle,gentle,NA
get,get,3.8379793363748136
giraffe,giraffe,12.78283863067627
girl,girl,4.33693347517977
give,give,6.207102319027515
glass,glass,10.693541791703966
glasses,glasses,7.848002576828003
go,go,4.1715834311469875
good,good,3.910922292320208
goose,goose,12.994497299194336
grandma,grandma,9.381766319274902
grandpa,grandpa,13.892778396606445
grrr,grrr,NA
hair,hair,10.59706553290872
hammer,hammer,11.209815279642742
hand,hand,7.496019345742685
happy,happy,8.888267183303833
hard,hard,6.670731671651205
hat,hat,6.000771412978301
head,head,6.039442472679671
hello,hello,12.120984840393067
help,help,6.179967727661133
her,her,4.980401048243372
hi,hi,10.126845244522933
his,his,5.651364533106486
hit,hit,9.27496333916982
home,home,5.683268922440549
horse,horse,9.083332896232605
hot,hot,5.976508822934381
house,house,7.348452520370484
how,how,7.1569615205128985
hug,hug,NA
hungry,hungry,6.012816120596493
hurry,hurry,15.021889527638754
hurt,hurt (description),6.786240673065185
i,i,3.2644344690499505
in,in,3.3488455841762828
inside,inside,11.956320589238947
it,it,1.999276459475166
jacket,jacket,12.017068968878853
jeans,jeans,NA
juice,juice,1.2930499169513257
jump,jump,8.59944240129911
keys,keys,NA
kick,kick,12.077880859375
kiss,kiss,8.262843579053879
kitchen,kitchen,4.867480206489563
kitty,kitty,15.180874633789063
knee,knee,7.555860201517741
lady,lady,7.566445451033743
lamb,lamb,10.279020309448242
lamp,lamp,NA
later,later,6.139750055238312
leg,leg,9.466276009877523
light,light (object),12.84582233428955
lion,lion,11.09658177693685
little,little (description),4.253946466942054
look,look,5.547588075499937
love,love,13.540506362915039
lunch,lunch,3.2724121050799595
man,man,6.091935317227795
me,me,2.367129057528926
meat,meat,9.109980010986328
medicine,medicine,9.178560098012289
meow,meow,NA
milk,milk,5.592501177507288
mine,mine,7.8694844001378765
mommy,mommy,4.565316598277446
money,money,NA
monkey,monkey,12.112945556640625
moo,moo,10.226601282755533
moon,moon,NA
more,more,4.065279697378476
morning,morning,4.478979137708556
motorcycle,motorcycle,NA
mouse,mouse,NA
mouth,mouth,4.135200355567184
my,my,4.091539837546268
nap,nap,3.5772433661400003
naughty,naughty,13.867323875427246
necklace,necklace,NA
nice,nice,4.385575331490616
night,night,12.673744678497314
no,no,4.194153255380708
none,none,12.121143341064453
nose,nose,6.681455162593297
not,not,3.5839584601092174
now,now,5.124140073789046
off,off,4.679749948079468
old,old,10.133109092712402
on,on,3.30203112163302
open,open (action),6.212715250546815
orange,orange (food),8.11573870976766
other,other,4.90722591054123
ouch,ouch,NA
out,out,4.735738358530058
outside,outside,8.896930175357395
oven,oven,NA
owl,owl,NA
pajamas,pajamas,NA
pants,pants,8.857647260030111
paper,paper,5.240677420407126
park,park,NA
party,party,10.612372398376465
pattycake,pattycake,NA
peas,peas,13.03193187713623
peekaboo,peekaboo,16.000270462036134
pen,pen,9.490635553995768
penguin,penguin,NA
penny,penny,7.701321818611839
people,people,10.241782744725546
person,person,12.546815872192383
picture,picture,8.198462162699018
pig,pig,10.328159809112549
pillow,pillow,8.579534402260414
pizza,pizza,NA
plant,plant,NA
plate,plate,11.297319253285727
play,play,4.1758690085904355
please,please,5.428014981746673
pony,pony,NA
pool,pool,8.006074714660645
potty,potty,NA
pretty,pretty,6.19661529602543
pull,pull,11.418595450265068
puppy,puppy,10.334497451782227
purse,purse,NA
push,push,10.6062490940094
put,put,4.570125342625652
radio,radio,9.20556871096293
rain,rain,11.38360341389974
raisin,raisin,14.637853622436523
read,read,3.0546587018334135
red,red,6.5645057439804075
refrigerator,refrigerator,6.577273877461751
ride,ride,7.7577080293135205
rock,rock (object),14.854995727539062
run,run,8.45258378982544
same,same,9.536342203617096
say,say,5.261358615780665
scared,scared,NA
school,school,9.176965951919556
scissors,scissors,8.022635062535604
see,see,4.3878445630083105
sheep,sheep,12.778948511396136
shh/shush/hush,shh,NA
shirt,shirt,11.97249927520752
shoe,shoe,6.969033277259682
shorts,shorts,NA
shovel,shovel,15.86847996711731
show,show,7.976179827505083
sick,sick,9.355530023574829
sing,sing,7.788448636124774
sink,sink,8.617165701729911
sister,sister,13.391103744506836
sky,sky,NA
sleep,sleep,9.240886895552926
sleepy,sleepy,12.654048442840576
slide,slide (object),NA
