word, uni_lemma, avg_surprisal
airplane,airplane,NA
all,all,4.7303702211252165
animal,animal,16.74430601220382
another,another,6.744212104993708
apple,apple,10.490695785831761
arm,arm,12.152285695075989
asleep,asleep,9.067768857592629
aunt,aunt,NA
away,away,5.260125508469142
baby,baby,7.969198608398438
babysitter,babysitter,NA
back,back (location),4.7392195620379605
bad,bad,10.70208471471613
ball,ball,9.698518896102906
balloon,balloon,13.7840069770813
banana,banana,15.292685172137093
bath,bath,10.17955065936577
bathroom,bathroom,9.60251553853353
bathtub,bathtub,NA
beach,beach,7.333289714086623
beads,beads,NA
bear,bear,14.924333333969116
bed,bed,5.064747493917292
bedroom,bedroom,7.886984218250621
bee,bee,12.645796537399292
bib,bib,16.600914001464844
bicycle,bicycle,18.43723831176758
big,big,6.294674707123958
bird,bird,11.403701983000103
bite,bite,12.913779865611684
blanket,blanket,15.164331674575806
block,block,16.848730087280273
blow,blow,8.338948638350875
blue,blue,8.919230533858476
book,book,5.505634325521964
boots,boots,15.318616720346304
bottle,bottle,14.336364555358887
bowl,bowl,13.891870907374791
box,box,4.572206489155802
boy,boy,8.206665431751924
bread,bread,13.262689737173227
break,break,12.720033282325382
breakfast,breakfast,17.847125625610353
bring,bring,11.321514344984486
broken,broken,8.852598770244702
broom,broom,NA
brother,brother,9.428226172924042
brush,brush (object),15.944533484322685
bubbles,bubbles,12.21558321846856
bug,bug,15.077352523803711
bump,bump,17.308842919089578
bunny,bunny,NA
bus,bus,12.10489126614162
butter,butter,17.75376057624817
butterfly,butterfly,16.59461225782122
button,button,9.398451891812412
bye,bye,18.56670144888071
cake,cake,6.94905790915856
candy,candy,NA
car,car,5.273505940581813
careful,careful,12.49019686381022
carrots,carrots,NA
cat,cat,12.112701741660514
cereal,cereal,15.875530242919922
chair,chair,11.225384771823883
cheek,cheek,16.73621368408203
cheerios,cheerios,NA
cheese,cheese,8.54275813596002
chicken,chicken (animal),15.771281454298231
chicken,chicken (food),15.771281454298231
child,child,NA
church,church,13.642255306243896
clean,clean (action),10.283575296401978
clean,clean (description),10.283575296401978
clock,clock,14.421461635165745
close,close,15.567609643936157
coat,coat,15.998045054349033
cockadoodledoo,cockadoodledoo,16.665999548775808
coffee,coffee,12.986156599862236
cold,cold,11.857860719003986
comb,comb (object),16.058061599731445
cookie,cookie,NA
couch,couch,NA
cow,cow,11.693469852209091
cracker,cracker,14.64776611328125
crib,crib,14.871315956115723
cry,cry,13.98331716325548
cup,cup,7.795588794507478
cute,cute,NA
daddy,daddy,4.99214053012497
dance,dance,11.585739135742188
dark,dark,17.33572682467374
day,day,6.861183905869387
deer,deer,14.911713600158691
diaper,diaper,NA
dinner,dinner,8.201908037397597
dirty,dirty,11.47491725285848
dish,dish,NA
dog,dog,5.824281718514182
doll,doll,14.455169439315796
dont,don't,5.145771164852953
donkey,donkey,15.930628776550293
door,door,5.858586067623563
down,down,4.744280309969438
draw,draw,10.368788867526584
drawer,drawer,15.385140101114908
dress,dress (object),7.719308786224901
drink,drink (action),7.837466432693157
drink,drink (beverage),7.837466432693157
drive,drive,9.378215789794922
dry,dry (description),11.405079115004767
duck,duck,12.633187937736512
ear,ear,10.366940849705747
eat,eat,6.950146603858334
egg,egg,9.349594558988299
elephant,elephant,8.798677427428109
empty,empty,11.537536334991454
eye,eye,11.879779895146688
face,face,6.1839154324633006
fall,fall,7.441678543885549
fast,fast,11.136979683585789
feed,feed,13.920829500470843
fine,fine,16.363316853841145
finger,finger,10.913548469543457
finish,finish,14.481400648752848
firetruck,firetruck,NA
fish,fish (animal),15.218804359436035
fish,fish (food),15.218804359436035
flower,flower,14.693934440612793
food,food,7.1739395713806156
foot,foot,8.49999179840088
fork,fork,12.336258888244629
frog,frog,10.12591418098001
garage,garage,16.66969362894694
garden,garden,5.445104694366455
gentle,gentle,NA
get,get,4.0913477908894285
giraffe,giraffe,18.672767639160156
girl,girl,4.893417503260359
give,give,6.401780151185536
glass,glass,16.64348856608073
glasses,glasses,14.429950952529907
go,go,4.423238692240478
good,good,5.761377732872506
goose,goose,13.63338851928711
grandma,grandma,17.75061798095703
grandpa,grandpa,11.440012736753983
grrr,grrr,18.680017471313477
hair,hair,5.597465064790514
hammer,hammer,16.092727661132812
hand,hand,9.397209394545783
happy,happy,13.376456101735434
hard,hard,8.15455878747476
hat,hat,6.6052753554450145
head,head,5.353624977784999
hello,hello,17.68034196407237
help,help,11.399808025360107
her,her,4.534145801754321
hi,hi,NA
his,his,4.53910557772234
hit,hit,17.272663116455078
home,home,6.572338727804331
horse,horse,6.77409045727222
hot,hot,9.336497933523995
house,house,6.230259580815092
how,how,8.169583546774728
hug,hug,15.346530505589076
hungry,hungry,13.416662129488858
hurry,hurry,18.664127349853516
hurt,hurt (description),7.347425534174993
i,i,4.4654288011477705
in,in,3.0696412223053895
inside,inside,14.763705412546793
it,it,1.5563804084015056
jacket,jacket,15.438963317871094
jeans,jeans,NA
juice,juice,17.757215091160365
jump,jump,11.471785721025968
keys,keys,NA
kick,kick,13.995790243148804
kiss,kiss,13.700951676619681
kitchen,kitchen,10.631961059570312
kitty,kitty,NA
knee,knee,6.587404073987688
lady,lady,7.442733287811279
lamb,lamb,9.659958294459752
lamp,lamp,NA
later,later,7.569900074943167
leg,leg,7.812208309173584
light,light (object),12.458609104156494
lion,lion,11.108370338167463
little,little (description),6.293648240281574
look,look,4.81576596695906
love,love,12.789877619062151
lunch,lunch,9.730015516281128
man,man,7.160528523581369
me,me,2.9751366635302565
meat,meat,NA
medicine,medicine,11.705432319641114
meow,meow,NA
milk,milk,8.934608519077301
mine,mine,12.247128507826064
mommy,mommy,NA
money,money,9.934838485717773
monkey,monkey,15.597421426039476
moo,moo,18.502288818359375
moon,moon,16.91172456741333
more,more,5.442526065490463
morning,morning,7.4476113977103395
motorcycle,motorcycle,NA
mouse,mouse,13.922665187290736
mouth,mouth,9.327692320852568
my,my,5.163529410350809
nap,nap,15.14194631576538
naughty,naughty,14.077303205217634
necklace,necklace,14.56936240196228
nice,nice,6.4074129370955735
night,night,8.168776313463846
no,no,8.213055132253327
none,none,17.93371124267578
nose,nose,7.779371047506527
not,not,3.8176980255890807
now,now,5.179961101488136
off,off,3.5178273200988768
old,old,7.497444245873428
on,on,2.6312855596917903
open,open (action),7.461739230574223
orange,orange (food),14.486862046377999
other,other,5.102817863675218
ouch,ouch,18.698673248291016
out,out,4.248270253504604
outside,outside,9.023613250616824
oven,oven,12.684064388275146
owl,owl,11.140688260396322
pajamas,pajamas,12.001454960216176
pants,pants,16.864866892496746
paper,paper,8.523426759243012
park,park,15.303146243095398
party,party,6.728457768758138
pattycake,pattycake,NA
peas,peas,NA
peekaboo,peekaboo,18.661575317382812
pen,pen,13.251849174499512
penguin,penguin,9.96880849202474
penny,penny,17.677738189697266
people,people,7.000165586118345
person,person,11.585650223952074
picture,picture,6.136068365308973
pig,pig,11.249851835185083
pillow,pillow,15.57842985788981
pizza,pizza,12.264638900756836
plant,plant,15.98863935470581
plate,plate,15.15707278251648
play,play,4.953811210943452
please,please,7.417765164986635
pony,pony,15.974861145019531
pool,pool,5.5605221871406805
potty,potty,NA
pretty,pretty,12.006428971010095
pull,pull,13.539320884866918
puppy,puppy,15.40521240234375
purse,purse,15.73560619354248
push,push,13.999972560188986
put,put,5.351718167810074
radio,radio,16.595516068594797
rain,rain,12.012344360351562
raisin,raisin,14.86073112487793
read,read,6.536373810890393
red,red,8.035802364349365
refrigerator,refrigerator,NA
ride,ride,9.55100034532093
rock,rock (object),16.00174554189046
run,run,13.239999097936293
same,same,5.109136959941117
say,say,4.344828623645711
scared,scared,16.483086268107098
school,school,15.415776865822929
scissors,scissors,15.193954586982727
see,see,3.75304636554718
sheep,sheep,11.84707328045007
shh/shush/hush,shh,NA
shirt,shirt,11.774495760599772
shoe,shoe,9.405949320111956
shorts,shorts,12.762856801350912
shovel,shovel,16.22496795654297
show,show,9.089080517108624
sick,sick,18.37221155166626
sing,sing,10.144093036651611
sink,sink,13.224810282389322
sister,sister,15.668242454528809
sky,sky,14.203482031822205
sleep,sleep,6.507592720143935
sleepy,sleepy,13.170732816060385
slide,slide (object),16.07478446960449
smile,smile,11.818166971206665
snow,snow,11.94220552444458
soap,soap,13.397686576843261
sock,sock,11.941280047098795
soft,soft,14.350680160522462
some,some,4.005462648886577
splash,splash,NA
spoon,spoon,NA
squirrel,squirrel,15.735078811645508
stairs,stairs,10.26936403910319
star,star,15.943284776475695
stop,stop,11.819002240896225
store,store,NA
stove,stove,NA
stroller,stroller,NA
sun,sun,14.774882316589355
sweater,sweater,NA
swim,swim,10.648980564541286
swing,swing (action),18.207274119059246
swing,swing (object),18.207274119059246
table,table,12.269980311393738
take,take,7.155615587234497
teacher,teacher,13.456146921430316
teddybear,teddybear,15.781035661697388
telephone,telephone,12.61921501159668
that,that,2.33161102632176
there,there,3.412463247564217
thirsty,thirsty,13.11592181523641
this,this,3.0908478880917096
throw,throw,13.290610251888152
tickle,tickle,16.220835328102112
tiger,tiger,13.20958046913147
tired,tired,9.633876383304596
toast,toast,17.26015345255534
today,today,5.724769715035316
toe,toe,14.183707750760592
tomorrow,tomorrow,9.163009071350098
tongue,tongue,15.182308197021484
tonight,tonight,10.508330072675433
tooth,tooth,12.97273302078247
toothbrush,toothbrush,15.194290479024252
touch,touch,8.726298984728361
towel,towel,17.27376127243042
toy,toy (object),10.580880119687034
train,train,6.163826588998761
trash,trash,17.520729064941406
tree,tree,11.462553107220193
truck,truck,15.737672275967068
tummy,tummy,8.394545873006185
turkey,turkey,15.388350296020509
turtle,turtle,15.366155624389648
tv,tv,NA
uncle,uncle,18.663761138916016
under,under,8.133896897820865
up,up,4.165733063798644
vacuum,vacuum,NA
vroom,vroom,18.682120005289715
wait,wait,12.65744625894647
walk,walk,11.471150228712293
wash,wash,13.145523157986728
watch,watch (action),9.756496850182028
watch,watch (object),9.756496850182028
water,water (beverage),8.407418028513591
water,water (not beverage),8.407418028513591
wet,wet (description),9.079373121261597
what,what,2.871252602225179
when,when (question),5.441920726506917
where,where (question),5.437414284306343
who,who,5.255545751446259
why,why,8.232795334366894
window,window,10.458305994669596
wipe,wipe,13.807051700094473
work,work (place),5.564052808852423
write,write,15.877960602442423
backyard,yard,NA
yes,yes,12.8459065651829
you,you,1.316704945109547
your,your,3.7449099108868955
yucky,yucky,13.297467994689942
zipper,zipper,NA
zoo,zoo,15.130121548970541
