word, uni_lemma, avg_surprisal
airplane,airplane,5.125412927733527
all,all,5.216634091578032
animal,animal,8.97012702624003
another,another,6.371691624323527
apple,apple,8.59556269645691
arm,arm,6.100060939788818
asleep,asleep,NA
aunt,aunt,10.74175993601481
away,away,4.978767977820502
baby,baby,10.85277509689331
babysitter,babysitter,9.751179218292236
back,back (location),4.433323666734515
bad,bad,7.655536413192749
ball,ball,6.157184532710484
balloon,balloon,10.511074542999268
banana,banana,15.25363540649414
bath,bath,6.777628612518311
bathroom,bathroom,NA
bathtub,bathtub,8.832893371582031
beach,beach,7.97541618347168
beads,beads,8.913394927978516
bear,bear,5.784092081917657
bed,bed,6.523632072267079
bedroom,bedroom,NA
bee,bee,6.30940924750434
bib,bib,NA
bicycle,bicycle,NA
big,big,5.4724546806721746
bird,bird,7.557171874576145
bite,bite,7.873916029930115
blanket,blanket,NA
block,block,7.488872051239014
blow,blow,8.183479994535446
blue,blue,6.544623421084497
book,book,6.2409652301243375
boots,boots,9.256372292836508
bottle,bottle,NA
bowl,bowl,10.26431655883789
box,box,6.915847953997161
boy,boy,5.329158037900925
bread,bread,NA
break,break,8.064632320404053
breakfast,breakfast,7.7447403271993
bring,bring,7.427533805370331
broken,broken,11.320212046305338
broom,broom,NA
brother,brother,NA
brush,brush (object),8.604999542236328
bubbles,bubbles,NA
bug,bug,NA
bump,bump,NA
bunny,bunny,7.104033083855351
bus,bus,6.043321053187053
butter,butter,NA
butterfly,butterfly,11.534250259399414
button,button,8.72987174987793
bye,bye,9.672235012054443
cake,cake,5.990822156270345
candy,candy,8.728934645652771
car,car,5.483677300539884
careful,careful,6.90908344168412
carrots,carrots,8.366887152194977
cat,cat,8.68964352607727
cereal,cereal,10.530397176742554
chair,chair,6.6688432693481445
cheek,cheek,NA
cheerios,cheerios,NA
cheese,cheese,7.471164158412388
chicken,chicken (animal),7.702987353006999
chicken,chicken (food),7.702987353006999
child,child,8.976027488708496
church,church,11.17289137840271
clean,clean (action),8.202606797218323
clean,clean (description),8.202606797218323
clock,clock,7.639537811279297
close,close,7.857754230499268
coat,coat,8.038553595542908
cockadoodledoo,cockadoodledoo,NA
coffee,coffee,10.467657327651978
cold,cold,9.804068777296278
comb,comb (object),10.025906602541605
cookie,cookie,5.545490778409517
couch,couch,NA
