word, uni_lemma, avg_surprisal
airplane,airplane,NA
all,all,4.3763278290006
animal,animal,9.039250547235662
another,another,5.639475955591573
apple,apple,7.023612255273863
arm,arm,8.865754934457632
asleep,asleep,12.497948381635878
aunt,aunt,NA
away,away,6.8378485603766
baby,baby,4.832557167743612
babysitter,babysitter,NA
back,back (location),4.4243816275174925
bad,bad,9.928209524888258
ball,ball,10.015785401867282
balloon,balloon,16.347883224487305
banana,banana,11.40979737501878
bath,bath,7.969420347894941
bathroom,bathroom,NA
bathtub,bathtub,NA
beach,beach,11.618363857269287
beads,beads,NA
bear,bear,13.859925905863443
bed,bed,6.590815454721451
bedroom,bedroom,10.474035835266113
bee,bee,12.103081067403158
bib,bib,NA
bicycle,bicycle,16.299619674682617
big,big,4.816905676691156
bird,bird,13.87278938293457
bite,bite,8.20911666063162
blanket,blanket,16.641542434692383
block,block,NA
blow,blow,10.993979136149088
blue,blue,6.977699284159809
book,book,4.719334370146195
boots,boots,12.722247532435826
bottle,bottle,12.306397755940756
bowl,bowl,NA
box,box,4.790793712322529
boy,boy,2.37728136440493
bread,bread,13.077161534627278
break,break,7.012415295555478
breakfast,breakfast,10.589627693439352
bring,bring,8.202150802612305
broken,broken,7.119325899742019
broom,broom,NA
brother,brother,15.404161071777343
brush,brush (object),15.301885691556064
bubbles,bubbles,15.048291365305582
bug,bug,15.196170806884766
bump,bump,12.785338560740152
bunny,bunny,15.640053272247314
bus,bus,10.863363222642379
butter,butter,13.496918678283691
butterfly,butterfly,14.423882007598877
button,button,14.965850512186686
bye,bye,14.499735143449572
cake,cake,5.7443556274686545
candy,candy,NA
car,car,5.0804946263631185
careful,careful,12.78366828383061
carrots,carrots,11.06886954307556
cat,cat,9.126191531910615
cereal,cereal,NA
chair,chair,8.395210528373719
cheek,cheek,NA
cheerios,cheerios,NA
cheese,cheese,12.32225479950776
chicken,chicken (animal),6.945258984800245
chicken,chicken (food),6.945258984800245
child,child,NA
church,church,NA
clean,clean (action),11.277206537200183
clean,clean (description),11.277206537200183
clock,clock,13.418348972613995
close,close,10.789684189690483
coat,coat,14.52854835987091
cockadoodledoo,cockadoodledoo,15.92150330543518
coffee,coffee,9.560421421414329
cold,cold,7.743901119232178
comb,comb (object),15.676590647016253
cookie,cookie,NA
couch,couch,NA
cow,cow,6.747569331756005
cracker,cracker,NA
crib,crib,NA
cry,cry,16.391026814778645
cup,cup,6.209271593791683
cute,cute,15.370597457885742
daddy,daddy,5.281680813151828
dance,dance,13.66694462299347
dark,dark,15.561898946762085
day,day,5.284048820796766
deer,deer,16.597209930419922
diaper,diaper,NA
dinner,dinner,6.511490972736214
dirty,dirty,9.717208468914032
dish,dish,12.353273153305054
dog,dog,6.76775989929835
doll,doll,13.280190706253052
dont,don't,3.0670674699202145
donkey,donkey,15.291395425796509
door,door,5.240845829248428
down,down,3.5850542884233385
draw,draw,10.42994319068061
drawer,drawer,NA
dress,dress (object),14.51127367753249
drink,drink (action),6.670167354827232
drink,drink (beverage),6.670167354827232
drive,drive,6.774905249757587
dry,dry (description),9.810547940871295
duck,duck,13.281576080322266
ear,ear,12.173460483551025
eat,eat,4.533749349965345
egg,egg,7.286737625415508
elephant,elephant,8.71327609703189
empty,empty,8.955259817617911
eye,eye,10.402781931559245
face,face,5.0659372465951105
fall,fall,8.10332695643107
fast,fast,7.9372958689928055
feed,feed,16.90093994140625
fine,fine,10.816522121429443
finger,finger,8.165430641174316
finish,finish,12.81467399597168
firetruck,firetruck,NA
fish,fish (animal),10.133058665549918
fish,fish (food),10.133058665549918
flower,flower,17.332165718078613
food,food,8.069288293520609
foot,foot,6.186264368952537
fork,fork,14.554471863640678
frog,frog,14.48080579439799
garage,garage,9.212921227727618
garden,garden,9.60731891485361
gentle,gentle,12.742994717189244
get,get,3.301065255456896
giraffe,giraffe,10.055952285465441
girl,girl,7.776647865772247
give,give,6.341455731281014
glass,glass,14.520771026611328
glasses,glasses,8.427517096201578
go,go,3.673456498263354
good,good,4.515646821574161
goose,goose,10.343859525827261
grandma,grandma,7.417197751063926
grandpa,grandpa,7.897645273516255
grrr,grrr,16.59947633743286
hair,hair,6.666731002482962
hammer,hammer,9.778368806838989
hand,hand,7.294619681987356
happy,happy,8.314539527893066
hard,hard,7.982796345987627
hat,hat,4.402921885586856
head,head,3.394732378563791
hello,hello,8.461154561605513
help,help,6.0972285876839845
her,her,5.186439538430311
hi,hi,NA
his,his,4.728244363779649
hit,hit,13.88844347000122
home,home,6.254064155837237
horse,horse,6.6479744981316955
hot,hot,8.046245721670298
house,house,6.577133994171585
how,how,5.977632613121709
hug,hug,15.767017936706543
hungry,hungry,11.286635907491048
hurry,hurry,13.282670593261718
hurt,hurt (description),6.626164247119237
i,i,4.522089939051575
in,in,3.5335794194306622
inside,inside,11.404474914073944
it,it,2.0150643927826293
jacket,jacket,NA
jeans,jeans,15.896918296813965
juice,juice,15.555371814303928
jump,jump,10.874320591197295
keys,keys,15.923932790756226
kick,kick,9.43910276889801
kiss,kiss,7.22079610824585
kitchen,kitchen,6.958528478940328
kitty,kitty,NA
knee,knee,9.766904791196188
lady,lady,5.546886444091797
lamb,lamb,15.592881965637208
lamp,lamp,NA
later,later,9.736090564727784
leg,leg,8.199340253262907
light,light (object),11.853770329402042
lion,lion,9.012913121117485
little,little (description),4.740857208674809
look,look,4.571439081753273
love,love,7.177539587020874
lunch,lunch,11.836703777313232
man,man,5.400188016891479
me,me,2.9340480881165685
meat,meat,8.929513692855835
medicine,medicine,9.544268335614886
meow,meow,NA
milk,milk,8.073385446974374
mine,mine,8.642194205317004
mommy,mommy,NA
money,money,6.818202461515154
monkey,monkey,5.278171380360921
moo,moo,14.158523797988892
moon,moon,NA
more,more,4.622123004030703
morning,morning,5.004150337643093
motorcycle,motorcycle,NA
mouse,mouse,14.776208877563477
mouth,mouth,4.630586429646141
my,my,4.458901771879572
nap,nap,16.57570285797119
naughty,naughty,9.086571560735289
necklace,necklace,NA
nice,nice,5.110871272008927
night,night,4.306040624092365
no,no,5.14370189978093
none,none,13.037805795669556
nose,nose,3.942805923166729
not,not,3.7368233714126733
now,now,4.178511762146383
off,off,4.346354597351031
old,old,6.361065944035848
on,on,2.824489144034662
open,open (action),8.233330877815805
orange,orange (food),7.787598380675683
other,other,4.712881974612965
ouch,ouch,14.91489787535234
out,out,4.055582149341084
outside,outside,12.003271102905273
oven,oven,14.901836395263672
owl,owl,NA
pajamas,pajamas,16.25179100036621
pants,pants,15.963855811527797
paper,paper,11.660973317695387
park,park,10.482503845578147
party,party,7.736886082273541
pattycake,pattycake,NA
peas,peas,14.375916290283204
peekaboo,peekaboo,16.36847686767578
pen,pen,13.838984336853027
penguin,penguin,9.510485059564763
penny,penny,14.2975525326199
people,people,7.887770891189575
person,person,14.811622858047485
picture,picture,7.232876726098962
pig,pig,8.16269889584294
pillow,pillow,16.303425698053267
pizza,pizza,13.965297603607178
plant,plant,15.51930284500122
plate,plate,10.71353037217084
play,play,3.5607387524730756
please,please,5.365800588558882
pony,pony,15.731803894042969
pool,pool,14.735089778900146
potty,potty,NA
pretty,pretty,12.427391572432084
pull,pull,6.589664803968893
puppy,puppy,13.435676207909218
purse,purse,16.75990390777588
push,push,13.3225942958485
put,put,4.447063717467726
radio,radio,12.636252403259277
rain,rain,13.393526077270508
raisin,raisin,NA
read,read,5.39841062195447
red,red,6.78090343108544
refrigerator,refrigerator,NA
ride,ride,10.322933554649353
rock,rock (object),12.21065354347229
run,run,7.576922370837285
same,same,9.900284910202027
say,say,4.750735412674267
scared,scared,13.151013660430909
school,school,13.187659672328405
scissors,scissors,15.821063995361328
see,see,3.77038594172727
sheep,sheep,7.443443142450773
shh/shush/hush,shh,NA
shirt,shirt,9.006876524756937
shoe,shoe,7.161589336395264
shorts,shorts,15.756109918866839
shovel,shovel,NA
show,show,5.4705247732309195
sick,sick,13.899680137634277
sing,sing,6.193424215503767
sink,sink,15.617749214172363
sister,sister,16.02138042449951
sky,sky,15.167204183690687
sleep,sleep,5.202364315066421
sleepy,sleepy,NA
slide,slide (object),11.51306284390963
smile,smile,14.951499938964844
snow,snow,14.108273592862217
soap,soap,NA
sock,sock,15.621075312296549
soft,soft,14.721836566925049
some,some,4.274561368243795
splash,splash,14.31644425025353
spoon,spoon,14.149494743347168
squirrel,squirrel,NA
stairs,stairs,13.149703372608531
star,star,15.930387020111084
stop,stop,7.651876608530681
store,store,NA
stove,stove,NA
stroller,stroller,NA
sun,sun,16.361303329467773
sweater,sweater,16.345874786376953
swim,swim,14.650712013244629
swing,swing (action),NA
swing,swing (object),NA
table,table,9.528036880493165
take,take,5.080925398627244
teacher,teacher,16.077777862548828
teddybear,teddybear,13.383393669128418
telephone,telephone,8.359491039724912
that,that,2.4685657362366893
there,there,4.084735374568755
thirsty,thirsty,15.088403797149658
this,this,4.5909815515291985
throw,throw,5.316152303115182
tickle,tickle,9.71051878399319
tiger,tiger,8.85432677268982
tired,tired,6.995638829357219
toast,toast,10.189990520477295
today,today,5.822812175750732
toe,toe,15.346030659145779
tomorrow,tomorrow,13.12350858960833
tongue,tongue,14.50885467529297
tonight,tonight,14.302428007125854
tooth,tooth,NA
toothbrush,toothbrush,14.126843134562174
touch,touch,9.241014862060547
towel,towel,15.559746170043946
toy,toy (object),10.848512411117554
train,train,5.548678680962207
trash,trash,NA
tree,tree,11.962741792201996
truck,truck,14.246721506118774
tummy,tummy,7.388161561427972
turkey,turkey,NA
turtle,turtle,NA
tv,tv,15.426340579986572
uncle,uncle,13.778543472290039
under,under,9.219449404123667
up,up,3.762215700642816
vacuum,vacuum,15.24183177947998
vroom,vroom,16.478954950968426
wait,wait,10.927385599185259
walk,walk,9.244855372111003
wash,wash,14.484709040323894
watch,watch (action),10.159193870348808
watch,watch (object),10.159193870348808
water,water (beverage),6.224834826954624
water,water (not beverage),6.224834826954624
wet,wet (description),10.474505523155475
what,what,4.898010701545542
when,when (question),5.1101741381650845
where,where (question),5.363847593392581
who,who,5.719633941071483
why,why,5.6247810363769535
window,window,11.888322512308756
wipe,wipe,9.532886786894364
work,work (place),6.481189748219081
write,write,12.677514851093292
backyard,yard,NA
yes,yes,4.978054003629512
you,you,1.8699140739983555
your,your,3.244120065474407
yucky,yucky,14.35161304473877
zipper,zipper,NA
zoo,zoo,7.354669544431898
