word, uni_lemma, avg_surprisal
airplane,airplane,NA
all,all,5.110320567494572
animal,animal,10.327720203915158
another,another,4.459723141176481
apple,apple,9.13987922668457
arm,arm,8.480102502382719
asleep,asleep,7.257911797725793
aunt,aunt,NA
away,away,4.929758661502117
baby,baby,5.7307331067211225
babysitter,babysitter,NA
back,back (location),4.749757056393899
bad,bad,9.962934136390686
ball,ball,9.114587275187175
balloon,balloon,10.091925984337216
banana,banana,10.223946281101393
bath,bath,6.6275170256451865
bathroom,bathroom,11.30939769744873
bathtub,bathtub,NA
beach,beach,16.274307250976562
beads,beads,15.028220653533936
bear,bear,9.391588714387682
bed,bed,8.977498372395834
bedroom,bedroom,6.7132660661424906
bee,bee,16.111458778381348
bib,bib,15.491561126708984
bicycle,bicycle,NA
big,big,4.447754193941752
bird,bird,10.249280055363974
bite,bite,11.500541466933031
blanket,blanket,11.221041560173035
block,block,NA
blow,blow,13.444427013397217
blue,blue,5.126866440881383
book,book,4.534249478456926
boots,boots,11.991349983215333
bottle,bottle,8.202004895891463
bowl,bowl,13.468275388081869
box,box,4.086262293079848
boy,boy,5.217899753933861
bread,bread,10.07295846939087
break,break,14.55654525756836
breakfast,breakfast,6.034141744886126
bring,bring,7.457290829552544
broken,broken,8.09112379767678
broom,broom,NA
brother,brother,11.174871444702148
brush,brush (object),14.036823749542236
bubbles,bubbles,13.87243366241455
bug,bug,NA
bump,bump,10.799781972711736
bunny,bunny,NA
bus,bus,6.687526630632805
butter,butter,15.820033073425293
butterfly,butterfly,13.83046180009842
button,button,9.122849163256193
bye,bye,12.251557436856357
cake,cake,6.161109209060669
candy,candy,NA
car,car,3.806335021265977
careful,careful,8.665418596828685
carrots,carrots,NA
cat,cat,6.991513704642271
cereal,cereal,NA
chair,chair,6.037437494411025
cheek,cheek,15.611510276794434
cheerios,cheerios,NA
cheese,cheese,12.900864601135254
chicken,chicken (animal),10.402943526373969
chicken,chicken (food),10.402943526373969
child,child,11.445693016052246
church,church,14.291922152042389
clean,clean (action),10.717334005567762
clean,clean (description),10.717334005567762
clock,clock,13.88671863079071
close,close,12.176180303096771
coat,coat,8.244264776056463
cockadoodledoo,cockadoodledoo,15.70470216539171
coffee,coffee,9.071289913994926
cold,cold,7.771588478769575
comb,comb (object),NA
cookie,cookie,NA
couch,couch,NA
cow,cow,6.591585321035999
cracker,cracker,NA
crib,crib,NA
cry,cry,12.087708473205566
cup,cup,9.71381859779358
cute,cute,NA
daddy,daddy,5.262886359367841
dance,dance,14.45894227709089
dark,dark,11.222520928633841
day,day,7.621498786486113
deer,deer,15.728490829467773
diaper,diaper,NA
dinner,dinner,12.640648467200142
dirty,dirty,8.690461077341219
dish,dish,11.233482360839844
dog,dog,8.339907618129955
doll,doll,6.359462964881971
dont,don't,4.178235530203629
donkey,donkey,NA
door,door,6.997279055416584
down,down,4.24028297074497
draw,draw,4.541077936567912
drawer,drawer,NA
dress,dress (object),4.0457531696274165
drink,drink (action),7.278711923738805
drink,drink (beverage),7.278711923738805
drive,drive,10.694979877006716
dry,dry (description),11.658135414123535
duck,duck,11.496263577387882
ear,ear,13.364265823364258
eat,eat,5.582563445253192
egg,egg,5.949155569076538
elephant,elephant,7.506577447403309
empty,empty,7.115171727680025
eye,eye,10.229198109019887
face,face,5.445589138911321
fall,fall,15.93027755192348
fast,fast,12.250906705856323
feed,feed,9.260125563694881
fine,fine,8.354661101386661
finger,finger,6.249676704406738
