word, uni_lemma, avg_surprisal
airplane,airplane,9.073747916099352
all,all,5.364793107219594
animal,animal,8.110935791944845
another,another,7.153252307821603
apple,apple,10.503124717353046
arm,arm,7.745878121432136
asleep,asleep,11.613288014434104
aunt,aunt,13.702363519107594
away,away,4.484119108859325
baby,baby,4.215313422398304
babysitter,babysitter,15.462238311767578
back,back (location),4.3587868069212865
bad,bad,8.736674961290861
ball,ball,4.7796343286519285
balloon,balloon,9.288215178030509
banana,banana,6.99736804726683
bath,bath,8.744328750754303
bathroom,bathroom,8.092769677822407
bathtub,bathtub,8.460391968488693
beach,beach,8.007974618101773
beads,beads,13.746063041687012
bear,bear,2.846957602681805
bed,bed,5.257372761048334
bedroom,bedroom,14.161906719207764
bee,bee,5.662585735321045
bib,bib,15.244584274291991
bicycle,bicycle,13.552755290064319
big,big,4.2176296599840715
bird,bird,7.924551606947376
bite,bite,8.74574694266686
blanket,blanket,7.186645829400351
block,block,15.11392749680413
blow,blow,14.508247223767368
blue,blue,7.228618671296309
book,book,2.7442728235545935
boots,boots,12.36416396829817
bottle,bottle,13.256874614291721
bowl,bowl,5.58956509992617
box,box,5.3852543913655815
boy,boy,5.579984598443411
bread,bread,9.963365217844645
break,break,8.590460016016374
breakfast,breakfast,9.979478132157098
bring,bring,4.9748415436764315
broken,broken,11.359899044036865
broom,broom,16.279320589701335
brother,brother,10.237553888437699
brush,brush (object),8.610034951457271
bubbles,bubbles,7.399037338862909
bug,bug,11.642265779000741
bump,bump,12.067818988453258
bunny,bunny,5.058532361984253
bus,bus,7.357732695917929
butter,butter,6.3778952456809375
butterfly,butterfly,9.417277794617872
button,button,8.706528708338737
bye,bye,5.427521454144831
cake,cake,7.1938266480804245
candy,candy,15.942419715549635
car,car,5.427774230241775
careful,careful,5.067244525164203
carrots,carrots,11.7801849577162
cat,cat,5.517409797786742
cereal,cereal,11.912408525293523
chair,chair,3.851581448043873
cheek,cheek,12.770602079538198
cheerios,cheerios,17.6815185546875
cheese,cheese,6.4149415748459955
chicken,chicken (animal),7.322935486833255
chicken,chicken (food),7.322935486833255
child,child,11.02689920531379
church,church,14.616849422454834
