word, uni_lemma, avg_surprisal
airplane,airplane,NA
all,all,4.8120473929416345
animal,animal,13.669192790985107
another,another,5.210677439243949
apple,apple,8.680145059313093
arm,arm,7.386018835979959
asleep,asleep,8.68173996945645
aunt,aunt,NA
away,away,4.507733473137243
baby,baby,6.4597919496715575
babysitter,babysitter,NA
back,back (location),4.859072161462023
bad,bad,12.330799469581017
ball,ball,10.517610783047147
balloon,balloon,15.067184925079346
banana,banana,9.289181192715963
bath,bath,10.556736946105957
bathroom,bathroom,NA
bathtub,bathtub,NA
beach,beach,15.002455472946167
beads,beads,14.35743236541748
bear,bear,13.641781373457475
bed,bed,8.610691785812378
bedroom,bedroom,NA
bee,bee,13.320627899169923
bib,bib,10.348069259098597
bicycle,bicycle,NA
big,big,4.690511492888133
bird,bird,10.443857192993164
bite,bite,10.761117935180664
blanket,blanket,12.69118863886053
block,block,14.757862567901611
blow,blow,8.85611969849159
blue,blue,6.957840354730052
book,book,4.806049161487156
boots,boots,13.800435543060303
bottle,bottle,6.665671269098918
bowl,bowl,7.8829334432428535
box,box,4.459770269031766
boy,boy,11.769053871567184
bread,bread,8.456255045804111
break,break,9.69360319773356
breakfast,breakfast,11.064268032709757
bring,bring,7.764981952873436
broken,broken,11.941409477820763
broom,broom,NA
brother,brother,14.347064018249512
brush,brush (object),15.31402097429548
bubbles,bubbles,15.833007574081421
bug,bug,NA
bump,bump,7.443093250537741
bunny,bunny,11.91629991531372
bus,bus,10.808347622553507
butter,butter,16.065582275390625
butterfly,butterfly,14.900996057610763
button,button,15.692783560071673
bye,bye,13.687889848436628
cake,cake,6.642355529885543
candy,candy,NA
car,car,6.823409713682581
careful,careful,9.16323001044137
carrots,carrots,12.034286737442017
cat,cat,6.665482811305834
cereal,cereal,NA
chair,chair,8.414964326222737
cheek,cheek,13.468432426452637
cheerios,cheerios,NA
cheese,cheese,10.820221685594127
chicken,chicken (animal),8.548227985699972
chicken,chicken (food),8.548227985699972
child,child,12.548215866088867
church,church,NA
clean,clean (action),11.183164715766907
clean,clean (description),11.183164715766907
clock,clock,12.253738539559501
close,close,14.921910139230581
coat,coat,13.15425443649292
cockadoodledoo,cockadoodledoo,NA
coffee,coffee,11.07494831085205
cold,cold,7.632448372087981
comb,comb (object),15.3514066175981
cookie,cookie,NA
couch,couch,5.782439372118781
cow,cow,11.293494247999348
cracker,cracker,15.399443626403809
crib,crib,15.388944625854492
cry,cry,14.179619789123535
cup,cup,6.705788446932423
cute,cute,NA
daddy,daddy,6.8893917881209275
dance,dance,NA
dark,dark,11.8252311594346
day,day,6.174198643366496
deer,deer,NA
diaper,diaper,NA
dinner,dinner,10.80531712940761
dirty,dirty,12.269507598876952
dish,dish,NA
dog,dog,5.437315835581197
doll,doll,15.313922200884138
dont,don't,3.3116691785161567
donkey,donkey,14.302440643310547
door,door,6.165771754282825
down,down,2.9025517358969224
draw,draw,5.748282978611607
drawer,drawer,NA
dress,dress (object),9.19542892517582
drink,drink (action),7.139025802612305
drink,drink (beverage),7.139025802612305
drive,drive,14.74093516667684
dry,dry (description),11.858808199564615
duck,duck,13.365435700667533
ear,ear,12.240507549709744
eat,eat,9.396697777420727
egg,egg,11.10150006238152
elephant,elephant,11.00552409035819
empty,empty,11.739348623487684
eye,eye,9.076268255710602
face,face,8.359876080563193
fall,fall,6.495398547914293
fast,fast,13.650224685668945
feed,feed,16.496304035186768
fine,fine,12.11172513961792
finger,finger,7.47657573223114
finish,finish,8.447335143884024
firetruck,firetruck,NA
fish,fish (animal),7.86376942472255
fish,fish (food),7.86376942472255
flower,flower,10.78175883822971
food,food,10.140415700276693
foot,foot,5.877703689947361
fork,fork,11.318451745169503
frog,frog,10.304696037655784
garage,garage,NA
garden,garden,6.52016966683524
gentle,gentle,11.96976432800293
get,get,3.211588110948474
giraffe,giraffe,7.712437039329892
girl,girl,4.468600702285767
give,give,8.080670113466224
glass,glass,15.291686587863499
glasses,glasses,10.581717491149902
go,go,2.998683631622747
good,good,4.929942390843892
goose,goose,15.63432502746582
grandma,grandma,12.194217681884766
grandpa,grandpa,17.08497428894043
grrr,grrr,NA
hair,hair,5.697116085823546
hammer,hammer,NA
hand,hand,6.226871501074897
happy,happy,11.699093069349017
hard,hard,8.921508059782141
hat,hat,6.8414335492291025
head,head,5.238762905484154
hello,hello,10.637067857541536
help,help,6.2902042904838185
her,her,4.417517553899706
hi,hi,NA
his,his,5.848857034848431
hit,hit,10.45432460308075
home,home,6.7055534162829
horse,horse,11.226919770240784
hot,hot,11.125919536668427
house,house,5.415318870544434
how,how,7.807273823874337
hug,hug,8.897381663322449
hungry,hungry,15.45309203011649
hurry,hurry,14.669306755065918
hurt,hurt (description),6.4656987543459294
i,i,2.487802313450207
in,in,3.0944691694208553
inside,inside,9.650570543188797
it,it,1.6373508489716637
jacket,jacket,15.318334170750209
jeans,jeans,13.726702213287354
juice,juice,13.205661317576533
jump,jump,8.818109743522875
keys,keys,9.463551657540458
kick,kick,11.33862897327968
kiss,kiss,10.311454091753278
kitchen,kitchen,7.057761991024018
kitty,kitty,NA
knee,knee,8.102537217347518
lady,lady,12.607044219970703
lamb,lamb,NA
lamp,lamp,NA
