word, uni_lemma, avg_surprisal
airplane,airplane,NA
all,all,5.417209042838556
animal,animal,8.259613878586713
another,another,5.933839853527476
apple,apple,9.882756868998209
arm,arm,6.473183965682983
asleep,asleep,13.777530261448451
aunt,aunt,14.08087412516276
away,away,5.167860365576214
baby,baby,4.335760131958993
babysitter,babysitter,NA
back,back (location),4.717076013614605
bad,bad,7.5129532640630545
ball,ball,5.656087049797399
balloon,balloon,8.688303046756321
banana,banana,12.912109851837158
bath,bath,11.760710716247559
bathroom,bathroom,8.450418782234191
bathtub,bathtub,9.201096852620443
beach,beach,6.471328945720897
beads,beads,13.647590637207031
bear,bear,5.07637460231781
bed,bed,6.199445078644572
bedroom,bedroom,15.332029581069946
bee,bee,NA
bib,bib,NA
bicycle,bicycle,NA
big,big,4.185052807901947
bird,bird,5.6708463805062435
bite,bite,9.043980439503988
blanket,blanket,8.113958517710367
block,block,13.917482852935791
blow,blow,11.644360012478298
blue,blue,7.360890163315667
book,book,5.737420309369809
boots,boots,14.201266424996513
bottle,bottle,8.648364305496216
bowl,bowl,12.22583827972412
box,box,7.0167456952536975
boy,boy,6.9293603021271375
bread,bread,10.733809471130371
break,break,7.563619077205658
breakfast,breakfast,14.730687379837036
bring,bring,6.280844998113888
broken,broken,7.457899050279097
broom,broom,14.08967653910319
brother,brother,13.372621536254883
brush,brush (object),14.886861801147461
bubbles,bubbles,11.256832504272461
bug,bug,8.993844909667969
bump,bump,13.43730894724528
bunny,bunny,7.21066271583989
bus,bus,6.837462384360177
butter,butter,9.804281658596462
butterfly,butterfly,11.936745166778564
button,button,8.533177239554268
bye,bye,9.176354430970692
cake,cake,8.278832006454468
candy,candy,7.440621182322502
car,car,3.7865024843172397
careful,careful,9.327529395068133
carrots,carrots,15.601150035858154
cat,cat,7.119437532604866
cereal,cereal,15.394372940063477
chair,chair,6.752232574281239
cheek,cheek,NA
cheerios,cheerios,15.795694351196289
cheese,cheese,8.631517524719237
chicken,chicken (animal),7.920689567442863
chicken,chicken (food),7.920689567442863
child,child,NA
church,church,11.689102828502655
clean,clean (action),9.66338349878788
clean,clean (description),9.66338349878788
clock,clock,14.098297834396362
close,close,8.384347175029998
coat,coat,10.386863867441813
cockadoodledoo,cockadoodledoo,NA
coffee,coffee,NA
cold,cold,7.561966859377348
comb,comb (object),NA
cookie,cookie,10.798517227172852
couch,couch,8.961661069289498
cow,cow,7.258847437406841
cracker,cracker,NA
crib,crib,13.611908594767252
cry,cry,10.286730289459229
cup,cup,14.505812644958496
cute,cute,8.293794768197197
daddy,daddy,5.255589806435191
dance,dance,11.570113023122152
dark,dark,13.24420271979438
day,day,5.112320691141589
deer,deer,14.453086853027344
diaper,diaper,13.071520328521729
dinner,dinner,10.639711516244072
dirty,dirty,9.157783398261437
dish,dish,14.194854736328125
dog,dog,7.5036953377397095
doll,doll,11.88554048538208
dont,don't,2.660321475185532
donkey,donkey,11.2025146484375
door,door,5.299234092235565
down,down,3.896682820100894
draw,draw,9.358110586802164
drawer,drawer,16.21638822555542
dress,dress (object),12.307958602905273
drink,drink (action),9.46323309446636
drink,drink (beverage),9.46323309446636
drive,drive,7.845291355381841
dry,dry (description),13.35347785949707
duck,duck,11.107916658574885
ear,ear,11.907753944396973
eat,eat,4.845508285990933
egg,egg,8.580721415006197
elephant,elephant,13.628441333770752
empty,empty,14.064499855041504
eye,eye,5.859182529449463
face,face,5.232307642064196
fall,fall,6.853518937763415
fast,fast,6.579872837066651
feed,feed,12.891897000764546
fine,fine,10.732428805033367
finger,finger,7.911183595657349
finish,finish,9.376115989685058
firetruck,firetruck,NA
fish,fish (animal),6.680241701338026
fish,fish (food),6.680241701338026
flower,flower,11.27277946472168
food,food,6.267195908064695
foot,foot,7.918157692613272
fork,fork,11.96737289428711
frog,frog,10.7794429063797
garage,garage,12.532647609710693
garden,garden,15.794248263041178
gentle,gentle,12.393676042556763
get,get,3.80705419052494
giraffe,giraffe,15.111285209655762
girl,girl,6.702846272786458
give,give,5.250841754548093
glass,glass,12.804261207580566
glasses,glasses,11.771841594151088
go,go,3.3643144952237716
good,good,4.208845502524464
goose,goose,11.613889694213867
grandma,grandma,6.768013845007103
grandpa,grandpa,4.363480730283828
grrr,grrr,NA
hair,hair,7.494035530090332
hammer,hammer,11.967344125111898
hand,hand,5.385578163883142
happy,happy,6.450659529368083
hard,hard,6.111692223055609
hat,hat,7.918609407212999
head,head,5.11417286466844
hello,hello,7.272950951258341
help,help,6.515019652355148
her,her,4.0180485756500905
hi,hi,9.782413864135743
his,his,4.635768789697337
