word, uni_lemma, avg_surprisal
airplane,airplane,10.407566759321424
all,all,5.026766047004826
animal,animal,9.148022564974697
another,another,6.629648035222834
apple,apple,6.761161676267299
arm,arm,6.606119611046531
asleep,asleep,8.69327163696289
aunt,aunt,NA
away,away,5.901221089614065
baby,baby,3.988533670837815
babysitter,babysitter,12.546936988830566
back,back (location),5.087285652160644
bad,bad,6.505665640677175
ball,ball,4.761450658673826
balloon,balloon,8.5753233730793
banana,banana,8.822518467903137
bath,bath,7.560545380910238
bathroom,bathroom,12.528552913665772
bathtub,bathtub,11.183568596839905
beach,beach,9.100555419921875
beads,beads,15.718301773071289
bear,bear,6.279828667640686
bed,bed,5.444876912273938
bedroom,bedroom,8.83895206451416
bee,bee,9.017966588338217
bib,bib,8.69649471839269
bicycle,bicycle,10.863358974456787
big,big,5.272703444415873
bird,bird,9.035958862304687
bite,bite,6.94999677994672
blanket,blanket,6.15759819332916
block,block,12.523712158203125
blow,blow,9.299546718597412
blue,blue,11.409983743320812
book,book,5.192102990060483
boots,boots,10.926154375076294
bottle,bottle,6.868946933746338
bowl,bowl,13.422553658485413
box,box,11.721500158309937
boy,boy,8.523307010105677
bread,bread,8.559339539210002
break,break,9.160609203836191
breakfast,breakfast,9.443205778415386
bring,bring,6.545169285365513
broken,broken,6.694064825773239
broom,broom,NA
brother,brother,12.68971061706543
brush,brush (object),9.11608091990153
bubbles,bubbles,12.616559346516928
bug,bug,13.969232063293457
bump,bump,13.866983413696289
bunny,bunny,8.70733168250636
bus,bus,8.731144905090332
butter,butter,11.894634587424141
butterfly,butterfly,12.628152847290039
button,button,6.834340522163792
bye,bye,11.070179462432861
cake,cake,9.274070566350764
candy,candy,12.98874146597726
car,car,7.139927486203751
careful,careful,6.364377781496209
carrots,carrots,NA
cat,cat,9.080722490946451
cereal,cereal,13.129986961682638
chair,chair,6.602637090682983
cheek,cheek,14.268515268961588
cheerios,cheerios,10.440848427849847
cheese,cheese,8.02612578868866
chicken,chicken (animal),6.655470049658487
chicken,chicken (food),6.655470049658487
child,child,12.335042847527397
church,church,NA
clean,clean (action),7.705025747087267
clean,clean (description),7.705025747087267
clock,clock,14.033536502293178
close,close,8.701426828608794
coat,coat,14.175899505615234
cockadoodledoo,cockadoodledoo,NA
coffee,coffee,5.934904683020807
cold,cold,6.690454970465766
comb,comb (object),14.123425483703613
cookie,cookie,11.05005168914795
couch,couch,14.03064136505127
cow,cow,6.015468496264833
cracker,cracker,11.41653573513031
crib,crib,7.142999331156413
cry,cry,6.7861856251228145
cup,cup,7.8610868246658985
cute,cute,8.052579085032145
daddy,daddy,5.380364309899426
dance,dance,13.504891395568848
dark,dark,8.052232106526693
day,day,8.763734386080788
deer,deer,11.887739181518555
diaper,diaper,5.197394445538521
dinner,dinner,8.568149129549662
dirty,dirty,11.605177787042432
dish,dish,9.855698449271065
dog,dog,6.129667627811432
doll,doll,7.904926047605627
dont,don't,2.7191893385313346
donkey,donkey,10.50143417559172
door,door,5.585771343924782
down,down,2.2155469639326935
draw,draw,10.61831788663511
drawer,drawer,11.312353372573853
dress,dress (object),10.877709184374128
drink,drink (action),10.860686874389648
drink,drink (beverage),10.860686874389648
drive,drive,10.690800428390503
dry,dry (description),8.635438855489095
duck,duck,7.845473212580527
ear,ear,7.875319887090613
eat,eat,5.3352800594286975
egg,egg,9.793808698654175
elephant,elephant,6.429421067237854
empty,empty,12.902005597164756
eye,eye,6.99619722366333
face,face,6.34070871314224
fall,fall,6.523430201742384
fast,fast,7.340178489685059
feed,feed,12.944767713546753
fine,fine,9.521194389888219
finger,finger,8.997653603553772
finish,finish,6.748883284055269
firetruck,firetruck,NA
fish,fish (animal),7.090686710869393
fish,fish (food),7.090686710869393
flower,flower,7.041644910971324
food,food,8.839296427640049
foot,foot,6.4241538828069515
fork,fork,15.937689781188965
frog,frog,8.879475550218062
garage,garage,NA
garden,garden,9.467854022979736
gentle,gentle,13.818439483642578
get,get,3.666202268569298
giraffe,giraffe,9.872300692967006
girl,girl,5.374331168914109
give,give,5.4636891344760325
glass,glass,8.403923074404398
glasses,glasses,7.8433715343475345
go,go,5.60796652993267
good,good,5.102657476125979
goose,goose,8.91799709531996
grandma,grandma,12.81455373764038
grandpa,grandpa,11.485154151916504
grrr,grrr,15.61058521270752
hair,hair,6.313753305337368
hammer,hammer,11.185598850250244
hand,hand,7.77731483632868
happy,happy,14.631129118112417
hard,hard,6.866499571366743
hat,hat,7.344932188306536
head,head,6.267924552740053
hello,hello,15.908808274702592
help,help,5.995178853311846
her,her,4.74094103442298
hi,hi,7.6031599879264835
his,his,6.171356951252798
hit,hit,8.648490399122238
home,home,5.8225318710759
horse,horse,6.891768290446355
hot,hot,8.631759574196556
house,house,4.786930179595947
how,how,5.295206895414388
hug,hug,7.7583108856564476
hungry,hungry,7.899757044655936
hurry,hurry,13.305163383483887
hurt,hurt (description),6.232734010930647
i,i,3.888947994374417
in,in,3.9361427479213282
inside,inside,8.412635087966919
it,it,2.331968331764519
jacket,jacket,7.019811800548008
jeans,jeans,NA
juice,juice,4.67249553963758
jump,jump,10.785548232850575
keys,keys,15.611226081848145
kick,kick,5.615414476394653
kiss,kiss,8.424326858520509
