word, uni_lemma, avg_surprisal
airplane,airplane,7.855301522194071
all,all,4.810525846226784
animal,animal,13.572034028860239
another,another,5.34952198948179
apple,apple,8.361054835780974
arm,arm,8.607253114382425
asleep,asleep,12.590476989746094
aunt,aunt,9.91355177561442
away,away,5.226372751497453
baby,baby,7.113254052621347
babysitter,babysitter,14.441263198852539
back,back (location),5.841062084659115
bad,bad,8.723106755150688
ball,ball,10.569963971773783
balloon,balloon,13.188644170761108
banana,banana,13.534604549407959
bath,bath,9.793210924888143
bathroom,bathroom,6.591622101633172
bathtub,bathtub,9.53413188457489
beach,beach,7.743531363351004
beads,beads,11.103898366292318
bear,bear,7.376042995812758
bed,bed,4.684072244734991
bedroom,bedroom,13.942370414733887
bee,bee,11.144990054043857
bib,bib,6.707024853805016
bicycle,bicycle,11.116529178619384
big,big,5.0783488758912325
bird,bird,12.28297684987386
bite,bite,10.869269053141275
blanket,blanket,14.731602668762207
block,block,10.160051536560058
blow,blow,7.22471449738842
blue,blue,11.128997187460623
book,book,4.430506147782911
boots,boots,10.586443628583636
bottle,bottle,12.402801220233624
bowl,bowl,11.393017622140738
box,box,9.308525673548381
boy,boy,4.989381512999534
bread,bread,10.163628954153795
break,break,8.935361115828805
breakfast,breakfast,8.807338837214878
bring,bring,7.74001762343616
broken,broken,6.699254963614724
broom,broom,7.9240570068359375
brother,brother,8.423513324172408
brush,brush (object),9.903960717690957
bubbles,bubbles,16.763417720794678
bug,bug,9.290418844956617
bump,bump,8.179810836098412
bunny,bunny,13.079632486615862
bus,bus,6.7237156483165
butter,butter,8.510138136999947
butterfly,butterfly,14.628074645996094
button,button,11.218628065926689
bye,bye,NA
cake,cake,7.857099213177645
candy,candy,11.619429588317871
car,car,3.6833889890224376
careful,careful,8.348395496606827
carrots,carrots,14.88866901397705
cat,cat,6.253285318613052
cereal,cereal,14.731764157613119
chair,chair,4.904645385565581
cheek,cheek,14.177955436706544
cheerios,cheerios,14.700510342915853
cheese,cheese,11.73213107245309
chicken,chicken (animal),10.708105689600893
chicken,chicken (food),10.708105689600893
child,child,9.56768536567688
church,church,11.101302742958069
clean,clean (action),8.575026017314983
clean,clean (description),8.575026017314983
clock,clock,6.558066521372114
close,close,8.486924110574925
coat,coat,8.540353481586163
cockadoodledoo,cockadoodledoo,NA
coffee,coffee,9.414699931477392
cold,cold,7.997697621583939
comb,comb (object),9.51993776136829
cookie,cookie,12.789502143859863
couch,couch,10.034920501708985
cow,cow,10.967664166500693
cracker,cracker,13.518747687339783
crib,crib,NA
cry,cry,10.865935886607451
cup,cup,11.588880580404531
cute,cute,10.910000801086426
daddy,daddy,5.792506944565546
dance,dance,12.387086868286133
dark,dark,11.611231671439278
day,day,7.020027321828922
deer,deer,NA
diaper,diaper,14.396436214447021
dinner,dinner,7.206740227612582
dirty,dirty,7.610483224575336
dish,dish,13.282655080159506
dog,dog,7.185292394537675
doll,doll,8.365617128518911
dont,don't,2.916265680281369
donkey,donkey,7.434467260654156
door,door,5.891043904709489
down,down,3.7107497025244305
draw,draw,10.478665272394815
drawer,drawer,14.66861883799235
dress,dress (object),7.462127517251408
drink,drink (action),8.216874819535475
drink,drink (beverage),8.216874819535475
drive,drive,7.18251633644104
dry,dry (description),9.745642692812028
duck,duck,10.223374247550964
ear,ear,6.083339939117431
eat,eat,6.055664137495516
egg,egg,10.514169519597834
elephant,elephant,9.041061384924527
empty,empty,9.933563311894735
eye,eye,10.278520027796427
face,face,7.790500860214234
fall,fall,6.1327106555302935
fast,fast,7.993409840684188
feed,feed,15.660277366638184
fine,fine,11.021359086036682
finger,finger,11.046711104256767
finish,finish,6.300107501273931
firetruck,firetruck,NA
fish,fish (animal),8.448449179932878
fish,fish (food),8.448449179932878
flower,flower,12.496391513130881
food,food,10.613989785660145
foot,foot,6.8341618946620395
fork,fork,13.73959732055664
frog,frog,11.450530242919921
garage,garage,12.598139672052293
garden,garden,9.78007247712877
gentle,gentle,NA
get,get,4.3334588056955585
giraffe,giraffe,10.577419541098855
girl,girl,4.676751280939857
give,give,5.802559192691531
glass,glass,14.453014691670736
glasses,glasses,6.899409278233846
go,go,4.036508988775313
good,good,4.391689786785527
goose,goose,7.722966273625691
grandma,grandma,10.929619709650675
grandpa,grandpa,12.553377083369664
grrr,grrr,NA
hair,hair,6.783772309621175
hammer,hammer,10.592397016637465
hand,hand,6.152503793889826
happy,happy,11.688843617072472
hard,hard,6.758791923522949
hat,hat,6.139675433295114
head,head,5.1369669719408915
hello,hello,8.43641603910006
help,help,5.7297167891547796
her,her,6.714754659138369
hi,hi,9.726216861179896
his,his,4.257251745058318
hit,hit,12.17895515759786
home,home,6.839409441187762
horse,horse,9.21055218269085
hot,hot,8.077749042976194
house,house,5.802964152002627
how,how,5.91111974918379
hug,hug,13.743600845336914
hungry,hungry,9.935266699109759
hurry,hurry,9.009069085121155
hurt,hurt (description),7.0813718231356875
i,i,3.7070515243285294
in,in,3.3006694956140206
inside,inside,8.381304761637812
it,it,2.176524610820419
jacket,jacket,9.849316937582833
jeans,jeans,NA
juice,juice,7.781769952774048
jump,jump,8.749504311879475
keys,keys,15.92713737487793
kick,kick,13.745756340026855
kiss,kiss,12.349192566341824
kitchen,kitchen,7.19172075520391
kitty,kitty,13.271138095855713
knee,knee,6.9191607475280765
lady,lady,9.348712787628173
lamb,lamb,14.814817905426025
lamp,lamp,10.058225631713867
later,later,11.238831960237944
leg,leg,9.813808155059814
light,light (object),8.35300632317861
lion,lion,11.47393816167658
little,little (description),4.387518929326257
look,look,5.21689132218049
love,love,11.987192797660828
lunch,lunch,14.70370762688773
man,man,4.97110548542767
me,me,4.214368087710536
meat,meat,10.096706962585449
medicine,medicine,13.625182219914027
meow,meow,14.980663299560547
milk,milk,8.520393601170293
mine,mine,9.856415315107865
mommy,mommy,10.230656270627621
money,money,11.406248959628018
monkey,monkey,12.703715896606445
moo,moo,NA
moon,moon,11.01219095502581
more,more,5.522955508989709
morning,morning,5.752615690231323
motorcycle,motorcycle,10.318371295928955
mouse,mouse,7.820713601022397
mouth,mouth,5.427377549613395
my,my,5.160275239944458
nap,nap,10.33106048290546
naughty,naughty,14.449753602345785
necklace,necklace,13.367258548736572
nice,nice,5.550334270000458
night,night,6.094576742649078
no,no,4.3172356084402566
none,none,16.989675521850586
nose,nose,5.22506609901053
not,not,3.820726874712351
now,now,5.228362896503547
off,off,3.9313076088968186
old,old,7.474924952296887
on,on,3.2162263618492353
open,open (action),6.740529152284186
orange,orange (food),10.117356373713566
other,other,4.6512080243293275
ouch,ouch,8.456742006189684
out,out,4.220179682477899
outside,outside,8.394267784224617
oven,oven,6.569626071236351
owl,owl,13.794562115388757
pajamas,pajamas,11.48542833328247
pants,pants,5.000440374253288
paper,paper,9.124148299054403
park,park,14.645587921142578
party,party,9.59663200378418
pattycake,pattycake,16.294105529785156
peas,peas,10.379828316824776
peekaboo,peekaboo,16.558048248291016
pen,pen,13.771128177642822
penguin,penguin,13.379251480102539
penny,penny,14.815911769866943
people,people,6.923809934834965
person,person,9.360209226608276
picture,picture,5.459336815110172
pig,pig,6.217328751673464
