word, uni_lemma, avg_surprisal
airplane,airplane,8.32910326610912
all,all,4.7154747579170735
animal,animal,5.578060555008222
another,another,5.180664599282401
apple,apple,7.835232123732567
arm,arm,7.590938981757106
asleep,asleep,12.253662395477296
aunt,aunt,15.388702392578125
away,away,3.374867347893736
baby,baby,3.8310735758227583
babysitter,babysitter,NA
back,back (location),4.094752880991722
bad,bad,10.363814858027867
ball,ball,6.69777002632618
balloon,balloon,12.22294929292467
banana,banana,13.1075674533844
bath,bath,6.727185586403156
bathroom,bathroom,9.252199463222338
bathtub,bathtub,7.433744283283458
beach,beach,7.479367368871515
beads,beads,17.321951866149902
bear,bear,5.937363119686351
bed,bed,5.1982286028428515
bedroom,bedroom,11.40304499406081
bee,bee,13.504753748575846
bib,bib,13.784905653733473
bicycle,bicycle,10.337695185343424
big,big,4.442759502470738
bird,bird,8.075133160983816
bite,bite,9.227895925211351
blanket,blanket,5.542188075976183
block,block,13.11872931449644
blow,blow,12.292192889194862
blue,blue,6.445006936154467
book,book,4.8083338969881355
boots,boots,11.093530209859212
bottle,bottle,7.044762170951785
bowl,bowl,9.624662540577075
box,box,3.5142164878918294
boy,boy,3.7546608997574933
bread,bread,13.03832893745572
break,break,7.120349480046166
breakfast,breakfast,6.732389000226867
bring,bring,5.101892497409042
broken,broken,10.871482598154168
broom,broom,14.171505321155895
brother,brother,15.708594458443779
brush,brush (object),10.868637925487453
bubbles,bubbles,16.507669074194773
bug,bug,13.018775479546909
bump,bump,14.108161276037043
bunny,bunny,12.950594722100025
bus,bus,9.529881740438528
butter,butter,14.971085241862706
butterfly,butterfly,14.326434742320668
button,button,12.855258641924177
bye,bye,15.621447483698526
cake,cake,8.46565050681432
candy,candy,10.227783807118733
car,car,5.302517866996264
careful,careful,6.736824610147131
carrots,carrots,15.057805341832777
cat,cat,4.986199874726553
cereal,cereal,8.326186251133047
chair,chair,6.203564964995092
cheek,cheek,15.727864821751913
cheerios,cheerios,16.65750789642334
cheese,cheese,14.812485142758018
chicken,chicken (animal),8.026337435079176
chicken,chicken (food),8.026337435079176
child,child,8.09914301463536
church,church,15.206814765930176
clean,clean (action),9.834152773314832
clean,clean (description),9.834152773314832
clock,clock,11.251058578491211
close,close,10.11400058009837
coat,coat,12.302308824327257
cockadoodledoo,cockadoodledoo,17.051784621344673
coffee,coffee,10.228099156939795
cold,cold,6.080600856698077
comb,comb (object),14.201375510475852
cookie,cookie,14.581181773432979
couch,couch,13.719863997565376
cow,cow,7.789338401240161
cracker,cracker,16.131829738616943
crib,crib,5.904018983736143
cry,cry,9.292147827148437
cup,cup,8.790712827406589
cute,cute,5.733228508631388
daddy,daddy,6.3001912604556995
dance,dance,9.324020825180353
dark,dark,10.167480504071271
day,day,5.428093774374141
deer,deer,14.339838409423828
diaper,diaper,12.841249783833822
dinner,dinner,10.554094916895815
dirty,dirty,6.871148899197578
dish,dish,14.777451881995567
dog,dog,5.040955325279116
doll,doll,4.865127989768982
dont,don't,3.5335771970139676
donkey,donkey,15.26426887512207
door,door,6.99674924214681
down,down,2.078693850276371
draw,draw,12.355650216341019
drawer,drawer,15.668542607625325
dress,dress (object),5.571585646463097
drink,drink (action),6.365324511499462
drink,drink (beverage),6.365324511499462
drive,drive,15.675057138715472
dry,dry (description),10.220530638823638
duck,duck,10.476951895088986
ear,ear,9.417292607458014
