word, uni_lemma, avg_surprisal
airplane,airplane,5.515710319114836
all,all,4.570715017017277
animal,animal,12.198812537723118
another,another,5.0651842220774235
apple,apple,14.34265697703642
arm,arm,14.610019895765516
asleep,asleep,15.039340312664326
aunt,aunt,15.746171951293945
away,away,3.0586053500449437
baby,baby,5.034866884853063
babysitter,babysitter,14.182427088419596
back,back (location),3.5509927703722104
bad,bad,11.978068712595347
ball,ball,5.070441341891732
balloon,balloon,14.105518764919704
banana,banana,14.37488047281901
bath,bath,12.301347440602829
bathroom,bathroom,8.097174578242832
bathtub,bathtub,11.151717491149903
beach,beach,12.22541196005685
beads,beads,NA
bear,bear,15.095354216439384
bed,bed,7.4228012007896345
bedroom,bedroom,8.39082129796346
bee,bee,NA
bib,bib,14.688921928405762
bicycle,bicycle,14.424350602286202
big,big,3.80909109549553
bird,bird,13.313488848069134
bite,bite,11.90204978942871
blanket,blanket,15.2485830783844
block,block,9.522786058698381
blow,blow,8.400568767027421
blue,blue,8.024830784596189
book,book,7.882871123722621
boots,boots,13.4520423412323
bottle,bottle,14.37816071510315
bowl,bowl,12.948094050089518
box,box,3.751595711195341
boy,boy,4.999456016743769
bread,bread,15.828955173492432
break,break,8.87088392762577
breakfast,breakfast,10.924567046918368
bring,bring,5.544090163284147
broken,broken,4.672015284880613
broom,broom,17.156383514404297
brother,brother,15.827324867248535
brush,brush (object),NA
bubbles,bubbles,NA
bug,bug,15.922551472981771
bump,bump,15.449944496154785
bunny,bunny,13.259673812172629
bus,bus,5.773084745407105
butter,butter,NA
butterfly,butterfly,NA
button,button,8.157818253223713
bye,bye,11.65553546834875
cake,cake,12.649447917938232
candy,candy,16.039908409118652
car,car,3.759649338000324
careful,careful,4.225751146674156
carrots,carrots,17.183544158935547
cat,cat,14.206709331936306
cereal,cereal,14.2440767288208
chair,chair,5.5630695546966
cheek,cheek,15.172006607055664
cheerios,cheerios,NA
cheese,cheese,14.983573722839356
chicken,chicken (animal),15.071750746832954
chicken,chicken (food),15.071750746832954
child,child,14.308279991149902
church,church,15.153952280680338
clean,clean (action),11.019658285996009
clean,clean (description),11.019658285996009
clock,clock,NA
close,close,5.784451093087649
coat,coat,12.50845061408149
cockadoodledoo,cockadoodledoo,NA
coffee,coffee,12.588497294936069
cold,cold,9.382529532467878
comb,comb (object),16.175776290893555
cookie,cookie,12.946392193962547
couch,couch,8.26163097907757
cow,cow,5.810219486919018
cracker,cracker,NA
crib,crib,15.480425834655762
cry,cry,13.56799422370063
cup,cup,13.370513264725847
cute,cute,15.567672411600748
daddy,daddy,5.809687132372004
dance,dance,14.261733531951904
dark,dark,7.505277762046227
day,day,11.404995094646107
deer,deer,NA
diaper,diaper,14.69620931148529
dinner,dinner,11.632067702033304
dirty,dirty,10.500771345915618
dish,dish,NA
dog,dog,10.374269196861668
doll,doll,10.868344673743614
dont,don't,2.8818307154824367
donkey,donkey,10.60292588448038
door,door,6.422174950235898
down,down,2.5093645152860673
draw,draw,7.811215998052241
drawer,drawer,11.586997582362248
dress,dress (object),14.73386001586914
drink,drink (action),10.647287774086
drink,drink (beverage),10.647287774086
drive,drive,9.357885153788441
dry,dry (description),14.074115673700968
duck,duck,15.76982307434082
ear,ear,12.385581970214844
eat,eat,6.724453803820488
egg,egg,10.75860028150605
elephant,elephant,12.915964929681076
empty,empty,7.913292025074814
eye,eye,8.91504762172699
face,face,7.664342631464419
fall,fall,7.560523252861173
fast,fast,12.859808206558228
feed,feed,15.594775581359864
fine,fine,10.70704730864494
finger,finger,6.242402520096093
finish,finish,8.491319550408257
firetruck,firetruck,NA
fish,fish (animal),7.622088836901115
fish,fish (food),7.622088836901115
flower,flower,NA
food,food,11.93925142288208
foot,foot,8.148992988196285
fork,fork,15.257099866867065
frog,frog,14.606266021728516
garage,garage,12.849974155426025
garden,garden,NA
gentle,gentle,9.6344633102417
get,get,3.822880744934082
giraffe,giraffe,12.295585338885967
girl,girl,6.107112392936785
give,give,6.172026031792409
glass,glass,13.688362121582031
glasses,glasses,16.15328049659729
go,go,3.4332152916410097
good,good,4.4839235579327035
goose,goose,14.408064842224121
grandma,grandma,14.191042423248291
grandpa,grandpa,NA
grrr,grrr,17.161041259765625
hair,hair,6.418929655689839
hammer,hammer,11.629592418670654
hand,hand,6.173320648282073
happy,happy,10.59521198272705
hard,hard,6.184168572174875
hat,hat,9.891734736306327
head,head,5.721750097890054
hello,hello,11.85588736369692
help,help,4.743379111947684
her,her,5.050441903398748
hi,hi,8.290571670906216
his,his,6.305899381637573
hit,hit,9.562385312442121
home,home,4.723018540667431
horse,horse,4.053293295429177
hot,hot,9.485262571596632
house,house,4.193943710459603
how,how,5.06466044679573
hug,hug,15.455468559265137
hungry,hungry,11.903856682054924
hurry,hurry,13.15002999986921
hurt,hurt (description),6.203076040642893
i,i,3.5693478161607284
in,in,2.766291333134655
inside,inside,9.039561914361041
it,it,1.8882996544278796
jacket,jacket,12.98373007774353
jeans,jeans,NA
juice,juice,11.164856820493132
jump,jump,11.556210611380783
keys,keys,11.617545223236084
kick,kick,13.301864896501813
