word, uni_lemma, avg_surprisal
airplane,airplane,9.191031773885092
all,all,5.214597079149339
animal,animal,7.383177427145151
another,another,7.039795634034392
apple,apple,11.75621291569301
arm,arm,7.0255231490501995
asleep,asleep,9.502793312072754
aunt,aunt,NA
away,away,6.313030316279485
baby,baby,4.303259839474316
babysitter,babysitter,NA
back,back (location),5.621972439289093
bad,bad,6.111383533477783
ball,ball,5.796775445342064
balloon,balloon,10.25354814529419
banana,banana,8.35063460138109
bath,bath,6.7710152467091875
bathroom,bathroom,6.355990409851074
bathtub,bathtub,5.321139531977036
beach,beach,5.88314350027787
beads,beads,11.929445743560791
bear,bear,5.590502665593074
bed,bed,4.9717296935893875
bedroom,bedroom,11.126489162445068
bee,bee,8.021362495422363
bib,bib,NA
bicycle,bicycle,9.049358367919922
big,big,4.637807454635848
bird,bird,4.7711999125596956
bite,bite,9.358105312694203
blanket,blanket,7.3068338394165036
block,block,9.333227475484213
blow,blow,11.67677116394043
blue,blue,6.7741412162780765
book,book,4.622326388955116
boots,boots,13.353379249572754
bottle,bottle,12.716385841369629
bowl,bowl,7.618951511383057
box,box,7.833312874748593
boy,boy,5.5368677159791355
bread,bread,9.65894333521525
break,break,8.413394510746002
breakfast,breakfast,6.6179150899251304
bring,bring,7.475212230682373
broken,broken,7.602529829198664
broom,broom,9.22598648071289
brother,brother,10.076059913635254
brush,brush (object),12.04726505279541
bubbles,bubbles,NA
bug,bug,8.949374775091806
bump,bump,11.047979961742055
bunny,bunny,9.65153964360555
bus,bus,6.217197532653809
butter,butter,8.822963078816732
butterfly,butterfly,11.761714935302734
button,button,10.215551733970642
bye,bye,12.772647142410278
cake,cake,6.603588887623379
candy,candy,10.023797702789306
car,car,4.39561668602196
careful,careful,9.730934143066406
carrots,carrots,12.489179611206055
cat,cat,5.984787275393804
cereal,cereal,8.773584365844727
chair,chair,6.355135583877564
cheek,cheek,NA
cheerios,cheerios,11.535552978515625
cheese,cheese,8.878604475657145
chicken,chicken (animal),6.455470221383231
chicken,chicken (food),6.455470221383231
child,child,12.557352066040039
church,church,NA
clean,clean (action),7.902879012258429
clean,clean (description),7.902879012258429
clock,clock,NA
close,close,8.573087708703403
coat,coat,NA
cockadoodledoo,cockadoodledoo,NA
coffee,coffee,NA
cold,cold,9.605900151388985
comb,comb (object),NA
cookie,cookie,11.06407086054484
couch,couch,6.295631607373555
cow,cow,11.599412373134069
cracker,cracker,NA
