word, uni_lemma, avg_surprisal
airplane,airplane,NA
all,all,4.524172599901233
animal,animal,7.41109726164076
another,another,6.073601700224966
apple,apple,8.408060293197632
arm,arm,12.54126949968009
asleep,asleep,9.33231086730957
aunt,aunt,NA
away,away,4.574733597124126
baby,baby,4.409664796007038
babysitter,babysitter,NA
back,back (location),4.533192715193959
bad,bad,6.325618267059326
ball,ball,13.758077502250671
balloon,balloon,14.361909593854632
banana,banana,14.25948599406651
bath,bath,8.040507508648766
bathroom,bathroom,15.704745292663574
bathtub,bathtub,NA
beach,beach,12.906489658355714
beads,beads,14.577131271362305
bear,bear,8.587096379808157
bed,bed,6.8534741294517945
bedroom,bedroom,NA
bee,bee,14.658096599578858
bib,bib,12.957605520884195
bicycle,bicycle,13.105187797546387
big,big,4.031181009078758
bird,bird,8.727203039022593
bite,bite,11.990258435408274
blanket,blanket,NA
block,block,NA
blow,blow,13.848750808022238
blue,blue,9.112921111814437
book,book,5.579436007252446
boots,boots,16.283416748046875
bottle,bottle,11.744888007640839
bowl,bowl,9.966807774135045
box,box,4.641435578013912
boy,boy,8.625046539306641
bread,bread,14.622412490844727
break,break,6.457995501431552
breakfast,breakfast,14.60781478881836
bring,bring,5.952470582629007
broken,broken,7.690419861764619
broom,broom,NA
brother,brother,15.162593841552734
brush,brush (object),11.383517762889033
bubbles,bubbles,13.19502623875936
bug,bug,NA
bump,bump,16.27719283103943
bunny,bunny,NA
bus,bus,14.50221756526402
butter,butter,15.463953653971354
butterfly,butterfly,14.32942271232605
button,button,12.732919011797224
bye,bye,16.932295124705245
cake,cake,4.17256919037212
candy,candy,NA
car,car,5.662822160266694
careful,careful,9.229685807839418
carrots,carrots,14.234634971618652
cat,cat,7.598970690081196
cereal,cereal,NA
chair,chair,4.596844284765182
cheek,cheek,16.630725145339966
cheerios,cheerios,NA
cheese,cheese,12.36902914291773
chicken,chicken (animal),12.564343775472333
chicken,chicken (food),12.564343775472333
child,child,13.400312423706055
church,church,16.007604598999023
clean,clean (action),10.262992000579834
clean,clean (description),10.262992000579834
clock,clock,12.696531815962357
close,close,10.181101369857789
coat,coat,11.805224657058716
cockadoodledoo,cockadoodledoo,12.688318032484789
coffee,coffee,16.73266887664795
cold,cold,8.573014142778185
comb,comb (object),NA
cookie,cookie,17.59961700439453
couch,couch,NA
cow,cow,8.664968937635422
cracker,cracker,NA
crib,crib,NA
cry,cry,10.254448857800714
cup,cup,9.09518015384674
cute,cute,16.81986427307129
daddy,daddy,5.997317198998418
dance,dance,14.332683483759562
dark,dark,9.157129233224051
day,day,7.010564134234474
deer,deer,12.631407430095058
diaper,diaper,NA
dinner,dinner,13.952463531494141
dirty,dirty,12.223574256896972
dish,dish,14.79116153717041
dog,dog,9.097192798342023
doll,doll,11.951350358816294
dont,don't,3.5167522648604614
donkey,donkey,14.562182188034058
door,door,5.280155442718767
down,down,2.3946256050463024
draw,draw,8.373929627736409
drawer,drawer,14.711396217346191
dress,dress (object),7.2408595223357715
drink,drink (action),10.326379589412523
drink,drink (beverage),10.326379589412523
drive,drive,13.679987589518229
