word, uni_lemma, avg_surprisal
airplane,airplane,11.335706506456647
all,all,4.611477668919617
animal,animal,12.333723545074463
another,another,6.620655881160754
apple,apple,11.343633205332655
arm,arm,8.096359437511813
asleep,asleep,8.471716273914684
aunt,aunt,14.572723434084939
away,away,4.6937477981651226
baby,baby,4.248762371202395
babysitter,babysitter,14.326717376708984
back,back (location),4.689132702900813
bad,bad,6.3695882022380825
ball,ball,5.248755111350669
balloon,balloon,12.98299279420272
banana,banana,12.308463428331459
bath,bath,12.666803028272545
bathroom,bathroom,12.29470433944311
bathtub,bathtub,14.024644925044132
beach,beach,3.1695085695988157
beads,beads,NA
bear,bear,6.319342740944454
bed,bed,4.977841013831061
bedroom,bedroom,13.91512668132782
bee,bee,15.099473714828491
bib,bib,13.544467131296793
bicycle,bicycle,13.808416578504774
big,big,4.587264985512949
bird,bird,7.89950251277489
bite,bite,7.24860689462709
blanket,blanket,10.497957388559977
block,block,12.344863951206207
blow,blow,7.7860168326984756
blue,blue,7.037613119855023
book,book,6.075733608518328
boots,boots,15.252553820610046
bottle,bottle,13.172620391845703
bowl,bowl,12.580763498942057
box,box,9.191242319814275
boy,boy,5.037025204121741
bread,bread,13.260898045131139
break,break,5.7978584634976125
breakfast,breakfast,12.233019722832573
bring,bring,6.341478791955399
broken,broken,7.389592162045566
broom,broom,8.010161099610505
brother,brother,6.735448883425805
brush,brush (object),15.87596009572347
bubbles,bubbles,14.416698309091421
bug,bug,12.114124139149984
bump,bump,11.718419075012207
bunny,bunny,6.788818568718143
bus,bus,12.941683585827167
butter,butter,15.557656478881835
butterfly,butterfly,14.050688171386719
button,button,7.580687956376509
bye,bye,18.067557248202238
cake,cake,7.822464992473652
candy,candy,9.372078813355545
car,car,7.116934959535246
careful,careful,10.777582168579102
carrots,carrots,14.251372597434305
cat,cat,9.509854215436278
cereal,cereal,10.748360650292758
chair,chair,5.803318086978608
cheek,cheek,13.697573184967041
cheerios,cheerios,17.901240348815918
cheese,cheese,14.74875883153967
chicken,chicken (animal),13.178305217197963
chicken,chicken (food),13.178305217197963
child,child,11.833764621189662
church,church,13.579996517726354
clean,clean (action),11.622748715536934
clean,clean (description),11.622748715536934
clock,clock,10.231839215313947
close,close,9.528218424597451
coat,coat,10.6152018843026
cockadoodledoo,cockadoodledoo,NA
coffee,coffee,11.404907944914582
cold,cold,7.050658402817972
comb,comb (object),15.350164710150825
cookie,cookie,9.9504011433299
couch,couch,12.768082618713379
cow,cow,10.619719159603118
cracker,cracker,14.62985610961914
crib,crib,9.857897265204068
cry,cry,9.277892523033675
cup,cup,5.436704635620117
cute,cute,8.092247034374036
daddy,daddy,5.334279724171287
dance,dance,7.07089100178984
dark,dark,10.955890417098999
day,day,4.441614840711866
deer,deer,12.449690103530884
diaper,diaper,16.19645323072161
dinner,dinner,13.018741858632941
dirty,dirty,10.22303363314846
dish,dish,14.341503018918244
dog,dog,5.018707745906078
doll,doll,7.5122103783690815
dont,don't,3.723745177180519
donkey,donkey,13.377874946594238
door,door,5.294814519122639
down,down,3.7678292106600835
draw,draw,7.785633563995361
drawer,drawer,14.673440252031599
dress,dress (object),5.454303229620697
drink,drink (action),6.890638206944321
drink,drink (beverage),6.890638206944321
drive,drive,16.589124246077105
dry,dry (description),14.43611083984375
duck,duck,12.006431837339658
ear,ear,10.924395745800387
eat,eat,5.5762371312268835
egg,egg,13.477099974950155
elephant,elephant,9.22177353170183
empty,empty,16.474872207641603
eye,eye,5.271673194221829
face,face,5.897227900723617
fall,fall,5.702417364761011
fast,fast,9.523970090425932
feed,feed,11.996764510018485
fine,fine,11.19285820979698
finger,finger,6.626763441030262
finish,finish,10.181054651737213
firetruck,firetruck,15.718523025512695
fish,fish (animal),9.78124743158167
fish,fish (food),9.78124743158167
flower,flower,11.689967084814
food,food,9.514283299446106
foot,foot,6.373122917978387
fork,fork,14.092196559906006
frog,frog,13.364563465118408
garage,garage,NA
garden,garden,14.082717259724935
gentle,gentle,NA
get,get,3.96616290445632
giraffe,giraffe,12.112045923868815
girl,girl,2.965027121135167
give,give,5.22612781537511
glass,glass,7.389386910658616
glasses,glasses,13.972701163518996
go,go,3.615249289843635
good,good,4.0753374918496625
goose,goose,NA
grandma,grandma,16.402291774749756
grandpa,grandpa,18.735145568847656
grrr,grrr,NA
hair,hair,4.416311320683635
hammer,hammer,14.777354955673218
hand,hand,4.442904754118486
happy,happy,13.836737032289859
hard,hard,5.962308152031352
hat,hat,6.649777855191912
head,head,4.105675305638995
hello,hello,10.494490537887964
help,help,8.14492831510656
her,her,4.106786205776219
hi,hi,16.275622531931887
his,his,4.791485191807328
hit,hit,7.223556712269783
home,home,4.683401522371504
horse,horse,10.296072258668787
hot,hot,6.820756775992257
house,house,4.819228007024028
how,how,4.197794456491358
hug,hug,16.151983857154846
hungry,hungry,10.012919702529906
hurry,hurry,13.37585437297821
hurt,hurt (description),9.078815800078372
i,i,3.445380594580177
in,in,3.4527808497610484
inside,inside,10.082722496986388
it,it,2.2336380663565367
jacket,jacket,12.571226937430245
jeans,jeans,NA
juice,juice,8.040179223190119
jump,jump,10.224351817163928
keys,keys,15.789314365386963
kick,kick,13.509648172478927
kiss,kiss,12.466720898946127
kitchen,kitchen,11.404011472066243
kitty,kitty,8.719678918110956
knee,knee,14.237098966326032
lady,lady,5.229116513891127
lamb,lamb,11.59918685913086
lamp,lamp,16.831453800201416
later,later,9.51543568873751
leg,leg,9.859361244284589
light,light (object),8.34286387761434
lion,lion,11.588086453351108
little,little (description),4.4252706833424105
look,look,5.206334009044496
love,love,5.364408416748047
lunch,lunch,11.678432668958392
man,man,6.080945554986058
me,me,2.205326449980592
meat,meat,15.87617015838623
medicine,medicine,13.960975133455717
meow,meow,16.7488268216451
milk,milk,6.552160077624851
mine,mine,7.923743508078835
mommy,mommy,5.612724871990643
money,money,7.086479423069718
monkey,monkey,8.089490777254104
moo,moo,13.771744887034098
moon,moon,8.278917522991405
more,more,4.378279486811773
morning,morning,4.41182805642043
motorcycle,motorcycle,14.540775934855143
mouse,mouse,12.820137296404157
mouth,mouth,3.0102195079837526
my,my,4.2401572443214075
nap,nap,10.302273416519165
naughty,naughty,10.579944792247954
necklace,necklace,NA
nice,nice,4.64039052040019
night,night,2.965556194584573
no,no,3.9770288554500772
none,none,18.759154891967775
nose,nose,4.345218375547608
not,not,2.9878141543943517
now,now,4.982103463341728
off,off,3.43070042807592
old,old,4.916924427426051
on,on,3.061665129781818
open,open (action),10.306193289003874
orange,orange (food),10.675120286221775
other,other,3.3651693439735273
ouch,ouch,16.77537016435103
out,out,3.6723137519211035
outside,outside,7.938575514431657
oven,oven,12.482149404637953
owl,owl,13.974093366552282
pajamas,pajamas,15.63849090127384
pants,pants,8.184055367031613
paper,paper,6.570600514610608
park,park,15.030496324811663
party,party,7.3716352835945465
pattycake,pattycake,16.32385308401925
peas,peas,17.70509386062622
peekaboo,peekaboo,15.218759368447696
pen,pen,12.161742464701335
penguin,penguin,NA
penny,penny,9.442086124420166
people,people,11.194092685526067
person,person,13.335425785609655
picture,picture,8.675583289729225
pig,pig,7.470634586957036
pillow,pillow,9.92370358219853
pizza,pizza,18.471454620361328
plant,plant,12.131740951538086
plate,plate,13.465574423472086
play,play,3.939673528155765
please,please,9.537933991879832
pony,pony,8.312635879516602
pool,pool,14.07837994893392
potty,potty,NA
pretty,pretty,5.049685090421194
pull,pull,7.385527749604817
puppy,puppy,12.70787840623122
purse,purse,NA
push,push,7.23712158203125
put,put,4.437536119714875
radio,radio,15.60827891031901
rain,rain,11.206471513818812
raisin,raisin,NA
read,read,5.963297805786133
red,red,6.615353399287156
refrigerator,refrigerator,13.376490783691406
ride,ride,6.52063606120646
rock,rock (object),10.256208260854086
run,run,8.704009133942273
same,same,8.41530487039587
say,say,4.091440929527636
scared,scared,13.560652508455163
school,school,4.337667858839906
scissors,scissors,12.905161365385979
see,see,3.971865953661658
sheep,sheep,15.297405004501343
shh/shush/hush,shh,NA
shirt,shirt,12.720585389570756
shoe,shoe,10.615723580121994
shorts,shorts,17.094481468200684
shovel,shovel,13.935315330823263
show,show,6.473483746745197
sick,sick,10.678303909301757
sing,sing,7.15183862641051
sink,sink,12.968712049372057
sister,sister,8.170779666385135
sky,sky,12.783001726323908
sleep,sleep,6.902829695630957
sleepy,sleepy,8.461813514882868
slide,slide (object),13.23670128413609
smile,smile,13.332295417785645
snow,snow,14.767922438108004
soap,soap,16.064752487909224
sock,sock,11.94907534122467
soft,soft,14.82449854337252
some,some,4.723805135261826
splash,splash,15.887806177139282
spoon,spoon,8.306609851973397
squirrel,squirrel,10.835479418436686
stairs,stairs,11.249793782830238
star,star,11.723624405108
stop,stop,10.19897069725939
store,store,7.900316079457601
stove,stove,14.467569941566104
stroller,stroller,NA
sun,sun,7.6328155268793525
sweater,sweater,14.41885368347168
swim,swim,15.445107949085724
swing,swing (action),10.723531774572423
swing,swing (object),10.723531774572423
table,table,6.955602303990778
take,take,5.07225227355957
teacher,teacher,9.791197180747986
teddybear,teddybear,9.563693389892578
telephone,telephone,9.835679144472689
that,that,2.406081876611356
there,there,3.7227961486289867
thirsty,thirsty,18.91079330444336
this,this,3.10685310555032
throw,throw,7.443016789853573
tickle,tickle,14.518694305419922
tiger,tiger,11.013503011067709
tired,tired,6.716491292613421
toast,toast,16.786802609761555
today,today,4.621542620154666
toe,toe,10.456807402677315
tomorrow,tomorrow,11.48959297920341
tongue,tongue,12.586281552034265
tonight,tonight,9.194361398804862
tooth,tooth,12.045283568532843
toothbrush,toothbrush,NA
touch,touch,4.550001731732997
towel,towel,12.491233348846436
toy,toy (object),6.84878929199711
train,train,8.651881772418355
trash,trash,NA
tree,tree,7.71501886844635
truck,truck,13.734609479489533
tummy,tummy,14.676015694936117
turkey,turkey,16.615046977996826
turtle,turtle,14.354477585686578
tv,tv,10.93766576051712
uncle,uncle,15.040831628053084
under,under,11.353772041645456
up,up,3.0993716977946746
vacuum,vacuum,14.144118213653565
vroom,vroom,NA
wait,wait,7.014673260542063
walk,walk,6.872880587706694
wash,wash,11.63586849799523
watch,watch (action),10.183153735569546
watch,watch (object),10.183153735569546
water,water (beverage),6.573237325885509
water,water (not beverage),6.573237325885509
wet,wet (description),14.616636300698305
what,what,3.525987192196214
when,when (question),5.253932836590065
where,where (question),5.0094034143585615
who,who,5.493645887712852
why,why,6.024439823059809
window,window,7.642621113703801
wipe,wipe,16.12751052690589
work,work (place),6.093554603851448
write,write,5.039175346600923
backyard,yard,13.710073894924587
yes,yes,5.316622065682696
you,you,2.357583091972703
your,your,2.920221381105072
yucky,yucky,NA
zipper,zipper,16.017943302790325
zoo,zoo,8.134248161315918
