word, uni_lemma, avg_surprisal
airplane,airplane,13.502824238368444
all,all,4.550064082015051
animal,animal,13.761565589904786
another,another,6.914573167165121
apple,apple,13.1295252555658
arm,arm,8.308118092386346
asleep,asleep,16.387649154663087
aunt,aunt,14.860760688781738
away,away,5.21654826222044
baby,baby,7.993568336963653
babysitter,babysitter,NA
back,back (location),3.928503664820475
bad,bad,7.043829989433289
ball,ball,8.011047006577485
balloon,balloon,12.966016851152693
banana,banana,17.116547266642254
bath,bath,7.522835803031922
bathroom,bathroom,3.9383817593256634
bathtub,bathtub,12.447084108988443
beach,beach,11.816411044146564
beads,beads,12.7090744972229
bear,bear,11.267359852790833
bed,bed,4.849583976637057
bedroom,bedroom,12.148290125528971
bee,bee,16.31026554107666
bib,bib,11.983873653411866
bicycle,bicycle,NA
big,big,5.870073498241485
bird,bird,5.675338521370521
bite,bite,3.1153618997498733
blanket,blanket,13.366661262512206
block,block,6.620793156325817
blow,blow,6.114978470300374
blue,blue,11.812773676479564
book,book,6.402993317003603
boots,boots,13.116381645202637
bottle,bottle,16.05250056584676
bowl,bowl,7.2113741636276245
box,box,6.139004707336426
boy,boy,5.278935983777046
bread,bread,16.08963942527771
break,break,11.807753736322576
breakfast,breakfast,5.525448991941369
bring,bring,14.315852284431458
broken,broken,15.039766311645508
broom,broom,16.31572914123535
brother,brother,13.553292036056519
brush,brush (object),13.28252663062169
bubbles,bubbles,16.46857976913452
bug,bug,12.68662166595459
bump,bump,11.205193039223
bunny,bunny,15.209765752156576
bus,bus,15.753531646728515
butter,butter,8.313156262040138
butterfly,butterfly,NA
button,button,5.737333106143134
bye,bye,15.93577241897583
cake,cake,14.686261415481567
candy,candy,NA
car,car,8.594630002975464
careful,careful,9.808746371950422
carrots,carrots,16.178712844848633
cat,cat,17.517650604248047
cereal,cereal,7.6097613417583965
chair,chair,4.678453990391323
cheek,cheek,15.604992389678955
cheerios,cheerios,14.631140613555909
cheese,cheese,13.307721314606843
chicken,chicken (animal),7.946874226842608
chicken,chicken (food),7.946874226842608
child,child,15.80071210861206
church,church,15.163544654846191
clean,clean (action),6.937039817251811
clean,clean (description),6.937039817251811
clock,clock,12.424899051929343
close,close,5.839914339166498
coat,coat,NA
cockadoodledoo,cockadoodledoo,13.238403701782227
coffee,coffee,5.603808520634969
cold,cold,4.837492091902371
comb,comb (object),NA
cookie,cookie,6.344543711344401
couch,couch,13.95574688911438
cow,cow,13.723960059029716
cracker,cracker,14.799438834190369
crib,crib,NA
cry,cry,8.854783487319946
cup,cup,6.389254215991858
cute,cute,10.23011641068892
daddy,daddy,2.9739174572281217
dance,dance,NA
dark,dark,9.551979660987854
day,day,6.255221822368565
deer,deer,NA
diaper,diaper,4.977400390998177
dinner,dinner,11.256987190246582
dirty,dirty,10.08432092666626
dish,dish,16.874740600585938
dog,dog,11.28532669760964
doll,doll,12.749076843261719
dont,don't,3.50729311734122
donkey,donkey,NA
door,door,4.0071078104737365
down,down,3.5776986758870684
draw,draw,NA
drawer,drawer,13.755077044169107
dress,dress (object),15.554262161254883
drink,drink (action),6.532046515494585
drink,drink (beverage),6.532046515494585
drive,drive,13.425591468811035
dry,dry (description),10.840672413508097
duck,duck,7.653351322052971
ear,ear,5.981777132773886
eat,eat,6.055091131002383
egg,egg,13.193070157368977
elephant,elephant,14.159661769866943
empty,empty,8.921565055847168
eye,eye,7.333674149079756
face,face,3.621801875886463
fall,fall,8.746411659099438
fast,fast,10.768692334493002
feed,feed,8.52119609287807
fine,fine,15.667886734008789
finger,finger,10.112855477766557
finish,finish,9.04127868016561
firetruck,firetruck,15.200064977010092
fish,fish (animal),12.726890791030158
fish,fish (food),12.726890791030158
flower,flower,14.476163713555588
food,food,8.660340166091919
foot,foot,5.395117128148992
fork,fork,NA
frog,frog,11.725916783014933
garage,garage,NA
garden,garden,14.745810508728027
gentle,gentle,NA
get,get,3.30329475164632
giraffe,giraffe,NA
girl,girl,14.640905062357584
give,give,6.172246955845454
glass,glass,6.87331210865694
glasses,glasses,15.803870916366577
go,go,3.0129686525889805
good,good,3.9636686620772577
goose,goose,16.298559188842773
grandma,grandma,15.7109956741333
grandpa,grandpa,NA
grrr,grrr,NA
hair,hair,4.487901335762393
hammer,hammer,14.69888687133789
hand,hand,4.3462370690845304
happy,happy,14.163999080657959
hard,hard,5.893665981292725
hat,hat,13.026351534087082
head,head,2.4386064776667844
hello,hello,16.929239024286684
help,help,7.608207149360016
her,her,12.22163454691569
hi,hi,12.740471767778157
his,his,5.855154116432388
hit,hit,12.450348615646362
home,home,7.363946515160638
horse,horse,8.137373424157865
hot,hot,8.799893415891207
house,house,6.8118141559844325
how,how,3.4708461454261244
hug,hug,7.339553496416877
hungry,hungry,8.791318931276836
hurry,hurry,12.453057765960693
hurt,hurt (description),10.385495010175203
i,i,2.7513494229422992
in,in,3.121777372345677
inside,inside,11.868310383387975
it,it,2.136250332051253
jacket,jacket,NA
jeans,jeans,13.973367344249379
juice,juice,2.606325797286201
jump,jump,8.458993476145976
keys,keys,7.400442624703432
kick,kick,9.202834977941999
kiss,kiss,3.9050526984713296
kitchen,kitchen,11.462831368317476
kitty,kitty,11.58301714192266
knee,knee,8.40700820514134
lady,lady,8.8411565247704
lamb,lamb,NA
lamp,lamp,14.153137683868408
later,later,11.35162679772628
leg,leg,5.285914465438488
light,light (object),4.035690047873391
lion,lion,17.580393314361572
little,little (description),4.23279797765288
look,look,5.792961789793887
love,love,7.367806971651836
lunch,lunch,13.027399966591283
man,man,12.790962409973144
me,me,1.2527336054039697
meat,meat,14.15022087097168
medicine,medicine,10.209815114936573
meow,meow,16.307510375976562
milk,milk,9.781103384738065
mine,mine,14.413027286529541
mommy,mommy,5.292434881954659
money,money,15.498663425445557
monkey,monkey,10.533358620434273
moo,moo,16.971346537272137
moon,moon,NA
more,more,3.3739821929401823
morning,morning,4.675753329662567
motorcycle,motorcycle,13.375384330749512
mouse,mouse,12.823471069335938
mouth,mouth,3.4491938656026666
my,my,5.886406565071049
nap,nap,11.211446762084961
naughty,naughty,NA
necklace,necklace,NA
nice,nice,4.654757229544276
night,night,6.076772586972106
no,no,5.200290411478995
none,none,13.172549353705513
nose,nose,4.6264119485411985
not,not,2.724461085307105
now,now,5.314150862645783
off,off,3.5157302423623893
old,old,6.5152699636376425
on,on,1.5786245641549634
open,open (action),6.2102263052673905
orange,orange (food),7.153591601053874
other,other,4.66233335018158
ouch,ouch,16.30143165588379
out,out,4.879778934970046
outside,outside,8.36271222044782
oven,oven,NA
owl,owl,13.04914124806722
pajamas,pajamas,NA
