word, uni_lemma, avg_surprisal
airplane,airplane,12.020532091458639
all,all,5.007631955261123
animal,animal,12.350020408630371
another,another,4.481327537669252
apple,apple,8.381174518948509
arm,arm,7.60659420874811
asleep,asleep,9.514265441894532
aunt,aunt,NA
away,away,3.93181625182686
baby,baby,4.421246953338747
babysitter,babysitter,NA
back,back (location),4.334731426967937
bad,bad,8.093382173654984
ball,ball,6.93085810312858
balloon,balloon,7.828749618014774
banana,banana,11.124613175025353
bath,bath,10.381026788191361
bathroom,bathroom,6.740335063934326
bathtub,bathtub,11.143398509306067
beach,beach,13.888406753540039
beads,beads,NA
bear,bear,8.677736713772727
bed,bed,5.854794757408008
bedroom,bedroom,13.80096983909607
bee,bee,14.26639461517334
bib,bib,NA
bicycle,bicycle,8.420079285757883
big,big,5.4876811931781075
bird,bird,7.092856732810416
bite,bite,8.10788262883822
blanket,blanket,11.673825073242188
block,block,7.5754402967599725
blow,blow,9.209670706493098
blue,blue,7.5428342881140775
book,book,4.826527762768873
boots,boots,13.868325233459473
bottle,bottle,7.468398382497388
bowl,bowl,8.145772513889131
box,box,4.716871516271071
boy,boy,5.32626311675362
bread,bread,9.621181192852202
break,break,10.19130792115864
breakfast,breakfast,9.962122403658354
bring,bring,6.339033792048324
broken,broken,7.794475793838501
broom,broom,9.052515983581543
brother,brother,14.025553703308105
brush,brush (object),12.995514059066773
bubbles,bubbles,11.18139902750651
bug,bug,10.104843828413221
bump,bump,11.327254908425468
bunny,bunny,6.534816392262777
bus,bus,8.539004755020141
butter,butter,11.265223099635197
butterfly,butterfly,8.738904126485188
button,button,9.330648002170381
bye,bye,11.360072384709897
cake,cake,6.21899459191731
candy,candy,11.023588180541992
car,car,5.3710016438720425
careful,careful,10.320423989068894
carrots,carrots,14.505672097206116
cat,cat,5.509661509802467
cereal,cereal,14.910974502563477
chair,chair,5.2598149462060615
cheek,cheek,15.210058212280273
cheerios,cheerios,14.571824073791504
cheese,cheese,10.561962827046711
chicken,chicken (animal),9.507517584164937
chicken,chicken (food),9.507517584164937
child,child,15.080207824707031
church,church,14.600052038828531
clean,clean (action),7.476311641080039
clean,clean (description),7.476311641080039
clock,clock,9.081053884405838
close,close,7.415953976767404
coat,coat,10.822398259089542
cockadoodledoo,cockadoodledoo,NA
coffee,coffee,8.978708555823879
cold,cold,8.172961846837458
comb,comb (object),15.715458869934082
cookie,cookie,8.977050985608782
couch,couch,13.689126014709473
cow,cow,7.776114690871466
cracker,cracker,8.134828905905447
crib,crib,9.785100830925835
cry,cry,8.496565089506262
cup,cup,6.803713321685791
cute,cute,13.348180532455444
daddy,daddy,6.070861745992473
dance,dance,10.764609241485596
dark,dark,12.599412404573881
day,day,6.904322712762015
deer,deer,12.236230850219727
diaper,diaper,11.923870205879211
dinner,dinner,7.761451804637909
dirty,dirty,8.348565385148332
dish,dish,8.497820814450582
dog,dog,5.196087647886837
doll,doll,12.144360542297363
dont,don't,3.8002524503372
donkey,donkey,12.677383831569127
door,door,5.187331810830131
down,down,3.6468975830183155
draw,draw,9.919761731889512
drawer,drawer,10.99069813319615
dress,dress (object),10.63270986647833
drink,drink (action),6.709391888450174
drink,drink (beverage),6.709391888450174
