word, uni_lemma, avg_surprisal
airplane,airplane,inf
all,all,5.0813356416220055
animal,animal,inf
another,another,inf
apple,apple,inf
arm,arm,36.14931985037667
asleep,asleep,13.018704435960302
aunt,aunt,inf
away,away,3.9576870905593458
baby,baby,inf
babysitter,babysitter,inf
back,back (location),inf
bad,bad,11.706845595723106
ball,ball,14.20533276187535
balloon,balloon,56.820815866078924
banana,banana,52.38956534454578
bath,bath,inf
bathroom,bathroom,44.67257308959961
bathtub,bathtub,NA
beach,beach,inf
beads,beads,inf
bear,bear,inf
bed,bed,inf
bedroom,bedroom,11.7981844342083
bee,bee,67.12035369873047
bib,bib,72.67754726409912
bicycle,bicycle,14.897954966058794
big,big,5.065633047190749
bird,bird,17.715007738453718
bite,bite,16.939170517223918
blanket,blanket,inf
block,block,inf
blow,blow,13.730529417071427
blue,blue,inf
book,book,inf
boots,boots,inf
bottle,bottle,11.73608202739276
bowl,bowl,9.235192677728062
box,box,inf
boy,boy,2.9557230072947966
bread,bread,inf
break,break,inf
breakfast,breakfast,7.577636779641076
bring,bring,7.193216141410496
broken,broken,inf
broom,broom,inf
brother,brother,inf
brush,brush (object),8.601858355984184
bubbles,bubbles,82.14273676058141
bug,bug,inf
bump,bump,23.966680312523476
bunny,bunny,inf
bus,bus,inf
butter,butter,80.16889263334728
butterfly,butterfly,inf
button,button,8.389399978551971
bye,bye,inf
cake,cake,inf
candy,candy,inf
car,car,4.423337455010892
careful,careful,2.6038620358303337
carrots,carrots,inf
cat,cat,inf
cereal,cereal,73.76954784163509
chair,chair,4.160378075766501
cheek,cheek,inf
cheerios,cheerios,NA
cheese,cheese,inf
chicken,chicken (animal),22.046547561645507
chicken,chicken (food),22.046547561645507
child,child,inf
church,church,21.235600540603418
clean,clean (action),6.2157761187522445
clean,clean (description),6.2157761187522445
clock,clock,28.217709354587367
close,close,16.066499643804484
coat,coat,16.32813532817413
cockadoodledoo,cockadoodledoo,inf
coffee,coffee,6.609988300005595
cold,cold,10.673879418491332
comb,comb (object),inf
cookie,cookie,inf
couch,couch,NA
cow,cow,84.63781925548207
cracker,cracker,inf
crib,crib,inf
cry,cry,22.74879736166734
cup,cup,inf
cute,cute,inf
daddy,daddy,inf
dance,dance,inf
dark,dark,10.675090394729425
day,day,3.6766858943277283
deer,deer,inf
diaper,diaper,NA
dinner,dinner,41.383512900693574
dirty,dirty,8.437528439220928
dish,dish,inf
dog,dog,7.82285256878442
doll,doll,inf
dont,don't,3.3499517963172774
donkey,donkey,inf
door,door,3.98346002649029
down,down,inf
draw,draw,19.154998290892237
drawer,drawer,81.3488148377005
dress,dress (object),70.19705296162539
drink,drink (action),inf
drink,drink (beverage),inf
drive,drive,6.639702049984652
dry,dry (description),10.191897776722907
duck,duck,64.7317997777564
ear,ear,27.767345699332875
eat,eat,inf
egg,egg,37.86835921130418
elephant,elephant,22.12630854199111
empty,empty,12.216635981850002
eye,eye,40.618648553044544
face,face,inf
fall,fall,7.750303466222403
fast,fast,25.072233587503433
feed,feed,82.37688088924327
fine,fine,8.228763902360114
finger,finger,8.972334888310467
finish,finish,7.392780055170474
firetruck,firetruck,NA
fish,fish (animal),13.317683505041302
fish,fish (food),13.317683505041302
flower,flower,55.415754981662914
food,food,inf
foot,foot,7.3609464555827495
fork,fork,75.76775021986528
frog,frog,82.36727785147153
garage,garage,60.891200037285834
