word, uni_lemma, avg_surprisal
airplane,airplane,6.210455685853958
all,all,5.116797375391765
animal,animal,9.6117525100708
another,another,4.4141249022037865
apple,apple,8.586662856015293
arm,arm,8.34141104561942
asleep,asleep,9.324269930521647
aunt,aunt,NA
away,away,6.935328409075737
baby,baby,5.292716851512205
babysitter,babysitter,NA
back,back (location),4.2550815788667595
bad,bad,9.10170653059676
ball,ball,9.116267561912537
balloon,balloon,8.920398638798641
banana,banana,NA
bath,bath,10.657703399658203
bathroom,bathroom,NA
bathtub,bathtub,9.268588611057826
beach,beach,NA
beads,beads,NA
bear,bear,6.020214629173279
bed,bed,12.43479061126709
bedroom,bedroom,NA
bee,bee,11.095522403717041
bib,bib,NA
bicycle,bicycle,7.904960473378499
big,big,5.183929964778869
bird,bird,5.934144284990099
bite,bite,10.56067632039388
blanket,blanket,NA
block,block,9.444599628448486
blow,blow,8.94051710764567
blue,blue,6.991476800706652
book,book,6.138368110656739
boots,boots,NA
bottle,bottle,8.469196319580078
bowl,bowl,9.620005989074707
box,box,4.953488686505486
boy,boy,5.461238115261763
bread,bread,9.10218346118927
break,break,7.508904607672441
breakfast,breakfast,NA
bring,bring,7.69314558165414
broken,broken,NA
broom,broom,NA
brother,brother,7.821589426560835
brush,brush (object),6.570902359194871
bubbles,bubbles,8.484609186649323
bug,bug,12.669878005981445
bump,bump,NA
bunny,bunny,7.9859843254089355
bus,bus,9.352692699432373
butter,butter,NA
butterfly,butterfly,7.608519077301025
button,button,6.786203601143577
bye,bye,NA
cake,cake,9.984567451477051
candy,candy,10.609879493713379
car,car,4.7799257550920755
careful,careful,8.007486899693808
carrots,carrots,9.209815979003906
cat,cat,8.057188808918
cereal,cereal,8.868589401245117
chair,chair,6.467705468336741
cheek,cheek,NA
cheerios,cheerios,NA
cheese,cheese,NA
chicken,chicken (animal),8.206946069544012
chicken,chicken (food),8.206946069544012
child,child,15.226574897766113
church,church,NA
clean,clean (action),9.201530456542969
clean,clean (description),9.201530456542969
clock,clock,8.25236473083496
close,close,6.949626521060341
coat,coat,NA
cockadoodledoo,cockadoodledoo,NA
coffee,coffee,NA
cold,cold,9.827108144760132
comb,comb (object),10.86593214670817
cookie,cookie,11.60284595489502
couch,couch,11.00755755106608
cow,cow,6.458904879433768
cracker,cracker,NA
crib,crib,NA
cry,cry,8.87741047995431
cup,cup,NA
cute,cute,6.0244059562683105
daddy,daddy,7.06502561008229
dance,dance,NA
dark,dark,9.680829524993896
day,day,8.56760196685791
deer,deer,8.186725207737513
diaper,diaper,NA
dinner,dinner,8.192345559597015
dirty,dirty,NA
dish,dish,NA
dog,dog,6.9483786392211915
doll,doll,7.008015076319377
dont,don't,3.170416732820181
donkey,donkey,15.244633674621582
door,door,7.5360320295606344
down,down,4.069422430243374
draw,draw,8.830685138702393
drawer,drawer,9.126603126525879
dress,dress (object),7.7038726806640625
drink,drink (action),6.810623645782471
drink,drink (beverage),6.810623645782471
drive,drive,6.42354736328125
dry,dry (description),8.427541732788086
duck,duck,5.575813998778661
ear,ear,10.560339655194964
eat,eat,7.223692955509309
egg,egg,9.909828186035156
elephant,elephant,8.898013591766357
empty,empty,NA
eye,eye,10.181888171604701
face,face,6.242114470555232
fall,fall,7.744441007312975
fast,fast,8.670434747423444
feed,feed,7.86106628841824
fine,fine,7.813199996948242
finger,finger,9.039526091681587
finish,finish,12.49998426437378
firetruck,firetruck,7.5477059841156
fish,fish (animal),10.301603684058556
fish,fish (food),10.301603684058556
flower,flower,9.63642766740587
food,food,7.178031305472056
foot,foot,7.644186178843181
fork,fork,NA
frog,frog,9.176428265041775
garage,garage,8.918572266896566
garden,garden,6.472426652908325
gentle,gentle,NA
get,get,3.7236387843177434
