word, uni_lemma, avg_surprisal
airplane,airplane,5.532516800627416
all,all,4.695448793305291
animal,animal,NA
another,another,6.2366483582390675
apple,apple,NA
arm,arm,6.415345033009847
asleep,asleep,9.574493408203125
aunt,aunt,10.715465863545736
away,away,5.210813891212895
baby,baby,6.450212095990593
babysitter,babysitter,10.299098014831543
back,back (location),4.628490056021739
bad,bad,6.616304201957507
ball,ball,5.42113290049813
balloon,balloon,10.14355206489563
banana,banana,NA
bath,bath,8.734251340230307
bathroom,bathroom,8.751521428426107
bathtub,bathtub,10.008842468261719
beach,beach,NA
beads,beads,NA
bear,bear,7.556374502182007
bed,bed,7.431307474772136
bedroom,bedroom,10.836252212524414
bee,bee,13.018044471740723
bib,bib,NA
bicycle,bicycle,NA
big,big,5.50548687616984
bird,bird,9.282705307006836
bite,bite,10.043874235714183
blanket,blanket,NA
block,block,10.797010149274554
blow,blow,8.828938627243042
blue,blue,7.449997067451477
book,book,8.627582120895386
boots,boots,NA
bottle,bottle,NA
bowl,bowl,NA
box,box,NA
boy,boy,6.538485505845812
bread,bread,8.963790973027548
break,break,8.3850150903066
breakfast,breakfast,11.325942039489746
bring,bring,7.607334613800049
broken,broken,11.371036529541016
broom,broom,NA
brother,brother,8.397682189941406
brush,brush (object),9.510931611061096
bubbles,bubbles,NA
bug,bug,10.01632022857666
bump,bump,10.281404495239258
bunny,bunny,NA
bus,bus,7.710034830229623
butter,butter,8.981435775756836
butterfly,butterfly,NA
button,button,7.651371002197266
bye,bye,10.698011219501495
cake,cake,8.374993925509246
candy,candy,NA
car,car,4.003297951486376
careful,careful,11.675228357315063
carrots,carrots,10.781659126281738
cat,cat,17.47119140625
cereal,cereal,NA
chair,chair,4.898505386553313
cheek,cheek,10.197450160980225
cheerios,cheerios,NA
cheese,cheese,7.414192655812139
chicken,chicken (animal),7.146579609360805
chicken,chicken (food),7.146579609360805
child,child,10.758880615234375
church,church,NA
clean,clean (action),11.833279132843018
clean,clean (description),11.833279132843018
clock,clock,NA
close,close,9.09240974698748
coat,coat,NA
cockadoodledoo,cockadoodledoo,NA
coffee,coffee,7.3417505362094975
cold,cold,7.659674774516713
comb,comb (object),9.533063888549805
cookie,cookie,NA
couch,couch,10.280062675476074
cow,cow,8.428680419921875
cracker,cracker,13.683090209960938
crib,crib,NA
cry,cry,NA
cup,cup,5.204259354893754
cute,cute,13.818405151367188
daddy,daddy,5.6195717958303595
dance,dance,12.43433698018392
dark,dark,NA
day,day,8.149971008300781
deer,deer,NA
diaper,diaper,8.659024238586426
dinner,dinner,5.665452591578165
dirty,dirty,17.44944190979004
dish,dish,11.480114936828613
dog,dog,9.343648910522461
doll,doll,NA
dont,don't,3.8835925902287984
donkey,donkey,NA
door,door,6.233584933810764
down,down,4.177184544290815
draw,draw,NA
drawer,drawer,NA
dress,dress (object),9.726086139678955
drink,drink (action),5.893361491541708
drink,drink (beverage),5.893361491541708
drive,drive,13.369627543858119
dry,dry (description),11.152904987335205
duck,duck,10.935165405273438
ear,ear,7.703023195266724
eat,eat,4.548120147813626
egg,egg,9.396937688191732
elephant,elephant,NA
empty,empty,17.492149353027344
eye,eye,9.513344764709473
face,face,10.195909976959229
fall,fall,6.368047150698575
fast,fast,6.519253404516923
feed,feed,11.964672803878784
fine,fine,9.756573603703426
finger,finger,7.33465836598323
finish,finish,10.821290206909179
firetruck,firetruck,NA
fish,fish (animal),7.070399428170825
fish,fish (food),7.070399428170825
flower,flower,9.026019096374512
food,food,6.988512112544133
foot,foot,5.572238230705262
fork,fork,10.742929458618164
frog,frog,NA
garage,garage,8.1807692527771
garden,garden,9.841218948364258
gentle,gentle,NA
get,get,3.71106613637249
giraffe,giraffe,NA
girl,girl,7.927252769470215
give,give,6.380446482512911
glass,glass,9.681981086730957
glasses,glasses,11.112269083658854
go,go,3.890134760354568
good,good,5.611012932183086
goose,goose,NA
grandma,grandma,NA
grandpa,grandpa,7.6466453075408936
grrr,grrr,NA
hair,hair,5.201042909879942
hammer,hammer,NA
hand,hand,5.081042170524597
happy,happy,8.154292583465576
hard,hard,8.133169455961747
hat,hat,6.9937675264146595
head,head,5.441359507731902
hello,hello,12.448181629180908
help,help,7.774148091673851
her,her,6.393247452993242
hi,hi,14.685478643937545
his,his,4.587169727392956
hit,hit,6.785174210866292
home,home,7.030743535359701
horse,horse,7.477240048922026
hot,hot,9.860290283110084
house,house,4.303327569094571
how,how,6.171736645183975
hug,hug,NA
hungry,hungry,9.417526245117188
hurry,hurry,NA
hurt,hurt (description),8.259364827473958
i,i,3.116895341330748
in,in,3.316164067229112
inside,inside,9.880583763122559
it,it,2.3155956982031403
jacket,jacket,NA
jeans,jeans,NA
juice,juice,6.4636346312130195
jump,jump,9.117201805114746
keys,keys,NA
kick,kick,10.341573333740234
kiss,kiss,11.061596393585205
kitchen,kitchen,9.000287532806396
kitty,kitty,NA
knee,knee,5.601562643051148
lady,lady,9.86064879099528
lamb,lamb,NA
lamp,lamp,9.471311569213867
later,later,6.5232687913454495
leg,leg,10.053295135498047
light,light (object),9.372125625610352
lion,lion,NA
little,little (description),4.209139302091779
look,look,5.860408328828358
love,love,NA
lunch,lunch,10.82413330078125
man,man,6.776931709713406
me,me,2.3641195382802715
meat,meat,NA
medicine,medicine,8.157117748260498
meow,meow,NA
milk,milk,5.714406251907349
mine,mine,5.590682663495028
mommy,mommy,5.587718120327702
money,money,5.053557615775566
monkey,monkey,8.604618453979493
moo,moo,NA
moon,moon,NA
more,more,4.564499249152087
morning,morning,8.077929667064122
motorcycle,motorcycle,5.355401818714444
mouse,mouse,12.066509246826172
mouth,mouth,5.748427867889404
my,my,3.3220515219539166
nap,nap,6.646481156349182
naughty,naughty,NA
necklace,necklace,NA
nice,nice,6.138334877086136
night,night,7.462457656860352
no,no,4.151393202663977
none,none,12.997498512268066
nose,nose,7.064805407273142
not,not,3.6850292605461834
now,now,5.151416852095417
off,off,4.428631592969426
old,old,8.09829623882587
on,on,2.836649181153537
open,open (action),8.801438461650502
orange,orange (food),8.59145746912275
other,other,6.19718200819833
ouch,ouch,8.979286157167875
out,out,4.348159733525029
outside,outside,9.166049480438232
oven,oven,NA
owl,owl,NA
pajamas,pajamas,NA
pants,pants,8.427378940582276
paper,paper,11.03114684422811
park,park,9.008699417114258
party,party,7.66379976272583
pattycake,pattycake,NA
peas,peas,NA
peekaboo,peekaboo,NA
pen,pen,NA
penguin,penguin,NA
penny,penny,8.392693662643433
people,people,6.549857096238569
person,person,6.825084005083356
picture,picture,10.77174711227417
pig,pig,NA
pillow,pillow,7.744599342346191
pizza,pizza,NA
plant,plant,9.941916465759277
plate,plate,7.415445433722602
play,play,5.838067463466099
please,please,8.681067717075347
pony,pony,NA
pool,pool,11.192190488179525
potty,potty,NA
pretty,pretty,7.390595013754709
pull,pull,7.238927504595588
puppy,puppy,NA
purse,purse,NA
push,push,8.697510378701347
put,put,3.7312826220668964
radio,radio,9.576608022054037
rain,rain,NA
raisin,raisin,NA
read,read,11.623637390136718
red,red,7.83915272881003
refrigerator,refrigerator,8.443134625752768
ride,ride,6.940853629793439
rock,rock (object),NA
run,run,8.347714900970459
same,same,7.248256683349609
say,say,6.038592927985722
scared,scared,10.944782892862955
school,school,8.170075066884358
scissors,scissors,NA
see,see,4.45871078581005
sheep,sheep,8.90200169881185
shh/shush/hush,shh,NA
shirt,shirt,6.54929780960083
shoe,shoe,NA
shorts,shorts,11.299568176269531
shovel,shovel,7.108038902282715
show,show,6.091295070648194
sick,sick,10.549078941345215
sing,sing,NA
sink,sink,9.305314381917318
sister,sister,NA
sky,sky,7.3726903915405275
sleep,sleep,6.888723744286431
sleepy,sleepy,NA
slide,slide (object),10.812213897705078
smile,smile,11.235357284545898
snow,snow,NA
soap,soap,10.52628469467163
sock,sock,NA
soft,soft,8.679121017456055
some,some,4.75478116444179
splash,splash,10.139406204223633
spoon,spoon,7.0334659167698454
squirrel,squirrel,NA
stairs,stairs,13.642117500305176
star,star,9.209483623504639
stop,stop,8.32164111504188
store,store,7.606479731473056
stove,stove,NA
stroller,stroller,NA
sun,sun,9.497175216674805
sweater,sweater,11.93531608581543
swim,swim,10.429366493225098
swing,swing (action),10.193778991699219
swing,swing (object),10.193778991699219
table,table,8.76009464263916
take,take,5.059951449299718
teacher,teacher,NA
teddybear,teddybear,NA
telephone,telephone,12.428340435028076
that,that,3.08158955149394
there,there,3.372910416960447
thirsty,thirsty,NA
this,this,3.3253006081719794
throw,throw,5.823807204641947
tickle,tickle,NA
tiger,tiger,NA
tired,tired,8.916824102401733
toast,toast,11.66667011805943
today,today,7.015860781950109
toe,toe,10.527535438537598
tomorrow,tomorrow,8.111328029632569
tongue,tongue,NA
tonight,tonight,9.810921096801758
tooth,tooth,NA
toothbrush,toothbrush,NA
touch,touch,8.002795964479446
towel,towel,NA
toy,toy (object),7.769009709358215
train,train,10.122701644897461
trash,trash,NA
tree,tree,9.496290683746338
truck,truck,5.050252578088215
tummy,tummy,NA
turkey,turkey,11.11220407485962
turtle,turtle,NA
tv,tv,8.823856512705484
uncle,uncle,11.098428475229364
under,under,7.970900678634644
up,up,3.728197198925596
vacuum,vacuum,NA
vroom,vroom,12.783089876174927
wait,wait,6.5575057469881495
walk,walk,7.312434945787702
wash,wash,9.536390508924212
watch,watch (action),6.3966066127127785
watch,watch (object),6.3966066127127785
water,water (beverage),4.7281984756159225
water,water (not beverage),4.7281984756159225
wet,wet (description),8.943494429955116
what,what,3.3874978647473153
when,when (question),6.234890627306561
where,where (question),6.100262844740455
who,who,7.3508710488677025
why,why,6.6605752164667305
window,window,7.131957101821899
wipe,wipe,10.718639237540108
work,work (place),6.966507778167725
write,write,NA
backyard,yard,10.148358345031738
yes,yes,13.162763108598424
you,you,2.3344670753858137
your,your,3.192938639914576
yucky,yucky,14.272893905639648
zipper,zipper,10.480161348978678
zoo,zoo,6.179396629333496
